pretraining_objective,horizon,fee_bps,spread_multiplier,n_groups,mean_gross_proxy,mean_cost_adjusted_proxy,mean_degradation_percentage,mean_active_fraction,mean_average_cost_per_active_trade
next_field,50,10.0,1.0,15,-4668.333333333333,-4954.1595333333335,7.461864886287719,0.7263363237361796,0.010999999999999987
next_field,50,10.0,2.0,15,-4668.333333333333,-5214.001533333335,14.245378419276555,0.7263363237361796,0.020999999999999963
supervised,10,0.0,0.0,15,-8243.2,-8243.2,0.0,0.4381400732596694,0.0
supervised,10,0.0,0.5,15,-8243.2,-8320.118,0.9600378738171942,0.4381400732596694,0.00499999999999998
supervised,10,0.0,1.0,15,-8243.2,-8397.036000000002,1.9200757476343902,0.4381400732596694,0.00999999999999998
supervised,10,0.0,2.0,15,-8243.2,-8550.872,3.840151495268775,0.4381400732596694,0.01999999999999998
supervised,10,1.0,0.0,15,-8243.2,-8244.73836,0.019200757476342218,0.4381400732596694,0.00010000000000000002
supervised,10,1.0,0.5,15,-8243.2,-8321.65636,0.9792386312935389,0.4381400732596694,0.005099999999999933
supervised,10,1.0,1.0,15,-8243.2,-8398.57436,1.9392765051107328,0.4381400732596694,0.010099999999999986
supervised,10,1.0,2.0,15,-8243.2,-8552.41036,3.8593522527451216,0.4381400732596694,0.020100000000000003
supervised,10,2.0,0.0,15,-8243.2,-8246.27672,0.03840151495268839,0.4381400732596694,0.00020000000000000004
supervised,10,2.0,0.5,15,-8243.2,-8323.19472,0.9984393887698839,0.4381400732596694,0.005199999999999926
supervised,10,2.0,1.0,15,-8243.2,-8400.11272,1.9584772625870743,0.4381400732596694,0.010199999999999935
supervised,10,2.0,2.0,15,-8243.2,-8553.948720000002,3.8785530102214634,0.4381400732596694,0.020199999999999985
supervised,10,5.0,0.0,15,-8243.2,-8250.8918,0.09600378738171902,0.4381400732596694,0.0005000000000000002
supervised,10,5.0,0.5,15,-8243.2,-8327.809799999999,1.0560416611989134,0.4381400732596694,0.005499999999999986
supervised,10,5.0,1.0,15,-8243.2,-8404.7278,2.0160795350161065,0.4381400732596694,0.010499999999999938
supervised,10,5.0,2.0,15,-8243.2,-8558.5638,3.936155282650493,0.4381400732596694,0.020499999999999973
supervised,10,10.0,0.0,15,-8243.2,-8258.583600000002,0.19200757476343874,0.4381400732596694,0.0010000000000000005
supervised,10,10.0,0.5,15,-8243.2,-8335.5016,1.1520454485806328,0.4381400732596694,0.005999999999999974
supervised,10,10.0,1.0,15,-8243.2,-8412.4196,2.1120833223978286,0.4381400732596694,0.010999999999999985
supervised,10,10.0,2.0,15,-8243.2,-8566.255599999999,4.032159070032214,0.4381400732596694,0.020999999999999942
supervised,20,0.0,0.0,15,-8180.4,-8180.4,0.0,0.6148943383535769,0.0
supervised,20,0.0,0.5,15,-8180.4,-8290.068000000001,1.3347928313912807,0.6148943383535769,0.00499999999999998
supervised,20,0.0,1.0,15,-8180.4,-8399.736,2.66958566278256,0.6148943383535769,0.00999999999999998
supervised,20,0.0,2.0,15,-8180.4,-8619.072,5.339171325565119,0.6148943383535769,0.01999999999999998
supervised,20,1.0,0.0,15,-8180.4,-8182.59336,0.02669585662782524,0.6148943383535769,0.00010000000000000002
supervised,20,1.0,0.5,15,-8180.4,-8292.26136,1.361488688019105,0.6148943383535769,0.005099999999999905
supervised,20,1.0,1.0,15,-8180.4,-8401.929359999998,2.6962815194103844,0.6148943383535769,0.010099999999999979
supervised,20,1.0,2.0,15,-8180.4,-8621.26536,5.365867182192948,0.6148943383535769,0.020100000000000003
supervised,20,2.0,0.0,15,-8180.4,-8184.786719999999,0.05339171325565099,0.6148943383535769,0.00020000000000000004
supervised,20,2.0,0.5,15,-8180.4,-8294.45472,1.3881845446469305,0.6148943383535769,0.005199999999999907
supervised,20,2.0,1.0,15,-8180.4,-8404.12272,2.722977376038212,0.6148943383535769,0.010199999999999909
supervised,20,2.0,2.0,15,-8180.4,-8623.45872,5.392563038820772,0.6148943383535769,0.02019999999999998
supervised,20,5.0,0.0,15,-8180.4,-8191.366800000001,0.13347928313912805,0.6148943383535769,0.0005000000000000002
supervised,20,5.0,0.5,15,-8180.4,-8301.0348,1.4682721145304087,0.6148943383535769,0.0055000000000000005
supervised,20,5.0,1.0,15,-8180.4,-8410.702800000001,2.8030649459216876,0.6148943383535769,0.01049999999999997
supervised,20,5.0,2.0,15,-8180.4,-8630.0388,5.472650608704247,0.6148943383535769,0.020499999999999973
supervised,20,10.0,0.0,15,-8180.4,-8202.3336,0.2669585662782565,0.6148943383535769,0.0010000000000000005
supervised,20,10.0,0.5,15,-8180.4,-8312.001599999998,1.6017513976695374,0.6148943383535769,0.005999999999999994
supervised,20,10.0,1.0,15,-8180.4,-8421.6696,2.9365442290608144,0.6148943383535769,0.011000000000000001
supervised,20,10.0,2.0,15,-8180.4,-8641.0056,5.606129891843374,0.6148943383535769,0.02099999999999997
supervised,50,0.0,0.0,15,-4834.666666666667,-4834.666666666667,0.0,0.8526230036733798,0.0
supervised,50,0.0,0.5,15,-4834.666666666667,-4986.318666666668,3.669355626672561,0.8526230036733798,0.004999999999999954
supervised,50,0.0,1.0,15,-4834.666666666667,-5137.970666666666,7.338711253345124,0.8526230036733798,0.009999999999999953
supervised,50,0.0,2.0,15,-4834.666666666667,-5441.274666666667,14.677422506690247,0.8526230036733798,0.019999999999999955
supervised,50,1.0,0.0,15,-4834.666666666667,-4837.699706666667,0.0733871125334551,0.8526230036733798,0.00010000000000000002
supervised,50,1.0,0.5,15,-4834.666666666667,-4989.351706666667,3.742742739206011,0.8526230036733798,0.005099999999999913
supervised,50,1.0,1.0,15,-4834.666666666667,-5141.003706666666,7.412098365878577,0.8526230036733798,0.010099999999999993
supervised,50,1.0,2.0,15,-4834.666666666667,-5444.307706666667,14.750809619223702,0.8526230036733798,0.020100000000000003
supervised,50,2.0,0.0,15,-4834.666666666667,-4840.732746666667,0.14677422506689944,0.8526230036733798,0.00020000000000000004
supervised,50,2.0,0.5,15,-4834.666666666667,-4992.384746666666,3.816129851739464,0.8526230036733798,0.0051999999999999
supervised,50,2.0,1.0,15,-4834.666666666667,-5144.036746666667,7.485485478412023,0.8526230036733798,0.010199999999999914
supervised,50,2.0,2.0,15,-4834.666666666667,-5447.340746666668,14.82419673175715,0.8526230036733798,0.020199999999999992
supervised,50,5.0,0.0,15,-4834.666666666667,-4849.831866666666,0.36693556266725763,0.8526230036733798,0.0005000000000000002
supervised,50,5.0,0.5,15,-4834.666666666667,-5001.4838666666665,4.036291189339819,0.8526230036733798,0.005499999999999993
supervised,50,5.0,1.0,15,-4834.666666666667,-5153.1358666666665,7.705646816012379,0.8526230036733798,0.010499999999999966
