pretraining_objective,horizon,threshold,n_groups,mean_retained_fraction,mean_active_fraction,mean_abstention_fraction,mean_classification_accuracy,mean_macro_f1,mean_directional_hit_rate,mean_gross_directional_proxy,mean_cost_adjusted_proxy
next_field,50,0.45,15,0.5540248469812786,0.3817847639577058,0.34516509837123266,0.432153139077679,0.3697705560592387,0.4615781738037214,-1397.1333333333334,-1397.1333333333334
next_field,50,0.5,14,0.3899797570071742,0.26708366519556376,0.3044983554630506,0.46698379313405836,0.38625925131617006,0.46339170756637293,-758.8571428571429,-758.8571428571429
next_field,50,0.55,14,0.2812134713128415,0.1722669767234782,0.33591703535810397,0.4947318983140924,0.3782621948749906,0.4715266837050027,-477.64285714285717,-477.64285714285717
next_field,50,0.6,14,0.17769474991323522,0.1103365286471896,0.351481550513802,0.5248650830622409,0.3653350793635118,0.47321852986469753,-351.35714285714283,-351.35714285714283
next_field,50,0.65,12,0.11543315304415312,0.08432062700153554,0.2783107758496908,0.583154359058352,0.3863715203297348,0.48452107512405435,-325.4166666666667,-325.4166666666667
next_field,50,0.7,12,0.07989437061694926,0.0542928484519512,0.3164634658467078,0.6082362108895459,0.3867296731136409,0.4938650367819704,-219.83333333333334,-219.83333333333334
next_field,50,0.75,12,0.04820727621149163,0.02891876099985956,0.35929745181116735,0.6285859244424877,0.3721536100208786,0.4873327755962858,-106.91666666666667,-106.91666666666667
next_field,50,0.8,10,0.02786034257030088,0.01328745876448558,0.4951696653664454,0.6520579109829358,0.3685361818342129,0.4709579759246292,-30.7,-30.7
next_field,50,0.85,10,0.01173758984339858,0.00526930076347326,0.537395299989087,0.6495932405672162,0.29501147801765615,0.41067553781852,3.9,3.9
next_field,50,0.9,7,0.006507802740992786,0.004409696445163443,0.5714285714285714,0.6731399221604564,0.25977520544046084,0.4610382755927122,7.142857142857143,7.142857142857143
next_field,50,0.95,1,0.0051616041509026,0.0051616041509026,0.0,0.6230366492146597,0.2559139784946236,0.6230366492146597,47.0,47.0
supervised,10,0.33,15,1.0,0.4381400732596694,0.5618599267403305,0.4476840575224404,0.33360731814589617,0.23353398116007298,-8243.2,-8243.2
supervised,10,0.35,15,0.9905295614778922,0.4321927124563202,0.5639994331070127,0.44885022058855045,0.3335547412306458,0.2339669234689886,-8131.2,-8131.2
supervised,10,0.4,15,0.8390556180982051,0.35374080891662224,0.5975454702570485,0.4654263265043276,0.33211424849728566,0.229926231129452,-6612.8,-6612.8
supervised,10,0.45,15,0.6575690331196881,0.23480615795223397,0.6782499827325895,0.5083078168740165,0.3272112867199695,0.22789469067538906,-4295.533333333334,-4295.533333333334
supervised,10,0.5,15,0.496551001353379,0.12449088924988244,0.7720607241930767,0.5668811897028232,0.3271724430881939,0.21867340852929734,-2156.4666666666667,-2156.4666666666667
supervised,10,0.55,15,0.37960420738881034,0.04901061508173868,0.8674911702571729,0.6297054473398194,0.32205085766875374,0.24735214973135702,-820.2666666666667,-820.2666666666667
supervised,10,0.6,15,0.3005323592041674,0.01790265648069629,0.9297318182306976,0.6877733391002168,0.3199785161267384,0.2637335973917658,-289.6,-289.6
supervised,10,0.65,14,0.22808344921795154,0.00619352993427095,0.9679006885640048,0.7488047143632448,0.31899196806259594,0.26909391830914575,-104.07142857142857,-104.07142857142857
supervised,10,0.7,12,0.16441872848624972,0.0022066440355659597,0.9864465453356459,0.8122650910679989,0.3212036846075328,0.366199354999529,-47.25,-47.25
supervised,10,0.75,12,0.1105295979237746,0.0005156144879092999,0.9965470139863162,0.8628669689738432,0.3122620486605174,0.10762240882722807,-16.583333333333332,-16.583333333333332
supervised,10,0.8,12,0.05931456186483095,8.517960118908333e-06,0.9999490860954127,0.9180598940420808,0.3189380080313672,0.0,-0.3333333333333333,-0.3333333333333333
supervised,10,0.85,10,0.04548829409054965,0.0,1.0,0.9444315386444015,0.32368122226870455,,0.0,0.0
supervised,10,0.9,6,0.03699045583976363,0.0,1.0,0.9575147691942952,0.3260625020597216,,0.0,0.0
supervised,20,0.33,15,1.0,0.6148943383535769,0.38510566164642324,0.409139097736246,0.3711322885696212,0.30597189743518866,-8180.4,-8180.4
supervised,20,0.35,15,0.9880004179029809,0.6054599429425191,0.38721402663161886,0.4103342188794293,0.3718070803806766,0.3068599410716778,-8018.266666666666,-8018.266666666666
supervised,20,0.4,15,0.825934371867436,0.4743093583527946,0.43869184460093685,0.4295289310715587,0.37414552719800276,0.3199670053057602,-6047.6,-6047.6
supervised,20,0.45,15,0.6299989212095753,0.3210282280366919,0.5097310206586697,0.46013095578560825,0.368740746764294,0.3330132623370557,-4066.8,-4066.8
supervised,20,0.5,15,0.4389263250334452,0.2029528696387523,0.5812069797323561,0.5181080147747739,0.38212542575776115,0.34430510594305674,-2607.733333333333,-2607.733333333333
supervised,20,0.55,15,0.2737986270918527,0.12020135694846933,0.550744392844129,0.5669606753238058,0.39479491723460697,0.3439563042019119,-1512.8,-1512.8
supervised,20,0.6,14,0.187229723258501,0.061129818949296776,0.5963438948376046,0.5655787568376999,0.365356871501334,0.31704508802745546,-738.2857142857143,-738.2857142857143
supervised,20,0.65,13,0.12030470486390588,0.02475127284165607,0.732168554764194,0.6463074610911773,0.36008469191624387,0.3358527636593919,-306.53846153846155,-306.53846153846155
supervised,20,0.7,12,0.07491366684343727,0.0068873131485291846,0.8895191539938172,0.7852626458696045,0.3757998900465982,0.39187346815463897,-105.5,-105.5
supervised,20,0.75,12,0.04488745159868779,0.0007589001004044657,0.9772676853142931,0.8714151938136233,0.34051062209178706,0.2767427048774365,-15.166666666666666,-15.166666666666666
supervised,20,0.8,11,0.03182391110920554,1.6261560227009093e-05,0.9998409488536957,0.9200270887249928,0.31994065702981694,0.2857142857142857,-0.2727272727272727,-0.2727272727272727
supervised,20,0.85,9,0.02181315526163999,0.0,1.0,0.9436153521205785,0.3236137485434844,,0.0,0.0
supervised,20,0.9,6,0.011935809275075017,0.0,1.0,0.9721413022583745,0.3285761069197147,,0.0,0.0
supervised,20,0.95,1,0.00132880177855,0.0,1.0,1.0,0.3333333333333333,,0.0,0.0
supervised,50,0.33,15,1.0,0.8526230036733798,0.14737699632662007,0.4416133999559026,0.4179687985365532,0.419072082198609,-4834.666666666667,-4834.666666666667
supervised,50,0.35,15,0.991528595578163,0.8469813809788905,0.14579876128955688,0.44239283865377,0.4182627369049588,0.419688015647379,-4753.866666666667,-4753.866666666667
supervised,50,0.4,15,0.8821403383959697,0.7639635801710085,0.13191095030637112,0.4522124239729867,0.4200091949686679,0.42838623914248863,-3755.866666666667,-3755.866666666667
supervised,50,0.45,15,0.7021996363411201,0.6091060411679986,0.12797787939061747,0.4677880262507609,0.4206425872362315,0.4411541628043114,-2507.5333333333333,-2507.5333333333333
supervised,50,0.5,15,0.4954743877528062,0.42041485231917264,0.14854517869865275,0.4917090184319895,0.42812702375292166,0.46012135536566523,-1327.8,-1327.8
supervised,50,0.55,15,0.3130732962284608,0.2525436097415836,0.18984935394937022,0.5182315854027982,0.4380651105224578,0.4744683156251773,-644.2,-644.2
supervised,50,0.6,15,0.17218871941002944,0.12383498918002314,0.25699323493424847,0.5558135989644898,0.45719678875688496,0.4875319490854242,-245.53333333333333,-245.53333333333333
supervised,50,0.65,15,0.08574099081785418,0.04828263785067896,0.3706830855326772,0.6073867301708664,0.46003422914126246,0.49895362359283574,-91.66666666666667,-91.66666666666667
supervised,50,0.7,15,0.04391962782917642,0.015244564226381853,0.5714839163515336,0.6863532455490723,0.4187491083687932,0.4517787000448019,-26.866666666666667,-26.866666666666667
supervised,50,0.75,15,0.02611794171735019,0.004797299203790734,0.7579526086793646,0.8100269173163842,0.37020295961721933,0.5195692904721971,8.2,8.2
supervised,50,0.8,13,0.01940991728992841,0.0024077386558903156,0.8389058884071503,0.8493202342177658,0.32323721768227354,0.4141082047113144,6.384615384615385,6.384615384615385
supervised,50,0.85,10,0.012526910361876059,0.00118557506904996,0.8,0.8671047571863306,0.3073379276658346,0.5496936491104041,5.5,5.5
supervised,50,0.9,6,0.004260887702388566,7.382701895181666e-05,0.8333333333333334,0.8949311976842828,0.3131878986587876,0.6470588235294118,0.8333333333333334,0.8333333333333334
