pretraining_objective,horizon,confidence_bucket,fill_assumption,n_groups,total_filled,total_adverse,mean_adverse_fraction,weighted_adverse_fraction,adverse_selection_mode
supervised,50.0,0.33-0.50,aggressive_crossing,1,231613,75961,0.3279651833014554,0.32796518330145547,label_proxy
supervised,50.0,0.33-0.50,passive_optimistic,1,231613,75961,0.3279651833014554,0.32796518330145547,label_proxy
supervised,50.0,0.50-0.70,aggressive_crossing,1,214812,62744,0.2920879652905797,0.2920879652905797,label_proxy
supervised,50.0,0.50-0.70,passive_optimistic,1,214812,62744,0.2920879652905797,0.2920879652905797,label_proxy
supervised,50.0,0.70-0.85,aggressive_crossing,1,8076,2113,0.2616394254581476,0.2616394254581476,label_proxy
supervised,50.0,0.70-0.85,passive_conservative,1,2286,641,0.2804024496937883,0.2804024496937883,label_proxy
supervised,50.0,0.70-0.85,passive_optimistic,1,8076,2113,0.2616394254581476,0.2616394254581476,label_proxy
supervised,50.0,0.85-1.00,aggressive_crossing,1,455,150,0.3296703296703296,0.32967032967032966,label_proxy
supervised,50.0,0.85-1.00,passive_conservative,1,455,150,0.3296703296703296,0.32967032967032966,label_proxy
supervised,50.0,0.85-1.00,passive_optimistic,1,455,150,0.3296703296703296,0.32967032967032966,label_proxy
