run_id,fold,horizon,seed,lookback,model_family,objective,pretraining_objective,max_epochs,epochs_ran,best_epoch,monitored_metric,best_validation_score,early_stopping_patience,early_stopped,training_seconds,test_macro_f1,test_accuracy,test_mcc,test_ece,status
fold_2__h10__seed_1__lb50__supervised,2,10,1,50,matrix_transformer,supervised,none,25,25,25,validation_macro_f1,0.7167922503435836,5,False,109.74597205081955,0.7306987098857832,0.817559502913712,0.6326651081984715,0.020687739821173196,skipped_existing
fold_2__h10__seed_1__lb50__deeplob_style__supervised,2,10,1,50,deeplob_style,supervised,none,25,19,14,validation_macro_f1,0.7405949973135882,5,True,50.987089255359024,0.45801355302204,0.4615951695569754,0.27653153968516914,0.28720673638978284,skipped_existing
fold_2__h10__seed_1__lb100__supervised,2,10,1,100,matrix_transformer,supervised,none,25,6,1,validation_macro_f1,0.2578756129396409,5,True,49.49221434816718,0.2686948368948186,0.3993177662118441,-0.008140658756734446,0.14143801629029648,skipped_existing
fold_2__h10__seed_1__lb100__deeplob_style__supervised,2,10,1,100,deeplob_style,supervised,none,25,25,22,validation_macro_f1,0.7474435316590596,5,False,104.06670575775206,0.4603946436458357,0.503059502039668,0.25935721130039135,0.23668294480192154,skipped_existing
fold_2__h10__seed_2__lb20__supervised,2,10,2,20,matrix_transformer,supervised,none,25,25,24,validation_macro_f1,0.7423001700847117,5,False,70.31299706501886,0.740780798859618,0.8161032402861551,0.6362154241938611,0.006562761728806446,skipped_existing
fold_2__h10__seed_2__lb20__deeplob_style__supervised,2,10,2,20,deeplob_style,supervised,none,25,17,12,validation_macro_f1,0.7415601402192279,5,True,33.413533977698535,0.4745092670703699,0.463529246738673,0.30152153203262033,0.39028578130789066,skipped_existing
fold_2__h10__seed_2__lb50__supervised,2,10,2,50,matrix_transformer,supervised,none,25,25,24,validation_macro_f1,0.7354785819770205,5,False,110.68868921278045,0.7419588381240049,0.821912518430106,0.6449511000240027,0.043478380952990794,skipped_existing
fold_2__h10__seed_2__lb50__deeplob_style__supervised,2,10,2,50,deeplob_style,supervised,none,25,19,14,validation_macro_f1,0.7440020738068752,5,True,52.642585454043,0.45693722685809957,0.45355613283718316,0.28817069256278943,0.36673847756665906,skipped_existing
fold_2__h10__seed_2__lb100__supervised,2,10,2,100,matrix_transformer,supervised,none,25,6,1,validation_macro_f1,0.2578756129396409,5,True,49.569801481906325,0.26860774426020084,0.3992474328316219,-0.008407560872846994,0.13928115323495932,skipped_existing
fold_2__h10__seed_2__lb100__deeplob_style__supervised,2,10,2,100,deeplob_style,supervised,none,25,17,12,validation_macro_f1,0.7383761236340983,5,True,72.32040234887972,0.42015922805870315,0.4538261358840906,0.22675616401580792,0.2599094794407657,skipped_existing
