run_id,fold,horizon,seed,lookback,model_family,confidence_threshold,n_total,n_active,active_fraction,macro_f1,mcc
fold_1__h10__seed_2__lb50__supervised,1,10,2,50,matrix_transformer,0.5,38348,33176,0.8651298633566288,0.6793505163371288,0.5455977118247902
fold_1__h10__seed_2__lb50__supervised,1,10,2,50,matrix_transformer,0.6,38348,28425,0.7412381349744446,0.7205300257693356,0.6089657085435264
fold_1__h10__seed_2__lb50__supervised,1,10,2,50,matrix_transformer,0.7,38348,23992,0.6256388859914468,0.7579579037271893,0.6654742646507363
fold_1__h10__seed_2__lb50__supervised,1,10,2,50,matrix_transformer,0.8,38348,19064,0.4971315322833003,0.8050658596551751,0.7341036617209984
fold_1__h10__seed_2__lb50__supervised,1,10,2,50,matrix_transformer,0.9,38348,12559,0.3275007823093773,0.8460215877911704,0.7943018865869448
fold_1__h10__seed_2__lb50__deeplob_style__supervised,1,10,2,50,deeplob_style,0.0,38348,38348,1.0,0.47925582691303914,0.29288969811218085
fold_1__h10__seed_2__lb50__deeplob_style__supervised,1,10,2,50,deeplob_style,0.5,38348,33688,0.8784812767289037,0.5098605064577514,0.333529338138697
fold_1__h10__seed_2__lb50__deeplob_style__supervised,1,10,2,50,deeplob_style,0.6,38348,24258,0.6325753624700114,0.6172169236337656,0.46391565034692894
fold_1__h10__seed_2__lb50__deeplob_style__supervised,1,10,2,50,deeplob_style,0.7,38348,17021,0.4438562636904141,0.7503238859962149,0.6447724908936889
fold_1__h10__seed_2__lb50__deeplob_style__supervised,1,10,2,50,deeplob_style,0.8,38348,12412,0.32366746636069677,0.8415659343836387,0.7813911424501523
fold_1__h10__seed_2__lb50__deeplob_style__supervised,1,10,2,50,deeplob_style,0.9,38348,7845,0.20457390215917387,0.890054525774984,0.8531827174960677
fold_1__h10__seed_2__lb100__supervised,1,10,2,100,matrix_transformer,0.0,38298,38298,1.0,0.2666922689166867,-0.03417531045942245
fold_1__h10__seed_2__lb100__supervised,1,10,2,100,matrix_transformer,0.5,38298,19517,0.5096088568593661,0.2423194833996478,0.0
fold_1__h10__seed_2__lb100__supervised,1,10,2,100,matrix_transformer,0.6,38298,19469,0.5083555277037966,0.24232517082420635,0.0
fold_1__h10__seed_2__lb100__supervised,1,10,2,100,matrix_transformer,0.7,38298,0,0.0,,
fold_1__h10__seed_2__lb100__supervised,1,10,2,100,matrix_transformer,0.8,38298,0,0.0,,
fold_1__h10__seed_2__lb100__supervised,1,10,2,100,matrix_transformer,0.9,38298,0,0.0,,
fold_1__h10__seed_2__lb100__deeplob_style__supervised,1,10,2,100,deeplob_style,0.0,38298,38298,1.0,0.5226350245640278,0.329927709875311
fold_1__h10__seed_2__lb100__deeplob_style__supervised,1,10,2,100,deeplob_style,0.5,38298,34477,0.9002297770118544,0.538697139608873,0.3580746351958517
fold_1__h10__seed_2__lb100__deeplob_style__supervised,1,10,2,100,deeplob_style,0.6,38298,21063,0.5499765000783331,0.6301252398425855,0.4972738319147712
fold_1__h10__seed_2__lb100__deeplob_style__supervised,1,10,2,100,deeplob_style,0.7,38298,13018,0.33991331140007314,0.7252580114209337,0.629676981100102
fold_1__h10__seed_2__lb100__deeplob_style__supervised,1,10,2,100,deeplob_style,0.8,38298,8223,0.2147109509634968,0.8092295865770796,0.7431232695551708
fold_1__h10__seed_2__lb100__deeplob_style__supervised,1,10,2,100,deeplob_style,0.9,38298,4429,0.11564572562535903,0.8688050013129969,0.8217356879821356
fold_1__h50__seed_0__lb20__supervised,1,50,0,20,matrix_transformer,0.0,38378,38378,1.0,0.6470251969018043,0.47033217365327606
fold_1__h50__seed_0__lb20__supervised,1,50,0,20,matrix_transformer,0.5,38378,35292,0.919589348063995,0.6665139161452004,0.49882838440183935
fold_1__h50__seed_0__lb20__supervised,1,50,0,20,matrix_transformer,0.6,38378,30114,0.7846682995466152,0.6930827633112763,0.5412458407698183
fold_1__h50__seed_0__lb20__supervised,1,50,0,20,matrix_transformer,0.7,38378,25097,0.6539423628120278,0.7221585125909611,0.5881255527205451
fold_1__h50__seed_0__lb20__supervised,1,50,0,20,matrix_transformer,0.8,38378,19644,0.5118557506904997,0.7584255205201659,0.6470457255375541
fold_1__h50__seed_0__lb20__supervised,1,50,0,20,matrix_transformer,0.9,38378,12592,0.3281046432852155,0.8018971003073547,0.721087635474461
fold_1__h50__seed_0__lb20__deeplob_style__supervised,1,50,0,20,deeplob_style,0.0,38378,38378,1.0,0.44020155205767963,0.21173052813795482
fold_1__h50__seed_0__lb20__deeplob_style__supervised,1,50,0,20,deeplob_style,0.5,38378,29229,0.7616082130387201,0.45500169416477076,0.25277089021443516
fold_1__h50__seed_0__lb20__deeplob_style__supervised,1,50,0,20,deeplob_style,0.6,38378,17993,0.46883631247068636,0.5447445062899835,0.361078846916831
fold_1__h50__seed_0__lb20__deeplob_style__supervised,1,50,0,20,deeplob_style,0.7,38378,6209,0.16178539788420448,0.7611701751049157,0.6368416249579999
fold_1__h50__seed_0__lb20__deeplob_style__supervised,1,50,0,20,deeplob_style,0.8,38378,2491,0.06490697795612069,0.8296273606417075,0.7525457094501696
