seed,model_family,horizon,lookback,run_count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,brier_score_mean,brier_score_std,ece_mean,ece_std
2,deeplob_style,10,20,5,0.5392373548592184,0.11949139614776612,0.5194545784676784,0.06893972924758922,0.3480741526682306,0.1030258420801947,0.6884787064367487,0.20839150661655242,0.2501457895334855,0.13766920091309978
2,deeplob_style,10,50,5,0.4722255798629032,0.04216059590567535,0.4671459101227205,0.0350477550478721,0.2761545067580932,0.05583836184830876,0.7924350211418326,0.1537637914598853,0.31802761693019865,0.10592076654686484
2,deeplob_style,10,100,5,0.500817185707353,0.0889453566508071,0.4649653319876201,0.06358105003231324,0.2741800425292116,0.04908521871885015,0.7481166324360162,0.2587041958116216,0.2833175263711266,0.18281140520286435
2,deeplob_style,50,20,5,0.5613874504945612,0.03794529890585673,0.5437507905294865,0.03654905134503787,0.36557382179388614,0.05452181105940017,0.6369340438164389,0.12260139891234609,0.19647168144769095,0.10996664189362775
2,deeplob_style,50,50,5,0.5280605695707571,0.07607397445137751,0.5131875895552288,0.07962500501555585,0.32143640182637245,0.11191774181091314,0.6423992828536319,0.07667427637210786,0.18844552516323068,0.08598854853185538
2,deeplob_style,50,100,5,0.494358159361543,0.06130788006551103,0.4701483074444225,0.0684328285108802,0.2908359914764242,0.09442508610264216,0.8180442662768506,0.0965164764635162,0.3307155739675405,0.07621942593810174
2,matrix_transformer,10,20,5,0.8004805731989031,0.021926530249139962,0.7355156836417489,0.028222367408792273,0.6286611886403678,0.03544311713502754,0.2765336547481666,0.03691412568326246,0.03195831261114026,0.022922710765630887
2,matrix_transformer,10,50,5,0.7899873252186688,0.04210258639846839,0.7154286361158195,0.0436881502780773,0.6071420814289317,0.06925802830138102,0.2952615882190702,0.05651704979368901,0.03433601475031936,0.008291799102974506
2,matrix_transformer,10,100,5,0.44455236676608323,0.1260624188528481,0.3378747327385806,0.13140599228854297,0.059701441690343984,0.17695865281190098,0.6159156208497534,0.09259003851719239,0.13016936813902846,0.06829485117290497
2,matrix_transformer,50,20,5,0.7524892409616762,0.07505768406379945,0.7526586163270598,0.0738140587630649,0.6320387121948221,0.1040812725595877,0.3500120309569865,0.09807891241689967,0.058071080789439525,0.04384243018958377
2,matrix_transformer,50,50,5,0.7035950477994529,0.16529601968537985,0.7007147895604645,0.1714593338838755,0.5542970610883076,0.25089176340360747,0.3907509837463014,0.15921360715800556,0.04647388777465592,0.018213291277707978
2,matrix_transformer,50,100,5,0.48685979762915615,0.11881884397706909,0.48144911475007024,0.12229334828158057,0.22927559622598004,0.1786108391022882,0.596623322633053,0.08810235498690344,0.0618563877137847,0.01728089808890261
