fold,model_family,horizon,lookback,run_count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std,brier_score_mean,brier_score_std,ece_mean,ece_std
2,matrix_transformer,10,50,3,0.7949402045449228,0.04300271143175475,0.7031074908329268,0.05781572959637719,0.5855557393869981,0.09244013979302704,0.2920610928723549,0.061143977138895904,0.025542978519554668,0.01606771120295917
2,matrix_transformer,10,100,3,0.3993998218221034,0.0002060579996160595,0.26870776464724605,0.00010707120718909576,-0.0081845485811999,0.00020462851361240713,0.6134104164616199,0.015849535310040297,0.13115858252991996,0.015973050454398355
2,matrix_transformer,50,20,3,0.7619114415299014,0.0015080612917071359,0.7590060309835489,0.001986191930273788,0.6446922911275965,0.0021794019961535135,0.3393471446629217,0.0017859194398092693,0.04031808743497497,0.010176109717066876
2,matrix_transformer,50,50,3,0.7466357742984858,0.009076675620235567,0.7441501525907727,0.010579506945336948,0.6207326553337117,0.0140923866692481,0.3589350537803957,0.008666028751852734,0.03289375228511617,0.01062303195480437
2,matrix_transformer,50,100,3,0.390959816195433,0.013387489812346836,0.38150483885695174,0.017950821282417477,0.09537358072530348,0.0134908905125178,0.661721363791283,0.004173507876459818,0.046739051852873435,0.032157507279032625
3,deeplob_style,10,20,3,0.6333819767232372,0.15322835190298686,0.5649606257899477,0.08698052916138875,0.4065250732667279,0.12080690504117139,0.5524271633476446,0.2517346867856468,0.14395546247111762,0.17227954660779107
3,deeplob_style,10,50,3,0.6333910315356738,0.17094446189151075,0.5500758456519196,0.0944116453056812,0.38853526071240596,0.17381237125730972,0.5104116293745461,0.19620066397837002,0.14672260510408752,0.14054275923338425
3,deeplob_style,10,100,3,0.5259451847037157,0.20850844544587968,0.48562322679846953,0.15767844392258268,0.3303684815381278,0.20047986760981854,0.8147173882244241,0.4166774077298086,0.34402477464785525,0.24586098086551547
3,deeplob_style,50,20,3,0.5865492018880841,0.0764401859749107,0.5784822843143433,0.08491828789153819,0.3925458544633062,0.10431687694866686,0.5247810131445347,0.0555885559557667,0.0908032602850623,0.030089011331514613
3,deeplob_style,50,50,3,0.5404969257676565,0.02297743639375791,0.526792196336583,0.023516832922313106,0.32348578246113857,0.03220496245434058,0.5603630969468771,0.025459513330936226,0.07413616981078623,0.028634108952635563
3,deeplob_style,50,100,3,0.5047575199508901,0.03997437068004711,0.4768193055523984,0.053166111908429785,0.30124245368971186,0.06510529783396847,0.7441322457658998,0.2084763732265305,0.2749192787553443,0.14891435392323818
3,matrix_transformer,10,20,3,0.8016340575793608,0.0038532179732888258,0.7307805881091483,0.008217362866063067,0.6318687947965675,0.007363108239978763,0.2741856635621556,0.00664488143417408,0.040682455801920536,0.010128796393005743
3,matrix_transformer,10,50,3,0.7882025206902147,0.011416885992599282,0.7081559418936113,0.016491972863139866,0.6058692228595038,0.02115888792751951,0.30065697575545103,0.01844506358817025,0.04869877127700723,0.014277692290928097
3,matrix_transformer,10,100,3,0.6227837359621565,0.03750435862197186,0.3820289947731845,0.16501133325350667,0.17872374595761745,0.17011648445402044,0.5187237001401047,0.05014009248949482,0.023069249139193934,0.020252096454150634
3,matrix_transformer,50,20,3,0.7606565056029978,0.0025198197238429604,0.7623667111506958,0.00257884122719056,0.6415168264938494,0.004377700828540425,0.3440779410923134,0.004894515319443238,0.06783145574747347,0.007533189671579273
3,matrix_transformer,50,50,3,0.7622743910135049,0.005735183275115193,0.7637117971131412,0.005728199230655643,0.6442793632644126,0.009001081254597653,0.33841564540170116,0.006574152001033584,0.056716340139817696,0.011702091288050349
3,matrix_transformer,50,100,3,0.450492904344058,0.0633042882547467,0.4460265458726449,0.06395730287838096,0.17233947280059328,0.09458596304011897,0.6285386795944385,0.03222574174534525,0.0383342785251673,0.01998675964623878
4,deeplob_style,10,20,3,0.4852729678421446,0.0032118931311966724,0.48861777576235266,0.009360881300063009,0.2996354021127334,0.01328063925116334,0.6928216147442571,0.006791943092824556,0.24826083202706592,0.005094851722018233
4,deeplob_style,10,50,3,0.5076577614002763,0.10178011053719635,0.4960797362131626,0.09212308113770243,0.3199673892372292,0.08272809987974142,0.7943288915087464,0.30392101473598165,0.3043239272636908,0.23003187470644848
4,deeplob_style,10,100,3,0.5566799285014127,0.1822694833903085,0.5202301202039135,0.13869549873339818,0.3704718058290279,0.17670343095354252,0.7144305381124454,0.33598610689551023,0.28375383697433015,0.22856369782706115
4,deeplob_style,50,20,3,0.5790906824675449,0.02083765990282365,0.5577185525832852,0.02444187147758233,0.38169042557808447,0.006235086757781613,0.6030103569750129,0.09731795678229734,0.1824611164694617,0.09443185184480432
4,deeplob_style,50,50,3,0.5436050974973131,0.040754196891951415,0.5292494919218226,0.03779681390632416,0.35107993767749557,0.028931372001328205,0.640358823441416,0.09853268568719198,0.2228313168101538,0.08291781706712972
4,deeplob_style,50,100,3,0.5273693517077015,0.01729733256266026,0.507031510948334,0.0192803869773981,0.3147362038252653,0.0255665390233019,0.796002248694985,0.09204922382151805,0.32717175313624486,0.05686021068515111
4,matrix_transformer,10,20,3,0.7977621814416384,0.004185790543278436,0.7405178458932281,0.010040635246161455,0.6363198663460242,0.009096832120535648,0.27754785836658374,0.007461749231622804,0.020669631918806667,0.00843517360490689
4,matrix_transformer,10,50,3,0.7930581145401504,0.004425800893221399,0.7261485065135845,0.006633334979424337,0.6247181022152436,0.00794820825835502,0.29153909270307504,0.009951318620524707,0.027406752826611164,0.019885946394076478
4,matrix_transformer,10,100,3,0.44888427607680326,0.11887951164359113,0.28657278325919205,0.015376562785263444,-0.016861734397102066,0.05571928124801711,0.6583824329525203,0.07885934235348534,0.12027685531234511,0.07791830842963843
4,matrix_transformer,50,20,3,0.781079215325318,0.013074976323660791,0.781483954403673,0.012233384197174646,0.670476786166763,0.018657553050514968,0.3121578900364333,0.016977916717569607,0.04575546372406023,0.011403540515543384
4,matrix_transformer,50,50,3,0.7606325809918625,0.018776715122728715,0.761749555836469,0.01892303056755169,0.6387472986021556,0.028761759392185213,0.33740488665554436,0.024010487604055417,0.028480040888919065,0.0013334953531280753
