run_id,fold,horizon,seed,lookback,objective,pretraining_objective,max_epochs,epochs_ran,best_epoch,monitored_metric,best_validation_score,early_stopping_patience,early_stopped,training_seconds,test_macro_f1,test_accuracy,test_mcc,test_ece,status
fold_4__h10__seed_2__lb50__market_state_multitask,4,10,2,50,market_state_multitask,market_state_multitask,25,25,23,validation_macro_f1,0.7362034832191573,5,False,173.39990234095603,0.7379537837849992,0.7945935052970982,0.6294176542995867,0.022814546884514182,skipped_existing
fold_4__h50__seed_0__lb50__supervised,4,50,0,50,supervised,none,25,25,24,validation_macro_f1,0.7564780939444434,5,False,10290.242934399983,0.7524299905179213,0.7508924458774758,0.6298046408586491,0.057769116608989896,skipped_existing
fold_4__h50__seed_0__lb50__market_state_multitask,4,50,0,50,market_state_multitask,market_state_multitask,25,25,25,validation_macro_f1,0.7545839838499218,5,False,8631.383098499966,0.7358839769419268,0.7352602487333026,0.6120753391340962,0.07843435781924188,skipped_existing
fold_4__h50__seed_1__lb50__supervised,4,50,1,50,supervised,none,25,25,24,validation_macro_f1,0.7458080325897217,5,False,175.23739542998374,0.7200034363197613,0.7194265315522801,0.5905818704900626,0.08232962923366659,skipped_existing
fold_4__h50__seed_1__lb50__market_state_multitask,4,50,1,50,market_state_multitask,market_state_multitask,25,25,24,validation_macro_f1,0.7657003615956652,5,False,175.14164729090407,0.7361884307719828,0.7350011515430677,0.6089403789729129,0.05025541929057199,skipped_existing
fold_4__h50__seed_2__lb50__supervised,4,50,2,50,supervised,none,25,25,22,validation_macro_f1,0.767903537280913,5,False,173.22800800576806,0.771592871369151,0.7704974666052511,0.6565117801942371,0.03813772990958412,skipped_existing
fold_4__h50__seed_2__lb50__market_state_multitask,4,50,2,50,market_state_multitask,market_state_multitask,25,25,25,validation_macro_f1,0.7629558581375963,5,False,173.06618329137564,0.7467677532524283,0.7459408106863197,0.6243191723541315,0.06462637942439041,skipped_existing
fold_5__h10__seed_0__lb50__supervised,5,10,0,50,supervised,none,25,6,1,validation_macro_f1,0.25726338395459425,5,True,2149.6147031999426,0.3341410481538931,0.42457100478224175,0.023821082615779168,0.15021073305515847,skipped_existing
fold_5__h10__seed_0__lb50__market_state_multitask,5,10,0,50,market_state_multitask,market_state_multitask,25,25,25,validation_macro_f1,0.7358302850570505,5,False,8886.46054400003,0.7415528854885572,0.811037516303097,0.6416963220305204,0.034180151883220156,skipped_existing
fold_5__h10__seed_1__lb50__supervised,5,10,1,50,supervised,none,25,25,25,validation_macro_f1,0.7297856218306791,5,False,214.78295495780185,0.7345675977343703,0.8027261335447408,0.627561272163156,0.040849599130192184,skipped_existing
fold_5__h10__seed_1__lb50__market_state_multitask,5,10,1,50,market_state_multitask,market_state_multitask,25,25,25,validation_macro_f1,0.7313869836470218,5,False,214.45327309612185,0.7390747578783582,0.8111909572155589,0.6414581570688397,0.041067075532494134,skipped_existing
fold_5__h10__seed_2__lb50__supervised,5,10,2,50,supervised,none,25,7,2,validation_macro_f1,0.26049581551966855,5,True,60.8383735450916,0.33268582129301166,0.4198654834667417,0.014760520014733231,0.13492686420806463,skipped_existing
fold_5__h10__seed_2__lb50__market_state_multitask,5,10,2,50,market_state_multitask,market_state_multitask,25,25,24,validation_macro_f1,0.7416453487438418,5,False,214.35448345681652,0.743752639821766,0.8105260465948905,0.6436366847612516,0.04679954709879926,skipped_existing
fold_5__h50__seed_0__lb50__supervised,5,50,0,50,supervised,none,25,25,25,validation_macro_f1,0.7669764314960839,5,False,8876.54941820004,0.7524366876081491,0.7558499347876122,0.6413270986605074,0.0493503376275654,skipped_existing
fold_5__h50__seed_0__lb50__market_state_multitask,5,50,0,50,market_state_multitask,market_state_multitask,25,25,25,validation_macro_f1,0.7617316981734114,5,False,8981.862020200002,0.7737551452641123,0.7764877375137458,0.6666765170171746,0.03991441283424867,skipped_existing
fold_5__h50__seed_1__lb50__supervised,5,50,1,50,supervised,none,25,25,24,validation_macro_f1,0.7623039549751401,5,False,215.91601291391999,0.7688040910741322,0.7713474669462701,0.6605882217727039,0.0386132004529087,skipped_existing
fold_5__h50__seed_1__lb50__market_state_multitask,5,50,1,50,market_state_multitask,market_state_multitask,25,25,25,validation_macro_f1,0.7736789798204313,5,False,215.41048989770934,0.7753737261251924,0.7769224867657213,0.6696921902959806,0.042256636562132605,skipped_existing
fold_5__h50__seed_2__lb50__supervised,5,50,2,50,supervised,none,25,25,25,validation_macro_f1,0.7600734871508908,5,False,214.31877692369744,0.7655205214522534,0.768048487328338,0.6543597878228495,0.043808424978204946,skipped_existing
fold_5__h50__seed_2__lb50__market_state_multitask,5,50,2,50,market_state_multitask,market_state_multitask,25,25,23,validation_macro_f1,0.7374451169871898,5,False,200.14277928695083,0.75222512834265,0.7546991279441475,0.6330241400561522,0.0641799712668406,skipped_existing
