horizon,model,ablation_mode,feature_group,completed_runs,failed_runs,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_mcc,std_mcc,mean_ece
20,logistic,derived_microstructure_only,derived_microstructure,15,0,0.6440024251763278,0.0615657907938688,0.5475652031567013,0.10173047159858863,0.4239728544796303,0.1224324491953802,0.09477436585397021
20,logistic,no_proxy_features,no_proxy,15,0,0.5008777455600593,0.02287193016641066,0.27307137104473356,0.01599488033360056,0.0727748146113221,0.021083288503702346,0.028391496051601683
20,logistic,only_one_group,depth_imbalance,15,0,0.49480749297937715,0.02601718790212546,0.22054870701734228,0.007670179787369093,-0.0034992668026258052,0.0037915413052706857,0.02961291465421415
20,logistic,only_one_group,depth_slope,15,0,0.4948651666958544,0.026044799267464565,0.22078476643391298,0.0077016151665182594,0.002508895199310488,0.0044641632825654825,0.035865969677002056
20,logistic,only_one_group,liquidity_concentration,15,0,0.4948806010685358,0.02598912007342334,0.22056770906686388,0.007663282717415485,-0.0006880419720813983,0.0013760839441627965,0.029488557044669062
20,logistic,only_one_group,microprice,15,0,0.49488400961267426,0.02597150585317147,0.22057082755309745,0.007659162398221,0.00010476741189970566,0.0008755191011439354,0.03309081913866319
20,logistic,only_one_group,midprice,15,0,0.4948910185490682,0.02598372100236586,0.22057011190657635,0.007662053594936672,0.0,0.0,0.03291798989821032
20,logistic,only_one_group,price_levels,15,0,0.4974074663522898,0.02504336583758036,0.23398351269173606,0.010176607806305612,0.03963275477251775,0.02210400990261177,0.030797374069814927
20,logistic,only_one_group,size_levels,15,0,0.49317950404570443,0.026440555986465334,0.22784512938916165,0.009838745874027291,0.006631049446225315,0.00850557854423827,0.037382028029563114
20,logistic,only_one_group,snapshot_order_flow_proxy,15,0,0.6431279620452224,0.06680711856073607,0.5376516704100215,0.12072347909637504,0.42847148291979714,0.12927606964319588,0.09728151859271975
20,logistic,only_one_group,spread,15,0,0.5013811283650748,0.023599234831310233,0.2493337252508443,0.009903278481197582,0.07007997953011105,0.013240915884016907,0.029753754027327776
20,logistic,only_one_group,top_of_book,15,0,0.4948910185490682,0.02598372100236586,0.22057011190657635,0.007662053594936672,0.0,0.0,0.02972657036404426
20,logistic,only_one_group,top_of_book_imbalance,15,0,0.49488591025319567,0.025981784561737054,0.2205724756626123,0.0076596061957659115,-8.499310330694366e-06,0.0018342052074963324,0.030886449908695348
20,logistic,only_one_group,volatility_proxy,15,0,0.49427470329082085,0.026129646224074144,0.22108605370890944,0.007942608702305426,-0.0064135999191865705,0.007209309839101008,0.036580507988263296
20,logistic,raw_lob_only,raw_lob,15,0,0.49499304488764745,0.02539776190257974,0.2461706267812076,0.00975768244196946,0.03878224735800943,0.017063181157450806,0.027564215969912844
20,logistic,remove_one_group,depth_imbalance,15,0,0.6418690430696192,0.06075828333367064,0.5495971612725774,0.0933317633527408,0.4176637341222664,0.12304593454615112,0.09025009690836507
20,logistic,remove_one_group,depth_slope,15,0,0.6418196615763915,0.06072081710227836,0.5496980811743085,0.09297268458244817,0.4175941813664016,0.1227496324152986,0.09030216383468018
20,logistic,remove_one_group,liquidity_concentration,15,0,0.6418148405631988,0.0608657634085887,0.5496023090828716,0.09328310489993659,0.41749939642227546,0.12343188310220193,0.09048988521832414
20,logistic,remove_one_group,microprice,15,0,0.6416592608088368,0.061008067515453984,0.5491973023946569,0.09375471569484754,0.4172158949159769,0.12351846085041951,0.0902371051910291
20,logistic,remove_one_group,midprice,15,0,0.641591152952812,0.06075525257967699,0.549253443459948,0.09312540448823041,0.41714191140226464,0.1229383561555494,0.09004941986067411
20,logistic,remove_one_group,price_levels,15,0,0.6427593148704087,0.060962798969903455,0.5501444453320421,0.09459974819514494,0.4198919685125436,0.12308105410889628,0.09278580383077167
20,logistic,remove_one_group,size_levels,15,0,0.6422007218272964,0.06036115941766595,0.5479123236773886,0.09549645629807968,0.41951299001069586,0.12171077851706853,0.09079820573616598
20,logistic,remove_one_group,snapshot_order_flow_proxy,15,0,0.5008777455600593,0.02287193016641066,0.27307137104473356,0.01599488033360056,0.0727748146113221,0.021083288503702346,0.028391496051601683
20,logistic,remove_one_group,spread,15,0,0.640968542934973,0.06427027556316973,0.5445948800774847,0.10335818826211003,0.41670288400588584,0.1313674636374811,0.09366020483453134
20,logistic,remove_one_group,top_of_book,15,0,0.6417362425003572,0.060639787555746,0.5495449192158446,0.09281545688392356,0.4175356105384767,0.12278345611370294,0.09035247510770325
20,logistic,remove_one_group,top_of_book_imbalance,15,0,0.6417225919863739,0.06067439097232802,0.5494346989248577,0.093176020772681,0.4173639160727783,0.1228311473058548,0.09027501336692755
20,logistic,remove_one_group,volatility_proxy,15,0,0.6418699069065507,0.060703526300537276,0.5493814790350835,0.09305666325514754,0.4181541038640045,0.12292855595483372,0.09065531602354883
20,ridge,all_features,all,15,0,0.5359525618176053,0.019338591549769083,0.3631184052517155,0.015183275166287188,0.18968583819904594,0.02303935163315339,
20,ridge,derived_microstructure_only,derived_microstructure,15,0,0.5334874281194149,0.021275498637133187,0.3461059405469268,0.01944953925383145,0.18625432440728046,0.015069889827658117,
20,ridge,no_proxy_features,no_proxy,15,0,0.501995897766699,0.022906740920878604,0.2732274533153402,0.01537979677169577,0.07618647084104575,0.023462585886107747,
20,ridge,only_one_group,depth_imbalance,15,0,0.49482301875578205,0.026013662183113805,0.22055109194247657,0.007670324080661515,-0.0034246612515165024,0.004125171804749535,
20,ridge,only_one_group,depth_slope,15,0,0.49487899272052516,0.026021684966512627,0.22075584507502974,0.007668692801906743,0.00238585566124974,0.0035269770051696327,
20,ridge,only_one_group,liquidity_concentration,15,0,0.49488580980880204,0.025986418590023163,0.22056852964355128,0.007662862651841007,-0.000710992021609684,0.001421984043219368,
20,ridge,only_one_group,microprice,15,0,0.49488400961267426,0.02597150585317147,0.22057082755309745,0.007659162398221,0.00010476741189970566,0.0008755191011439354,
20,ridge,only_one_group,midprice,15,0,0.4948910185490682,0.02598372100236586,0.22057011190657635,0.007662053594936672,0.0,0.0,
20,ridge,only_one_group,price_levels,15,0,0.49910170820029365,0.024490875842679588,0.24541652547925122,0.01218706041191713,0.053569979030483966,0.021802888837372962,
20,ridge,only_one_group,size_levels,15,0,0.4936791577391239,0.02635171542980489,0.22501106668808085,0.008412564529731922,0.0030448736782196636,0.008747827422293611,
20,ridge,only_one_group,snapshot_order_flow_proxy,15,0,0.5247490926257793,0.02410569434277235,0.3047729917824418,0.02006001669649846,0.1787920993382625,0.02250428840403904,
20,ridge,only_one_group,spread,15,0,0.5011711435250981,0.023332655470109997,0.24730359441324223,0.01013321625652413,0.06770564912462755,0.01631229814881479,
