fold,horizon,seed,model,ablation_mode,feature_group,baseline_accuracy,accuracy,delta_accuracy,baseline_macro_f1,macro_f1,delta_macro_f1,baseline_mcc,mcc,delta_mcc,baseline_ece,ece,delta_ece,interpretation
fold_1,20,1,ridge,only_one_group,snapshot_order_flow_proxy,0.5135817902440295,0.4991275360054171,-0.014454254238612407,0.3601085761135927,0.2657750487792479,-0.0943335273343448,0.15826264586567082,0.13507818018511258,-0.023184465680558236,,,,hurt
fold_1,20,1,ridge,only_one_group,volatility_proxy,0.5135817902440295,0.4810532072818189,-0.03252858296221062,0.3601085761135927,0.21714154285200246,-0.14296703326159024,0.15826264586567082,-0.004201417914378393,-0.1624640637800492,,,,hurt
fold_1,20,1,ridge,raw_lob_only,raw_lob,0.5135817902440295,0.4776414824074798,-0.03594030783654972,0.3601085761135927,0.2535872612914288,-0.10652131482216393,0.15826264586567082,0.02925797541403901,-0.1290046704516318,,,,hurt
fold_1,20,1,ridge,derived_microstructure_only,derived_microstructure,0.5135817902440295,0.5138943146599995,0.0003125244159699614,0.3601085761135927,0.32520912362976606,-0.03489945248382664,0.15826264586567082,0.1624452858050457,0.0041826399393748714,,,,hurt
fold_1,20,1,ridge,no_proxy_features,no_proxy,0.5135817902440295,0.48344922780425553,-0.03013256243977397,0.3601085761135927,0.28317799205277544,-0.07693058406081726,0.15826264586567082,0.06463546782129541,-0.09362717804437541,,,,hurt
fold_1,20,2,logistic,all_features,all,0.5295465791598302,0.5295465791598302,0.0,0.39445898070997076,0.39445898070997076,0.0,0.197934599122932,0.197934599122932,0.0,0.025204406446474235,0.025204406446474235,0.0,neutral
fold_1,20,2,logistic,remove_one_group,price_levels,0.5295465791598302,0.5298330598744694,0.00028648071463921454,0.39445898070997076,0.39089200458883183,-0.0035669761211389317,0.197934599122932,0.19880140040816058,0.0008668012852285911,0.025204406446474235,0.02744976316606115,0.002245356719586915,hurt
fold_1,20,2,logistic,remove_one_group,size_levels,0.5295465791598302,0.5315519441623043,0.0020053650024741687,0.39445898070997076,0.38895025528013066,-0.0055087254298401,0.197934599122932,0.20353658375995484,0.005601984637022855,0.025204406446474235,0.025727573747940928,0.0005231673014666934,hurt
fold_1,20,2,logistic,remove_one_group,top_of_book,0.5295465791598302,0.5298070161731385,0.00026043701330835667,0.39445898070997076,0.3950937013555616,0.0006347206455908361,0.197934599122932,0.19853517541486349,0.0006005762919314983,0.025204406446474235,0.024935107923251196,-0.00026929852322303896,neutral
fold_1,20,2,logistic,remove_one_group,spread,0.5295465791598302,0.5210302888246477,-0.00851629033518242,0.39445898070997076,0.36470639363425295,-0.029752587075717818,0.197934599122932,0.17841016484317343,-0.019524434279758557,0.025204406446474235,0.01871751274044793,-0.006486893706026304,hurt
fold_1,20,2,logistic,remove_one_group,midprice,0.5295465791598302,0.5298330598744694,0.00028648071463921454,0.39445898070997076,0.39504024435258733,0.0005812636426165696,0.197934599122932,0.198618801655699,0.0006842025327670198,0.025204406446474235,0.024929232379473903,-0.0002751740670003319,neutral
fold_1,20,2,logistic,remove_one_group,microprice,0.5295465791598302,0.5294684480558377,-7.813110399246259e-05,0.39445898070997076,0.39397469970484633,-0.00048428100512443173,0.197934599122932,0.19775040143992967,-0.00018419768300231842,0.025204406446474235,0.024627168996451898,-0.0005772374500223366,neutral
