ablation_family,ablation_name,fold_id,model_name,split,metric_name,metric_value,baseline_value,delta_vs_baseline,status,skip_reason
horizon,horizon_100,fold_1,logistic,test,macro_f1,0.401032077784693,0.33282132091497396,0.06821075686971906,ok,
horizon,horizon_100,fold_1,logistic,test,mcc,0.18548640583516274,0.11839941945666792,0.06708698637849482,ok,
feature_groups,all_features,fold_2,logistic,validation,accuracy,0.6255668691708737,0.6255668691708737,0.0,ok,
feature_groups,all_features,fold_2,logistic,validation,macro_f1,0.34718089930972457,0.34718089930972457,0.0,ok,
feature_groups,all_features,fold_2,logistic,validation,mcc,0.12127658328419835,0.12127658328419835,0.0,ok,
feature_groups,all_features,fold_2,logistic,test,accuracy,0.6447520588750657,0.6447520588750657,0.0,ok,
feature_groups,all_features,fold_2,logistic,test,macro_f1,0.31135009744071246,0.31135009744071246,0.0,ok,
feature_groups,all_features,fold_2,logistic,test,mcc,0.09594275620858116,0.09594275620858116,0.0,ok,
feature_groups,top_of_book_only,fold_2,logistic,validation,accuracy,0.6286472148541115,0.6255668691708737,0.003080345683237784,ok,
feature_groups,top_of_book_only,fold_2,logistic,validation,macro_f1,0.25732899022801303,0.34718089930972457,-0.08985190908171153,ok,
feature_groups,top_of_book_only,fold_2,logistic,validation,mcc,0.0,0.12127658328419835,-0.12127658328419835,ok,
feature_groups,top_of_book_only,fold_2,logistic,test,accuracy,0.6435955843700718,0.6447520588750657,-0.0011564745049938985,ok,
feature_groups,top_of_book_only,fold_2,logistic,test,macro_f1,0.2610518834399432,0.31135009744071246,-0.05029821400076928,ok,
feature_groups,top_of_book_only,fold_2,logistic,test,mcc,0.0,0.09594275620858116,-0.09594275620858116,ok,
feature_groups,depth_features,fold_2,logistic,validation,accuracy,0.6281338239069051,0.6255668691708737,0.0025669547360314127,ok,
feature_groups,depth_features,fold_2,logistic,validation,macro_f1,0.26440403096302884,0.34718089930972457,-0.08277686834669573,ok,
feature_groups,depth_features,fold_2,logistic,validation,mcc,0.02968794888442314,0.12127658328419835,-0.09158863439977522,ok,
feature_groups,depth_features,fold_2,logistic,test,accuracy,0.6434554056421938,0.6447520588750657,-0.0012966532328718694,ok,
feature_groups,depth_features,fold_2,logistic,test,macro_f1,0.2620976067219481,0.31135009744071246,-0.04925249071876436,ok,
feature_groups,depth_features,fold_2,logistic,test,mcc,0.009986222025062108,0.09594275620858116,-0.08595653418351905,ok,
feature_groups,liquidity_depth_features,fold_2,logistic,validation,accuracy,0.6286472148541115,0.6255668691708737,0.003080345683237784,ok,
feature_groups,liquidity_depth_features,fold_2,logistic,validation,macro_f1,0.25732899022801303,0.34718089930972457,-0.08985190908171153,ok,
feature_groups,liquidity_depth_features,fold_2,logistic,validation,mcc,0.0,0.12127658328419835,-0.12127658328419835,ok,
feature_groups,liquidity_depth_features,fold_2,logistic,test,accuracy,0.6434554056421938,0.6447520588750657,-0.0012966532328718694,ok,
feature_groups,liquidity_depth_features,fold_2,logistic,test,macro_f1,0.2612783723725877,0.31135009744071246,-0.05007172506812474,ok,
feature_groups,liquidity_depth_features,fold_2,logistic,test,mcc,-0.0005073328892055143,0.09594275620858116,-0.09645008909778667,ok,
feature_groups,price_only,fold_2,logistic,validation,accuracy,0.628476084538376,0.6255668691708737,0.002909215367502327,ok,
feature_groups,price_only,fold_2,logistic,validation,macro_f1,0.267800908142202,0.34718089930972457,-0.07937999116752259,ok,
feature_groups,price_only,fold_2,logistic,validation,mcc,0.035358162277513705,0.12127658328419835,-0.08591842100668465,ok,
feature_groups,price_only,fold_2,logistic,test,accuracy,0.6431400035044682,0.6447520588750657,-0.0016120553705974983,ok,
feature_groups,price_only,fold_2,logistic,test,macro_f1,0.26408521002815893,0.31135009744071246,-0.047264887412553525,ok,
feature_groups,price_only,fold_2,logistic,test,mcc,0.01405672760947784,0.09594275620858116,-0.08188602859910332,ok,
feature_groups,labels_excluded,fold_2,logistic,validation,accuracy,0.6255668691708737,0.6255668691708737,0.0,ok,
feature_groups,labels_excluded,fold_2,logistic,validation,macro_f1,0.34718089930972457,0.34718089930972457,0.0,ok,
feature_groups,labels_excluded,fold_2,logistic,validation,mcc,0.12127658328419835,0.12127658328419835,0.0,ok,
feature_groups,labels_excluded,fold_2,logistic,test,accuracy,0.6447520588750657,0.6447520588750657,0.0,ok,
feature_groups,labels_excluded,fold_2,logistic,test,macro_f1,0.31135009744071246,0.31135009744071246,0.0,ok,
feature_groups,labels_excluded,fold_2,logistic,test,mcc,0.09594275620858116,0.09594275620858116,0.0,ok,
horizon,horizon_10,fold_2,logistic,validation,accuracy,0.6255668691708737,0.6255668691708737,0.0,ok,
horizon,horizon_10,fold_2,logistic,validation,macro_f1,0.34718089930972457,0.34718089930972457,0.0,ok,
horizon,horizon_10,fold_2,logistic,validation,mcc,0.12127658328419835,0.12127658328419835,0.0,ok,
horizon,horizon_10,fold_2,logistic,test,accuracy,0.6447520588750657,0.6447520588750657,0.0,ok,
horizon,horizon_10,fold_2,logistic,test,macro_f1,0.31135009744071246,0.31135009744071246,0.0,ok,
horizon,horizon_10,fold_2,logistic,test,mcc,0.09594275620858116,0.09594275620858116,0.0,ok,
horizon,horizon_50,fold_2,logistic,validation,accuracy,0.4551210746983828,0.6255668691708737,-0.17044579447249086,ok,
horizon,horizon_50,fold_2,logistic,validation,macro_f1,0.4545716314415158,0.34718089930972457,0.10739073213179123,ok,
horizon,horizon_50,fold_2,logistic,validation,mcc,0.19020467543493294,0.12127658328419835,0.06892809215073459,ok,
horizon,horizon_50,fold_2,logistic,test,accuracy,0.4204660942701945,0.6447520588750657,-0.2242859646048712,ok,
horizon,horizon_50,fold_2,logistic,test,macro_f1,0.4169050694098709,0.31135009744071246,0.10555497196915842,ok,
horizon,horizon_50,fold_2,logistic,test,mcc,0.13226925075096965,0.09594275620858116,0.036326494542388496,ok,
horizon,horizon_100,fold_2,logistic,validation,accuracy,0.48951826816120475,0.6255668691708737,-0.13604860100966892,ok,
horizon,horizon_100,fold_2,logistic,validation,macro_f1,0.39919515839469977,0.34718089930972457,0.0520142590849752,ok,
horizon,horizon_100,fold_2,logistic,validation,mcc,0.21131079179089277,0.12127658328419835,0.09003420850669441,ok,
