ablation_family,ablation_name,fold_id,model_name,split,metric_name,metric_value,baseline_value,delta_vs_baseline,status,skip_reason,confidence_threshold
calibration,confidence_threshold_0.7,fold_1,logistic,test,eligible_predictions,3656.0,19588.0,-15932.0,ok,,0.7
calibration,confidence_threshold_0,fold_2,logistic,test,hit_rate_proxy,0.6395223365225523,0.6395223365225523,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_2,logistic,test,hit_rate_proxy,0.6869357408390866,0.6395223365225523,0.04741340431653429,ok,,0.5
calibration,confidence_threshold_0.6,fold_2,logistic,test,hit_rate_proxy,0.7379440767256518,0.6395223365225523,0.09842174020309946,ok,,0.6
calibration,confidence_threshold_0.7,fold_2,logistic,test,hit_rate_proxy,0.7910060536177573,0.6395223365225523,0.15148371709520503,ok,,0.7
calibration,confidence_threshold_0,fold_2,logistic,test,eligible_predictions,13901.0,13901.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_2,logistic,test,eligible_predictions,11298.0,13901.0,-2603.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_2,logistic,test,eligible_predictions,7403.0,13901.0,-6498.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_2,logistic,test,eligible_predictions,3469.0,13901.0,-10432.0,ok,,0.7
calibration,confidence_threshold_0,fold_3,logistic,test,hit_rate_proxy,0.5983405483405484,0.5983405483405484,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_3,logistic,test,hit_rate_proxy,0.6546806560048894,0.5983405483405484,0.056340107664341055,ok,,0.5
calibration,confidence_threshold_0.6,fold_3,logistic,test,hit_rate_proxy,0.6985837438423645,0.5983405483405484,0.10024319550181615,ok,,0.6
calibration,confidence_threshold_0.7,fold_3,logistic,test,hit_rate_proxy,0.7609489051094891,0.5983405483405484,0.1626083567689407,ok,,0.7
calibration,confidence_threshold_0,fold_3,logistic,test,eligible_predictions,13860.0,13860.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_3,logistic,test,eligible_predictions,9817.0,13860.0,-4043.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_3,logistic,test,eligible_predictions,6496.0,13860.0,-7364.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_3,logistic,test,eligible_predictions,3288.0,13860.0,-10572.0,ok,,0.7
calibration,confidence_threshold_0,fold_4,logistic,test,hit_rate_proxy,0.5651593207403167,0.5651593207403167,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_4,logistic,test,hit_rate_proxy,0.6312695204850266,0.5651593207403167,0.06611019974470989,ok,,0.5
calibration,confidence_threshold_0.6,fold_4,logistic,test,hit_rate_proxy,0.6956843038723027,0.5651593207403167,0.13052498313198602,ok,,0.6
calibration,confidence_threshold_0.7,fold_4,logistic,test,hit_rate_proxy,0.7616120218579235,0.5651593207403167,0.19645270111760682,ok,,0.7
calibration,confidence_threshold_0,fold_4,logistic,test,eligible_predictions,15723.0,15723.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_4,logistic,test,eligible_predictions,10886.0,15723.0,-4837.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_4,logistic,test,eligible_predictions,6766.0,15723.0,-8957.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_4,logistic,test,eligible_predictions,2928.0,15723.0,-12795.0,ok,,0.7
calibration,confidence_threshold_0,fold_5,logistic,test,hit_rate_proxy,0.6336209021444417,0.6336209021444417,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_5,logistic,test,hit_rate_proxy,0.7048852701702443,0.6336209021444417,0.0712643680258026,ok,,0.5
calibration,confidence_threshold_0.6,fold_5,logistic,test,hit_rate_proxy,0.7430881585811163,0.6336209021444417,0.10946725643667465,ok,,0.6
calibration,confidence_threshold_0.7,fold_5,logistic,test,hit_rate_proxy,0.7931034482758621,0.6336209021444417,0.15948254613142043,ok,,0.7
calibration,confidence_threshold_0,fold_5,logistic,test,eligible_predictions,20285.0,20285.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_5,logistic,test,eligible_predictions,13510.0,20285.0,-6775.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_5,logistic,test,eligible_predictions,7668.0,20285.0,-12617.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_5,logistic,test,eligible_predictions,3306.0,20285.0,-16979.0,ok,,0.7
calibration,confidence_threshold_0,fold_1,majority,test,hit_rate_proxy,0.5688176434551766,0.5688176434551766,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_1,majority,test,hit_rate_proxy,0.5688176434551766,0.5688176434551766,0.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_1,majority,test,hit_rate_proxy,0.5688176434551766,0.5688176434551766,0.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_1,majority,test,hit_rate_proxy,0.0,0.5688176434551766,-0.5688176434551766,ok,,0.7
calibration,confidence_threshold_0,fold_1,majority,test,eligible_predictions,19588.0,19588.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_1,majority,test,eligible_predictions,19588.0,19588.0,0.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_1,majority,test,eligible_predictions,19588.0,19588.0,0.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_1,majority,test,eligible_predictions,0.0,19588.0,-19588.0,ok,,0.7
calibration,confidence_threshold_0,fold_2,majority,test,hit_rate_proxy,0.6389468383569528,0.6389468383569528,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_2,majority,test,hit_rate_proxy,0.6389468383569528,0.6389468383569528,0.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_2,majority,test,hit_rate_proxy,0.6389468383569528,0.6389468383569528,0.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_2,majority,test,hit_rate_proxy,0.0,0.6389468383569528,-0.6389468383569528,ok,,0.7
calibration,confidence_threshold_0,fold_2,majority,test,eligible_predictions,13901.0,13901.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_2,majority,test,eligible_predictions,13901.0,13901.0,0.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_2,majority,test,eligible_predictions,13901.0,13901.0,0.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_2,majority,test,eligible_predictions,0.0,13901.0,-13901.0,ok,,0.7
calibration,confidence_threshold_0,fold_3,majority,test,hit_rate_proxy,0.5805194805194805,0.5805194805194805,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_3,majority,test,hit_rate_proxy,0.5805194805194805,0.5805194805194805,0.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_3,majority,test,hit_rate_proxy,0.5805194805194805,0.5805194805194805,0.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_3,majority,test,hit_rate_proxy,0.0,0.5805194805194805,-0.5805194805194805,ok,,0.7
calibration,confidence_threshold_0,fold_3,majority,test,eligible_predictions,13860.0,13860.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_3,majority,test,eligible_predictions,13860.0,13860.0,0.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_3,majority,test,eligible_predictions,13860.0,13860.0,0.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_3,majority,test,eligible_predictions,0.0,13860.0,-13860.0,ok,,0.7
calibration,confidence_threshold_0,fold_4,majority,test,hit_rate_proxy,0.5402276919163009,0.5402276919163009,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_4,majority,test,hit_rate_proxy,0.5402276919163009,0.5402276919163009,0.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_4,majority,test,hit_rate_proxy,0.5402276919163009,0.5402276919163009,0.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_4,majority,test,hit_rate_proxy,0.0,0.5402276919163009,-0.5402276919163009,ok,,0.7
calibration,confidence_threshold_0,fold_4,majority,test,eligible_predictions,15723.0,15723.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_4,majority,test,eligible_predictions,15723.0,15723.0,0.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_4,majority,test,eligible_predictions,15723.0,15723.0,0.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_4,majority,test,eligible_predictions,0.0,15723.0,-15723.0,ok,,0.7
calibration,confidence_threshold_0,fold_5,majority,test,hit_rate_proxy,0.6183386738969682,0.6183386738969682,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_5,majority,test,hit_rate_proxy,0.6183386738969682,0.6183386738969682,0.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_5,majority,test,hit_rate_proxy,0.6183386738969682,0.6183386738969682,0.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_5,majority,test,hit_rate_proxy,0.0,0.6183386738969682,-0.6183386738969682,ok,,0.7
calibration,confidence_threshold_0,fold_5,majority,test,eligible_predictions,20285.0,20285.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_5,majority,test,eligible_predictions,20285.0,20285.0,0.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_5,majority,test,eligible_predictions,20285.0,20285.0,0.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_5,majority,test,eligible_predictions,0.0,20285.0,-20285.0,ok,,0.7
calibration,confidence_threshold_0,fold_1,random_forest,test,hit_rate_proxy,0.5592199305697366,0.5592199305697366,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_1,random_forest,test,hit_rate_proxy,0.6956879978028014,0.5592199305697366,0.13646806723306482,ok,,0.5
calibration,confidence_threshold_0.6,fold_1,random_forest,test,hit_rate_proxy,0.7680381633870006,0.5592199305697366,0.20881823281726397,ok,,0.6
calibration,confidence_threshold_0.7,fold_1,random_forest,test,hit_rate_proxy,0.7887323943661971,0.5592199305697366,0.2295124637964605,ok,,0.7
calibration,confidence_threshold_0,fold_1,random_forest,test,eligible_predictions,19588.0,19588.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_1,random_forest,test,eligible_predictions,7282.0,19588.0,-12306.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_1,random_forest,test,eligible_predictions,1677.0,19588.0,-17911.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_1,random_forest,test,eligible_predictions,142.0,19588.0,-19446.0,ok,,0.7
calibration,confidence_threshold_0,fold_2,random_forest,test,hit_rate_proxy,0.6249910078411625,0.6249910078411625,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_2,random_forest,test,hit_rate_proxy,0.7516202203499676,0.6249910078411625,0.1266292125088051,ok,,0.5
calibration,confidence_threshold_0.6,fold_2,random_forest,test,hit_rate_proxy,0.81005071461503,0.6249910078411625,0.18505970677386752,ok,,0.6
calibration,confidence_threshold_0.7,fold_2,random_forest,test,hit_rate_proxy,0.8351648351648352,0.6249910078411625,0.21017382732367274,ok,,0.7
calibration,confidence_threshold_0,fold_2,random_forest,test,eligible_predictions,13901.0,13901.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_2,random_forest,test,eligible_predictions,6172.0,13901.0,-7729.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_2,random_forest,test,eligible_predictions,2169.0,13901.0,-11732.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_2,random_forest,test,eligible_predictions,364.0,13901.0,-13537.0,ok,,0.7
calibration,confidence_threshold_0,fold_3,random_forest,test,hit_rate_proxy,0.5839826839826839,0.5839826839826839,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_3,random_forest,test,hit_rate_proxy,0.687793427230047,0.5839826839826839,0.10381074324736306,ok,,0.5
calibration,confidence_threshold_0.6,fold_3,random_forest,test,hit_rate_proxy,0.7530707327403643,0.5839826839826839,0.16908804875768035,ok,,0.6
calibration,confidence_threshold_0.7,fold_3,random_forest,test,hit_rate_proxy,0.7735849056603774,0.5839826839826839,0.18960222167769347,ok,,0.7
calibration,confidence_threshold_0,fold_3,random_forest,test,eligible_predictions,13860.0,13860.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_3,random_forest,test,eligible_predictions,6390.0,13860.0,-7470.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_3,random_forest,test,eligible_predictions,2361.0,13860.0,-11499.0,ok,,0.6
calibration,confidence_threshold_0.7,fold_3,random_forest,test,eligible_predictions,424.0,13860.0,-13436.0,ok,,0.7
calibration,confidence_threshold_0,fold_4,random_forest,test,hit_rate_proxy,0.5930802009794568,0.5930802009794568,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_4,random_forest,test,hit_rate_proxy,0.6683922922059247,0.5930802009794568,0.07531209122646787,ok,,0.5
calibration,confidence_threshold_0.6,fold_4,random_forest,test,hit_rate_proxy,0.7246397694524496,0.5930802009794568,0.13155956847299277,ok,,0.6
calibration,confidence_threshold_0.7,fold_4,random_forest,test,hit_rate_proxy,0.7788513150831992,0.5930802009794568,0.18577111410374236,ok,,0.7
calibration,confidence_threshold_0,fold_4,random_forest,test,eligible_predictions,15723.0,15723.0,0.0,ok,,0.0
calibration,confidence_threshold_0.5,fold_4,random_forest,test,eligible_predictions,10431.0,15723.0,-5292.0,ok,,0.5
calibration,confidence_threshold_0.6,fold_4,random_forest,test,eligible_predictions,6940.0,15723.0,-8783.0,ok,,0.6
