ablation_family,ablation_name,model_name,split,metric_name,fold_count,metric_value_mean,baseline_value_mean,delta_vs_baseline_mean,delta_vs_baseline_std,status
execution,cost_1_latency_1,elastic_net,test,turnover_proxy,5,15810.0,15811.0,-1.0,0.0,ok
execution,cost_1_latency_1,gradient_boosting,test,gross_signal_return_proxy,5,10.597473661826209,13.028808645291075,-2.4313349834648688,2.2496714685540002,ok
execution,cost_1_latency_1,gradient_boosting,test,net_signal_return_proxy,5,9.597473661826209,13.028808645291075,-3.431334983464869,2.2496714685540002,ok
execution,cost_1_latency_1,gradient_boosting,test,turnover_proxy,5,15345.6,15346.4,-0.8,0.4000000000000001,ok
execution,cost_1_latency_1,logistic,test,gross_signal_return_proxy,5,19.542644675501855,19.69851517367156,-0.15587049816970194,0.12560272524472263,ok
execution,cost_1_latency_1,logistic,test,net_signal_return_proxy,5,18.542644675501855,19.69851517367156,-1.1558704981697019,0.12560272524472263,ok
execution,cost_1_latency_1,logistic,test,turnover_proxy,5,15808.2,15809.2,-1.0,0.0,ok
execution,cost_1_latency_1,majority,test,gross_signal_return_proxy,5,21.28582479955753,21.28622984703073,-0.000405047473199005,0.004626371985088749,ok
execution,cost_1_latency_1,majority,test,net_signal_return_proxy,5,20.28582479955753,21.28622984703073,-1.000405047473199,0.004626371985088749,ok
execution,cost_1_latency_1,majority,test,turnover_proxy,5,16670.4,16671.4,-1.0,0.0,ok
execution,cost_1_latency_1,random_forest,test,gross_signal_return_proxy,5,9.963590599004672,9.824365963998629,0.13922463500604185,1.1030902606123467,ok
execution,cost_1_latency_1,random_forest,test,net_signal_return_proxy,5,8.963590599004672,9.824365963998629,-0.8607753649939582,1.1030902606123467,ok
execution,cost_1_latency_1,random_forest,test,turnover_proxy,5,15190.0,15191.0,-1.0,0.0,ok
execution,cost_5_latency_0,elastic_net,test,gross_signal_return_proxy,5,19.697543779947186,19.697543779947186,0.0,0.0,ok
execution,cost_5_latency_0,elastic_net,test,net_signal_return_proxy,5,14.697543779947182,19.697543779947186,-5.000000000000002,1.7763568394002505e-15,ok
execution,cost_5_latency_0,elastic_net,test,turnover_proxy,5,15811.0,15811.0,0.0,0.0,ok
execution,cost_5_latency_0,gradient_boosting,test,gross_signal_return_proxy,5,13.028808645291075,13.028808645291075,0.0,0.0,ok
execution,cost_5_latency_0,gradient_boosting,test,net_signal_return_proxy,5,8.028808645291075,13.028808645291075,-4.999999999999998,1.5888218580782547e-15,ok
execution,cost_5_latency_0,gradient_boosting,test,turnover_proxy,5,15346.4,15346.4,0.0,0.0,ok
execution,cost_5_latency_0,logistic,test,gross_signal_return_proxy,5,19.69851517367156,19.69851517367156,0.0,0.0,ok
execution,cost_5_latency_0,logistic,test,net_signal_return_proxy,5,14.698515173671558,19.69851517367156,-5.000000000000001,1.4321446692197793e-15,ok
execution,cost_5_latency_0,logistic,test,turnover_proxy,5,15809.2,15809.2,0.0,0.0,ok
execution,cost_5_latency_0,majority,test,gross_signal_return_proxy,5,21.28622984703073,21.28622984703073,0.0,0.0,ok
execution,cost_5_latency_0,majority,test,net_signal_return_proxy,5,16.28622984703073,21.28622984703073,-5.000000000000001,1.4321446692197793e-15,ok
execution,cost_5_latency_0,majority,test,turnover_proxy,5,16671.4,16671.4,0.0,0.0,ok
execution,cost_5_latency_0,random_forest,test,gross_signal_return_proxy,5,9.824365963998629,9.824365963998629,0.0,0.0,ok
execution,cost_5_latency_0,random_forest,test,net_signal_return_proxy,5,4.824365963998628,9.824365963998629,-5.000000000000002,1.9860273225978185e-15,ok
execution,cost_5_latency_0,random_forest,test,turnover_proxy,5,15191.0,15191.0,0.0,0.0,ok
execution,cost_5_latency_1,elastic_net,test,gross_signal_return_proxy,5,19.538370452466474,19.697543779947186,-0.15917332748070834,0.122602914020889,ok
execution,cost_5_latency_1,elastic_net,test,net_signal_return_proxy,5,14.538370452466475,19.697543779947186,-5.159173327480708,0.12260291402088909,ok
execution,cost_5_latency_1,elastic_net,test,turnover_proxy,5,15810.0,15811.0,-1.0,0.0,ok
execution,cost_5_latency_1,gradient_boosting,test,gross_signal_return_proxy,5,10.597473661826209,13.028808645291075,-2.4313349834648688,2.2496714685540002,ok
execution,cost_5_latency_1,gradient_boosting,test,net_signal_return_proxy,5,5.597473661826209,13.028808645291075,-7.431334983464869,2.2496714685540002,ok
execution,cost_5_latency_1,gradient_boosting,test,turnover_proxy,5,15345.6,15346.4,-0.8,0.4000000000000001,ok
execution,cost_5_latency_1,logistic,test,gross_signal_return_proxy,5,19.542644675501855,19.69851517367156,-0.15587049816970194,0.12560272524472263,ok
execution,cost_5_latency_1,logistic,test,net_signal_return_proxy,5,14.542644675501856,19.69851517367156,-5.155870498169702,0.1256027252447226,ok
execution,cost_5_latency_1,logistic,test,turnover_proxy,5,15808.2,15809.2,-1.0,0.0,ok
execution,cost_5_latency_1,majority,test,gross_signal_return_proxy,5,21.28582479955753,21.28622984703073,-0.000405047473199005,0.004626371985088749,ok
execution,cost_5_latency_1,majority,test,net_signal_return_proxy,5,16.28582479955753,21.28622984703073,-5.000405047473199,0.004626371985088749,ok
execution,cost_5_latency_1,majority,test,turnover_proxy,5,16670.4,16671.4,-1.0,0.0,ok
execution,cost_5_latency_1,random_forest,test,gross_signal_return_proxy,5,9.963590599004672,9.824365963998629,0.13922463500604185,1.1030902606123467,ok
execution,cost_5_latency_1,random_forest,test,net_signal_return_proxy,5,4.963590599004671,9.824365963998629,-4.860775364993958,1.1030902606123472,ok
execution,cost_5_latency_1,random_forest,test,turnover_proxy,5,15190.0,15191.0,-1.0,0.0,ok
feature_groups,all_features,logistic,test,accuracy,5,0.6124873871288532,0.6124873871288532,0.0,0.0,ok
feature_groups,all_features,logistic,test,macro_f1,5,0.32606759805121416,0.32606759805121416,0.0,0.0,ok
feature_groups,all_features,logistic,test,mcc,5,0.12268834542905349,0.12268834542905349,0.0,0.0,ok
feature_groups,all_features,logistic,validation,accuracy,5,0.6429551082318454,0.6429551082318454,0.0,0.0,ok
feature_groups,all_features,logistic,validation,macro_f1,5,0.33514239015669745,0.33514239015669745,0.0,0.0,ok
feature_groups,all_features,logistic,validation,mcc,5,0.11666763508774987,0.11666763508774987,0.0,0.0,ok
feature_groups,depth_features,logistic,test,accuracy,5,0.6063283116997622,0.6124873871288532,-0.006159075429090999,0.003466663514542495,ok
feature_groups,depth_features,logistic,test,macro_f1,5,0.2577512696138619,0.32606759805121416,-0.06831632843735229,0.012477840900738344,ok
feature_groups,depth_features,logistic,test,mcc,5,0.031066831430826815,0.12268834542905349,-0.09162151399822668,0.013314835676787486,ok
feature_groups,depth_features,logistic,validation,accuracy,5,0.6424401754071435,0.6429551082318454,-0.0005149328247019636,0.0020290845432142457,ok
feature_groups,depth_features,logistic,validation,macro_f1,5,0.2708220988496072,0.33514239015669745,-0.06432029130709029,0.013230212598371927,ok
feature_groups,depth_features,logistic,validation,mcc,5,0.03818803520172975,0.11666763508774987,-0.07847959988602012,0.013544243257568528,ok
feature_groups,labels_excluded,logistic,test,accuracy,5,0.6124873871288532,0.6124873871288532,0.0,0.0,ok
feature_groups,labels_excluded,logistic,test,macro_f1,5,0.32606759805121416,0.32606759805121416,0.0,0.0,ok
feature_groups,labels_excluded,logistic,test,mcc,5,0.12268834542905349,0.12268834542905349,0.0,0.0,ok
feature_groups,labels_excluded,logistic,validation,accuracy,5,0.6429551082318454,0.6429551082318454,0.0,0.0,ok
feature_groups,labels_excluded,logistic,validation,macro_f1,5,0.33514239015669745,0.33514239015669745,0.0,0.0,ok
feature_groups,labels_excluded,logistic,validation,mcc,5,0.11666763508774987,0.11666763508774987,0.0,0.0,ok
feature_groups,liquidity_depth_features,logistic,test,accuracy,5,0.6055940908251454,0.6124873871288532,-0.006893296303707763,0.00377948991164598,ok
feature_groups,liquidity_depth_features,logistic,test,macro_f1,5,0.2521695546561314,0.32606759805121416,-0.0738980433950828,0.013033594690211361,ok
feature_groups,liquidity_depth_features,logistic,test,mcc,5,0.006029664909686067,0.12268834542905349,-0.11665868051936745,0.013924754161178991,ok
feature_groups,liquidity_depth_features,logistic,validation,accuracy,5,0.6419970153952785,0.6429551082318454,-0.0009580928365669594,0.0029597037637029925,ok
feature_groups,liquidity_depth_features,logistic,validation,macro_f1,5,0.26057719658930073,0.33514239015669745,-0.07456519356739674,0.017531023127730277,ok
feature_groups,liquidity_depth_features,logistic,validation,mcc,5,0.0,0.11666763508774987,-0.11666763508774987,0.018626996008203278,ok
feature_groups,price_only,logistic,test,accuracy,5,0.6068024333087922,0.6124873871288532,-0.005684953820061023,0.0028885976675546727,ok
feature_groups,price_only,logistic,test,macro_f1,5,0.2584211925502154,0.32606759805121416,-0.06764640550099874,0.013761166910838145,ok
feature_groups,price_only,logistic,test,mcc,5,0.03462446789538962,0.12268834542905349,-0.08806387753366389,0.01656126585969983,ok
feature_groups,price_only,logistic,validation,accuracy,5,0.6431701756195031,0.6429551082318454,0.00021506738765761924,0.0018911988799190044,ok
feature_groups,price_only,logistic,validation,macro_f1,5,0.27340272202325255,0.33514239015669745,-0.06173966813344495,0.01239056406006748,ok
