ablation_family,ablation_name,fold_id,model_name,split,metric_name,metric_value,baseline_value,delta_vs_baseline,status,skip_reason,baseline_model
model_class,elastic_net,fold_2,elastic_net,test,mcc,0.0959036245261458,0.2704567807921451,-0.17455315626599927,ok,,gradient_boosting
model_class,gradient_boosting,fold_2,gradient_boosting,test,mcc,0.2704567807921451,0.2704567807921451,0.0,ok,,gradient_boosting
model_class,logistic,fold_2,logistic,test,mcc,0.0959427562085811,0.2704567807921451,-0.17451402458356396,ok,,gradient_boosting
model_class,majority,fold_2,majority,test,mcc,0.0,0.2704567807921451,-0.2704567807921451,ok,,gradient_boosting
model_class,random_forest,fold_2,random_forest,test,mcc,0.2258528793188267,0.2704567807921451,-0.044603901473318386,ok,,gradient_boosting
model_class,ridge,fold_2,ridge,test,mcc,0.0839007449132368,0.2704567807921451,-0.1865560358789083,ok,,gradient_boosting
model_class,elastic_net,fold_3,elastic_net,test,mcc,0.1269474560056485,0.2777568013483258,-0.15080934534267731,ok,,gradient_boosting
model_class,gradient_boosting,fold_3,gradient_boosting,test,mcc,0.2777568013483258,0.2777568013483258,0.0,ok,,gradient_boosting
model_class,logistic,fold_3,logistic,test,mcc,0.1278536839413466,0.2777568013483258,-0.1499031174069792,ok,,gradient_boosting
model_class,majority,fold_3,majority,test,mcc,0.0,0.2777568013483258,-0.2777568013483258,ok,,gradient_boosting
model_class,random_forest,fold_3,random_forest,test,mcc,0.2462268020796165,0.2777568013483258,-0.03152999926870931,ok,,gradient_boosting
model_class,ridge,fold_3,ridge,test,mcc,0.1167139148807057,0.2777568013483258,-0.1610428864676201,ok,,gradient_boosting
model_class,elastic_net,fold_4,elastic_net,test,mcc,0.1301216959077118,0.2763509779371429,-0.1462292820294311,ok,,gradient_boosting
model_class,gradient_boosting,fold_4,gradient_boosting,test,mcc,0.2763509779371429,0.2763509779371429,0.0,ok,,gradient_boosting
model_class,logistic,fold_4,logistic,test,mcc,0.1297672098939523,0.2763509779371429,-0.14658376804319062,ok,,gradient_boosting
model_class,majority,fold_4,majority,test,mcc,0.0,0.2763509779371429,-0.2763509779371429,ok,,gradient_boosting
model_class,random_forest,fold_4,random_forest,test,mcc,0.256775508422591,0.2763509779371429,-0.019575469514551913,ok,,gradient_boosting
model_class,ridge,fold_4,ridge,test,mcc,0.1206739043255066,0.2763509779371429,-0.1556770736116363,ok,,gradient_boosting
