ablation_family,ablation_name,fold_id,model_name,split,metric_name,metric_value,baseline_value,delta_vs_baseline,status,skip_reason,confidence_threshold,cost_bps,latency_steps
execution,cost_0_latency_1,fold_4,elastic_net,test,turnover_proxy,15080.0,15081.0,-1.0,ok,,0.0,0.0,1
execution,cost_0.5_latency_1,fold_4,elastic_net,test,net_signal_return_proxy,24.266386980568782,25.033863340014275,-0.7674763594454923,ok,,0.0,0.5,1
execution,cost_0.5_latency_1,fold_4,elastic_net,test,gross_signal_return_proxy,24.766386980568782,25.033863340014275,-0.2674763594454923,ok,,0.0,0.5,1
execution,cost_0.5_latency_1,fold_4,elastic_net,test,turnover_proxy,15080.0,15081.0,-1.0,ok,,0.0,0.5,1
execution,cost_1_latency_1,fold_4,elastic_net,test,net_signal_return_proxy,23.766386980568782,25.033863340014275,-1.2674763594454923,ok,,0.0,1.0,1
execution,cost_1_latency_1,fold_4,elastic_net,test,gross_signal_return_proxy,24.766386980568782,25.033863340014275,-0.2674763594454923,ok,,0.0,1.0,1
execution,cost_1_latency_1,fold_4,elastic_net,test,turnover_proxy,15080.0,15081.0,-1.0,ok,,0.0,1.0,1
execution,cost_5_latency_1,fold_4,elastic_net,test,net_signal_return_proxy,19.766386980568782,25.033863340014275,-5.267476359445492,ok,,0.0,5.0,1
execution,cost_5_latency_1,fold_4,elastic_net,test,gross_signal_return_proxy,24.766386980568782,25.033863340014275,-0.2674763594454923,ok,,0.0,5.0,1
execution,cost_5_latency_1,fold_4,elastic_net,test,turnover_proxy,15080.0,15081.0,-1.0,ok,,0.0,5.0,1
execution,cost_0_latency_0,fold_5,elastic_net,test,net_signal_return_proxy,14.748250781917475,14.748250781917475,0.0,ok,,0.0,0.0,0
execution,cost_0_latency_0,fold_5,elastic_net,test,gross_signal_return_proxy,14.748250781917475,14.748250781917475,0.0,ok,,0.0,0.0,0
execution,cost_0_latency_0,fold_5,elastic_net,test,turnover_proxy,19195.0,19195.0,0.0,ok,,0.0,0.0,0
execution,cost_0.5_latency_0,fold_5,elastic_net,test,net_signal_return_proxy,14.248250781917475,14.748250781917475,-0.5,ok,,0.0,0.5,0
