fold_id,model_name,split,accuracy,macro_f1,mcc,brier_score,ece,n_train,n_validation,n_test,seed,status,error
4,majority,test,0.583096162138853,0.24555095518268322,0.0,0.5739072296614355,0.023262390007179,121946,21521,34785,0,ok,
4,logistic,validation,0.6641884670786673,0.34610236672458944,0.1374370891239947,0.48264756076236986,0.05077296006623945,121946,21521,34785,0,ok,
4,logistic,test,0.5945091274974845,0.31890180798174184,0.12976720989395235,0.5366361376530762,0.011411271295956961,121946,21521,34785,0,ok,
4,ridge,validation,0.6658147855582919,0.3371706699504799,0.13329456391840616,,,121946,21521,34785,0,ok,
4,ridge,test,0.5936466867902832,0.30342606890249674,0.12067390432550665,,,121946,21521,34785,0,ok,
4,elastic_net,validation,0.6641884670786673,0.34638090366765845,0.13756655613058583,0.48263960591473376,0.050795725970316015,121946,21521,34785,0,ok,
4,elastic_net,test,0.5945953715682046,0.31907785402808453,0.1301216959077118,0.5366471180487538,0.011073034955939831,121946,21521,34785,0,ok,
4,random_forest,validation,0.6017843037033596,0.40451867192167845,0.1579133373473408,0.5593973535867983,0.12538837383774887,121946,21521,34785,0,ok,
4,random_forest,test,0.6183699870633894,0.4644540843218941,0.25677550842259106,0.5147367195478182,0.05095679684377397,121946,21521,34785,0,ok,
4,gradient_boosting,validation,0.6739463779564147,0.43430452897754074,0.2396108950930724,0.4613364169758708,0.0709551564241558,121946,21521,34785,0,ok,
4,gradient_boosting,test,0.6311916055771166,0.46465714414401904,0.2763509779371429,0.4875203253765174,0.01707443550899137,121946,21521,34785,0,ok,
5,majority,validation,0.6288428453885855,0.2573781533186383,0.0,0.5365623574949535,0.024166049844939197,151514,26738,39152,0,ok,
5,majority,test,0.6129444217409072,0.2533438902084983,0.0,0.5494969433013153,0.008267626197260958,151514,26738,39152,0,ok,
5,logistic,validation,0.6327698406761912,0.35152156743414315,0.1348538475405057,0.5104841485973943,0.03218717508275313,151514,26738,39152,0,ok,
5,logistic,test,0.6218583980384144,0.3417645413774361,0.14147865764471945,0.527196691079594,0.032240879356602976,151514,26738,39152,0,ok,
