fold,horizon,seed,lookback,model_family,ssl_objective,supervised_run_id,ssl_run_id,supervised_macro_f1,ssl_macro_f1,delta_macro_f1,supervised_mcc,ssl_mcc,delta_mcc,supervised_ece,ssl_ece,delta_ece
3,20,0,20,matrix_transformer,masked_reconstruction,fold_3__h20__seed_0__lb20__supervised,fold_3__h20__seed_0__lb20__masked_reconstruction,0.3898009323075937,0.3130513451553243,-0.07674958715226943,0.1086002990033104,0.0835383979436879,-0.0250619010596225,0.0478408278646495,0.1778055331224309,0.1299647052577814
3,20,0,20,matrix_transformer,next_field,fold_3__h20__seed_0__lb20__supervised,fold_3__h20__seed_0__lb20__next_field,0.3898009323075937,0.2354289868000031,-0.15437194550759062,0.1086002990033104,0.0112925113929223,-0.09730778761038811,0.0478408278646495,0.1246857565746634,0.07684492871001389
3,20,1,20,matrix_transformer,masked_reconstruction,fold_3__h20__seed_1__lb20__supervised,fold_3__h20__seed_1__lb20__masked_reconstruction,0.3988332323965446,0.3571041041387039,-0.0417291282578407,0.1347893082074626,0.0911394722388721,-0.0436498359685905,0.0646213000275433,0.1275524513546576,0.0629311513271143
3,20,1,20,matrix_transformer,next_field,fold_3__h20__seed_1__lb20__supervised,fold_3__h20__seed_1__lb20__next_field,0.3988332323965446,0.2203997803488037,-0.17843345204774091,0.1347893082074626,0.0228264383070785,-0.1119628699003841,0.0646213000275433,0.0709854366175143,0.006364136589971009
3,20,2,20,matrix_transformer,masked_reconstruction,fold_3__h20__seed_2__lb20__supervised,fold_3__h20__seed_2__lb20__masked_reconstruction,0.3666243261395573,0.3696281733372106,0.0030038471976532866,0.0910970558215747,0.0809867231407889,-0.010110332680785789,0.1188470459268141,0.1132495923658615,-0.005597453560952592
3,20,2,20,matrix_transformer,next_field,fold_3__h20__seed_2__lb20__supervised,fold_3__h20__seed_2__lb20__next_field,0.3666243261395573,0.3403946961338847,-0.026229630005672633,0.0910970558215747,0.0264585288513481,-0.0646385269702266,0.1188470459268141,0.0666354772097476,-0.05221156871706649
3,50,0,20,matrix_transformer,masked_reconstruction,fold_3__h50__seed_0__lb20__supervised,fold_3__h50__seed_0__lb20__masked_reconstruction,0.3976637723055082,0.390320484334435,-0.007343287971073198,0.1500691882859532,0.1312230156419386,-0.018846172644014586,0.0572774192594274,0.1303018562420993,0.07302443698267191
3,50,0,20,matrix_transformer,next_field,fold_3__h50__seed_0__lb20__supervised,fold_3__h50__seed_0__lb20__next_field,0.3976637723055082,0.4194324196520955,0.02176864734658729,0.1500691882859532,0.1496262298192784,-0.0004429584666748032,0.0572774192594274,0.034355419353308,-0.0229219999061194
3,50,1,20,matrix_transformer,masked_reconstruction,fold_3__h50__seed_1__lb20__supervised,fold_3__h50__seed_1__lb20__masked_reconstruction,0.4165034324997965,0.3973190595175344,-0.01918437298226211,0.1453994784542444,0.1496035477878295,0.004204069333585109,0.1046928152540645,0.1129638415370863,0.008271026283021801
3,50,1,20,matrix_transformer,next_field,fold_3__h50__seed_1__lb20__supervised,fold_3__h50__seed_1__lb20__next_field,0.4165034324997965,0.4106092081498811,-0.005894224349915378,0.1453994784542444,0.1403903913314476,-0.005009087122796796,0.1046928152540645,0.0938606891295991,-0.010832126124465394
3,50,2,20,matrix_transformer,masked_reconstruction,fold_3__h50__seed_2__lb20__supervised,fold_3__h50__seed_2__lb20__masked_reconstruction,0.4028420514228152,0.4175560224847151,0.014713971061899866,0.1460272541674283,0.1522302289019398,0.006202974734511507,0.1092870122847563,0.0867921855190162,-0.022494826765740106
3,50,2,20,matrix_transformer,next_field,fold_3__h50__seed_2__lb20__supervised,fold_3__h50__seed_2__lb20__next_field,0.4028420514228152,0.3609569063081421,-0.04188514511467312,0.1460272541674283,0.1165983655383216,-0.029428888629106684,0.1092870122847563,0.060200242462172,-0.0490867698225843
4,10,0,20,matrix_transformer,masked_reconstruction,fold_4__h10__seed_0__lb20__supervised,fold_4__h10__seed_0__lb20__masked_reconstruction,0.3623271782589143,0.3386806479758771,-0.023646530283037204,0.0489612106214829,-0.0029272739916571,-0.051888484613139996,0.0887605456008189,0.0894163405607329,0.0006557949599139967
4,10,0,20,matrix_transformer,next_field,fold_4__h10__seed_0__lb20__supervised,fold_4__h10__seed_0__lb20__next_field,0.3623271782589143,0.2988753995833428,-0.0634517786755715,0.0489612106214829,-0.0430386676635482,-0.09199987828503109,0.0887605456008189,0.1322526399364361,0.043492094335617196
4,10,1,20,matrix_transformer,masked_reconstruction,fold_4__h10__seed_1__lb20__supervised,fold_4__h10__seed_1__lb20__masked_reconstruction,0.3609170277907691,0.3435817260182021,-0.017335301772567036,0.050798881950835,0.0221679167989873,-0.0286309651518477,0.0574284140318842,0.119093798489445,0.0616653844575608
4,10,1,20,matrix_transformer,next_field,fold_4__h10__seed_1__lb20__supervised,fold_4__h10__seed_1__lb20__next_field,0.3609170277907691,0.3305477195772247,-0.030369308213544444,0.050798881950835,0.0033352351759215,-0.0474636467749135,0.0574284140318842,0.1077612889055976,0.05033287487371339
4,10,2,20,matrix_transformer,masked_reconstruction,fold_4__h10__seed_2__lb20__supervised,fold_4__h10__seed_2__lb20__masked_reconstruction,0.3760397677045768,0.3083571273355577,-0.06768264036901911,0.0826322885588018,-0.0007785668117548,-0.08341085537055659,0.084284778196078,0.1417779192415837,0.057493141045505694
4,10,2,20,matrix_transformer,next_field,fold_4__h10__seed_2__lb20__supervised,fold_4__h10__seed_2__lb20__next_field,0.3760397677045768,0.3007861111117814,-0.07525365659279543,0.0826322885588018,-0.0446451773350777,-0.1272774658938795,0.084284778196078,0.1658614960666016,0.0815767178705236
4,20,0,20,matrix_transformer,masked_reconstruction,fold_4__h20__seed_0__lb20__supervised,fold_4__h20__seed_0__lb20__masked_reconstruction,0.406204218698456,0.3850760892753881,-0.02112812942306791,0.1310951682473272,0.0915390064805886,-0.039556161766738596,0.0551131575567014,0.0763881567823988,0.021274999225697394
4,20,0,20,matrix_transformer,next_field,fold_4__h20__seed_0__lb20__supervised,fold_4__h20__seed_0__lb20__next_field,0.406204218698456,0.2551333063155295,-0.15107091238292653,0.1310951682473272,-0.0252639027022785,-0.1563590709496057,0.0551131575567014,0.0841716911152111,0.029058533558509694
4,20,1,20,matrix_transformer,masked_reconstruction,fold_4__h20__seed_1__lb20__supervised,fold_4__h20__seed_1__lb20__masked_reconstruction,0.4018510229612479,0.3815024865771819,-0.02034853638406603,0.1365078208734346,0.1264073336682137,-0.010100487205220915,0.1072351303692957,0.0938728902266412,-0.013362240142654497
4,20,1,20,matrix_transformer,next_field,fold_4__h20__seed_1__lb20__supervised,fold_4__h20__seed_1__lb20__next_field,0.4018510229612479,0.3569141927656281,-0.04493683019561984,0.1365078208734346,0.039642985744182,-0.0968648351292526,0.1072351303692957,0.0975893568923746,-0.009645773476921096
4,20,2,20,matrix_transformer,masked_reconstruction,fold_4__h20__seed_2__lb20__supervised,fold_4__h20__seed_2__lb20__masked_reconstruction,0.3935290985316008,0.3843021283971568,-0.009226970134444012,0.1282047115603494,0.1053823532459568,-0.02282235831439261,0.0851318685335829,0.0686325642274773,-0.016499304306105605
4,20,2,20,matrix_transformer,next_field,fold_4__h20__seed_2__lb20__supervised,fold_4__h20__seed_2__lb20__next_field,0.3935290985316008,0.3527095564767055,-0.0408195420548953,0.1282047115603494,0.0314101419798124,-0.096794569580537,0.0851318685335829,0.0781870313162335,-0.006944837217349398
4,50,0,20,matrix_transformer,masked_reconstruction,fold_4__h50__seed_0__lb20__supervised,fold_4__h50__seed_0__lb20__masked_reconstruction,0.4361753843747121,0.4092934233717177,-0.026881961002994392,0.1918675266110348,0.117566021591272,-0.07430150501976279,0.0240471059493759,0.0900318280033368,0.0659847220539609
4,50,0,20,matrix_transformer,next_field,fold_4__h50__seed_0__lb20__supervised,fold_4__h50__seed_0__lb20__next_field,0.4361753843747121,0.4334043436980916,-0.0027710406766204843,0.1918675266110348,0.1661555738836189,-0.025711952727415888,0.0240471059493759,0.0284208766130501,0.0043737706636742014
4,50,1,20,matrix_transformer,masked_reconstruction,fold_4__h50__seed_1__lb20__supervised,fold_4__h50__seed_1__lb20__masked_reconstruction,0.4598431707797076,0.4206095649856414,-0.039233605794066206,0.2059484207031049,0.1543950005753361,-0.05155342012776881,0.0531787977598411,0.1110420388091734,0.057863241049332305
4,50,1,20,matrix_transformer,next_field,fold_4__h50__seed_1__lb20__supervised,fold_4__h50__seed_1__lb20__next_field,0.4598431707797076,0.4410656934101506,-0.018777477369556983,0.2059484207031049,0.1970515545799406,-0.008896866123164288,0.0531787977598411,0.052226383972984,-0.0009524137868570995
4,50,2,20,matrix_transformer,masked_reconstruction,fold_4__h50__seed_2__lb20__supervised,fold_4__h50__seed_2__lb20__masked_reconstruction,0.43208652408221,0.3963316305010003,-0.0357548935812097,0.1826898455490013,0.1041797611962196,-0.0785100843527817,0.0476607556868191,0.1145679251408104,0.0669071694539913
4,50,2,20,matrix_transformer,next_field,fold_4__h50__seed_2__lb20__supervised,fold_4__h50__seed_2__lb20__next_field,0.43208652408221,0.4411675810297789,0.009081056947568888,0.1826898455490013,0.1997213573802814,0.0170315118312801,0.0476607556868191,0.0686554886569116,0.020994732970092495
5,10,0,20,matrix_transformer,masked_reconstruction,fold_5__h10__seed_0__lb20__supervised,fold_5__h10__seed_0__lb20__masked_reconstruction,0.4463728417241037,0.301771178689197,-0.14460166303490668,0.2013486903121792,-0.0305678628597406,-0.23191655317191978,0.1089314274325045,0.0367414374388818,-0.0721899899936227
5,10,0,20,matrix_transformer,next_field,fold_5__h10__seed_0__lb20__supervised,fold_5__h10__seed_0__lb20__next_field,0.4463728417241037,0.2535553135370904,-0.1928175281870133,0.2013486903121792,0.001703387579576,-0.1996453027326032,0.1089314274325045,0.0371319763865362,-0.0717994510459683
5,10,1,20,matrix_transformer,masked_reconstruction,fold_5__h10__seed_1__lb20__supervised,fold_5__h10__seed_1__lb20__masked_reconstruction,0.317006595270575,0.3431116696740022,0.026105074403427186,-0.0012354768704852,0.0662534184171541,0.0674888952876393,0.0176652125012655,0.1354782693868078,0.11781305688554229
5,10,1,20,matrix_transformer,next_field,fold_5__h10__seed_1__lb20__supervised,fold_5__h10__seed_1__lb20__next_field,0.317006595270575,0.307559004886255,-0.009447590384320026,-0.0012354768704852,-0.0063500083658455,-0.0051145314953603,0.0176652125012655,0.133981791399931,0.11631657889866549
5,10,2,20,matrix_transformer,masked_reconstruction,fold_5__h10__seed_2__lb20__supervised,fold_5__h10__seed_2__lb20__masked_reconstruction,0.3760150643165533,0.365477914244149,-0.0105371500724043,0.0995962655807682,0.0539282711400477,-0.0456679944407205,0.0806286744610491,0.048245158856035,-0.032383515605014096
5,10,2,20,matrix_transformer,next_field,fold_5__h10__seed_2__lb20__supervised,fold_5__h10__seed_2__lb20__next_field,0.3760150643165533,0.2919987231480062,-0.08401634116854712,0.0995962655807682,-0.0418658356031676,-0.14146210118393582,0.0806286744610491,0.0392142138566829,-0.041414460604366196
5,20,0,20,matrix_transformer,masked_reconstruction,fold_5__h20__seed_0__lb20__supervised,fold_5__h20__seed_0__lb20__masked_reconstruction,0.462801761759642,0.3899529263227501,-0.07284883543689191,0.2421673044802385,0.1197195258525583,-0.12244777862768019,0.079111767288226,0.1235035459309177,0.0443917786426917
5,20,0,20,matrix_transformer,next_field,fold_5__h20__seed_0__lb20__supervised,fold_5__h20__seed_0__lb20__next_field,0.462801761759642,0.3823088237545848,-0.08049293800505719,0.2421673044802385,0.0803280015900098,-0.1618393028902287,0.079111767288226,0.1181899707140195,0.039078203425793503
5,20,1,20,matrix_transformer,masked_reconstruction,fold_5__h20__seed_1__lb20__supervised,fold_5__h20__seed_1__lb20__masked_reconstruction,0.3962177707075979,0.401334232079663,0.0051164613720651175,0.1400456685576446,0.1451180571789191,0.005072388621274487,0.0682563169753511,0.1291558971415877,0.0608995801662366
5,20,1,20,matrix_transformer,next_field,fold_5__h20__seed_1__lb20__supervised,fold_5__h20__seed_1__lb20__next_field,0.3962177707075979,0.3532953052435371,-0.04292246546406081,0.1400456685576446,0.0741892929963451,-0.06585637556129952,0.0682563169753511,0.1517130118385149,0.0834566948631638
