model_family,pretraining_objective,horizon,threshold,run_group_count,ok_group_count,status,mean_retained_sample_fraction,mean_active_trade_fraction,mean_classification_accuracy,mean_macro_f1,mean_directional_trade_hit_rate,mean_gross_directional_proxy,mean_net_cost_adjusted_proxy,payoff_mode,cost_mode,model_key
matrix_transformer,masked_reconstruction,50,0.35,15,15,ok,0.9875318205018596,0.8078558134170641,0.4380715688537853,0.4155057794661497,0.4162644347401247,-4777.266666666666,-4777.266666666666,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,50,0.4,15,15,ok,0.8576803928501568,0.7058148965472721,0.4456317764801712,0.4159708475421431,0.4218490065638665,-3834.4666666666662,-3834.4666666666662,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,50,0.45,15,15,ok,0.6750832041572316,0.5549586262086738,0.4593186177511695,0.4143849925370005,0.4300899004157427,-2773.8,-2773.8,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,50,0.5,15,15,ok,0.4903172126725767,0.3968871081201344,0.4787253836572913,0.4207597987317028,0.4416144863679255,-1843.0666666666664,-1843.0666666666664,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,50,0.55,15,15,ok,0.3416054732158493,0.2697870211612214,0.4877605571795023,0.4079542135646585,0.4403685606723385,-1126.6666666666667,-1126.6666666666667,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,50,0.6,15,15,ok,0.2197195884392407,0.1649403716463667,0.494126008816664,0.3929474237468747,0.4271080441310128,-616.8,-616.8,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,50,0.65,15,15,ok,0.123691734117636,0.0829878535346891,0.5451481161714687,0.4010906655542837,0.450335397313728,-252.4,-252.4,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,50,0.7,15,14,ok,0.0653510029421771,0.0329805925999048,0.6661208471499516,0.4285540970728949,0.5007011795316871,-101.28571428571428,-101.28571428571428,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,50,0.75,15,14,ok,0.0341187295161797,0.0105398662591075,0.7924095711705929,0.3862384511254095,0.4609237428798589,-10.5,-10.5,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,50,0.8,15,13,ok,0.0207183324316668,0.0044249516854006,0.845649214289709,0.3195698177833381,0.3782861191179166,19.46153846153846,19.46153846153846,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,50,0.85,15,13,ok,0.0100947746864693,0.0016548669937878,0.8920307102332312,0.3255566083915073,0.5324409151566232,12.923076923076923,12.923076923076923,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,masked_reconstruction,50,0.9,15,8,ok,0.002308112144129,0.0001465683464484,0.8347440762305429,0.2840748680481816,0.3658536585365853,1.875,1.875,unit_payoff,unit_proxy,matrix_transformer/masked_reconstruction
matrix_transformer,next_field,10,0.33,15,15,ok,1.0,0.1143113339002887,0.5570450580658334,0.273269787401566,0.1722246012826528,-2465.4666666666667,-2465.4666666666667,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,10,0.35,15,15,ok,0.9979146732144578,0.1129393617983716,0.5572996187840704,0.2729652942532607,0.1718364642308942,-2438.333333333333,-2438.333333333333,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,10,0.4,15,15,ok,0.9731238645044512,0.0968132495488901,0.5610454140539459,0.2707813678570985,0.1682229965762859,-2096.333333333333,-2096.333333333333,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,10,0.45,15,15,ok,0.9315969198826828,0.0744554979223387,0.5675989408518378,0.269090410148389,0.1740592016677214,-1623.6,-1623.6,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,10,0.5,15,15,ok,0.8788638157146821,0.05349108179347,0.5772959877741559,0.2684645589377552,0.1827162604579268,-1167.7333333333331,-1167.7333333333331,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,10,0.55,15,15,ok,0.7719971650042463,0.037473159331162,0.5902073920583173,0.270786812019026,0.1791812516200713,-812.8666666666667,-812.8666666666667,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,10,0.6,15,15,ok,0.5681099962149997,0.0251934858075963,0.6104292752100131,0.2763161506993674,0.1563390496979786,-540.7333333333333,-540.7333333333333,unit_payoff,unit_proxy,matrix_transformer/next_field
matrix_transformer,next_field,10,0.65,15,15,ok,0.3764023151854232,0.0158569883623464,0.6387200757409767,0.2828266945749854,0.1327498466524876,-334.26666666666665,-334.26666666666665,unit_payoff,unit_proxy,matrix_transformer/next_field
