model_family,pretraining_objective,horizon,threshold,run_group_count,ok_group_count,status,mean_retained_sample_fraction,mean_active_trade_fraction,mean_classification_accuracy,mean_macro_f1,mean_directional_trade_hit_rate,mean_gross_directional_proxy,mean_net_cost_adjusted_proxy,payoff_mode,cost_mode
matrix_transformer,next_field,20,0.55,15,15,ok,0.4244195268345668,0.050753718259714996,0.5213230356078159,0.2855848367268715,0.3041125317982337,-852.8666666666667,-852.8666666666667,unit_payoff,unit_proxy
matrix_transformer,next_field,20,0.6,15,14,ok,0.30847760470200347,0.04005100162221833,0.5569608201520778,0.29809161052915206,0.32382080478557884,-685.7142857142857,-685.7142857142857,unit_payoff,unit_proxy
matrix_transformer,next_field,20,0.65,15,13,ok,0.2533318527881947,0.031985207855022096,0.6007119673977631,0.305379738373735,0.38808738384650177,-564.6923076923077,-564.6923076923077,unit_payoff,unit_proxy
matrix_transformer,next_field,20,0.7,15,13,ok,0.18455713428875023,0.023130185588102006,0.6666800671187001,0.3233232528891194,0.42520156214350846,-405.61538461538464,-405.61538461538464,unit_payoff,unit_proxy
matrix_transformer,next_field,20,0.75,15,10,ok,0.11798145720437114,0.02063102176936322,0.7164546317992235,0.3452355905118799,0.32523991760630805,-363.7,-363.7,unit_payoff,unit_proxy
matrix_transformer,next_field,20,0.8,15,7,ok,0.07118636200899744,0.01871970904211247,0.7560157781503474,0.3418213845223465,0.2063544550994353,-342.7142857142857,-342.7142857142857,unit_payoff,unit_proxy
matrix_transformer,next_field,20,0.85,15,7,ok,0.045758060021183974,0.010086499482843842,0.7937073055369946,0.3364039605785923,0.13489359742054352,-175.14285714285714,-175.14285714285714,unit_payoff,unit_proxy
matrix_transformer,next_field,20,0.9,15,6,ok,0.020180623782886438,0.0032794146457806282,0.8756513759445985,0.35606866390324593,0.2420674346903855,-46.666666666666664,-46.666666666666664,unit_payoff,unit_proxy
matrix_transformer,next_field,20,0.95,15,1,ok,0.00015332328214039302,0.0,1.0,0.3333333333333333,,0.0,0.0,unit_payoff,unit_proxy
matrix_transformer,next_field,50,0.33,15,15,ok,1.0,0.7263363237361796,0.41161484421144584,0.3822988716148037,0.4030905770290378,-4668.333333333333,-4668.333333333333,unit_payoff,unit_proxy
matrix_transformer,next_field,50,0.35,15,15,ok,0.9931475083606656,0.7214719504783526,0.4122119990369624,0.38255034176696884,0.4034784151098088,-4611.866666666667,-4611.866666666667,unit_payoff,unit_proxy
matrix_transformer,next_field,50,0.4,15,15,ok,0.7519452749768416,0.5370349334322815,0.42351648564320876,0.3821467439939504,0.40175882602070834,-2384.4666666666667,-2384.4666666666667,unit_payoff,unit_proxy
matrix_transformer,next_field,50,0.45,15,15,ok,0.5540248469812787,0.3817847639577058,0.432153139077679,0.3697705560592387,0.4615781738037214,-1397.1333333333334,-1397.1333333333334,unit_payoff,unit_proxy
matrix_transformer,next_field,50,0.5,15,14,ok,0.3899797570071743,0.26708366519556376,0.46698379313405836,0.38625925131617006,0.46339170756637293,-758.8571428571429,-758.8571428571429,unit_payoff,unit_proxy
matrix_transformer,next_field,50,0.55,15,14,ok,0.2812134713128415,0.17226697672347827,0.4947318983140924,0.3782621948749906,0.4715266837050027,-477.64285714285717,-477.64285714285717,unit_payoff,unit_proxy
matrix_transformer,next_field,50,0.6,15,14,ok,0.17769474991323528,0.11033652864718965,0.5248650830622409,0.3653350793635119,0.47321852986469753,-351.35714285714283,-351.35714285714283,unit_payoff,unit_proxy
matrix_transformer,next_field,50,0.65,15,12,ok,0.11543315304415318,0.08432062700153559,0.583154359058352,0.3863715203297348,0.48452107512405435,-325.4166666666667,-325.4166666666667,unit_payoff,unit_proxy
matrix_transformer,next_field,50,0.7,15,12,ok,0.07989437061694932,0.05429284845195123,0.608236210889546,0.3867296731136409,0.49386503678197047,-219.83333333333334,-219.83333333333334,unit_payoff,unit_proxy
matrix_transformer,next_field,50,0.75,15,12,ok,0.048207276211491686,0.028918760999859613,0.6285859244424877,0.37215361002087866,0.4873327755962858,-106.91666666666667,-106.91666666666667,unit_payoff,unit_proxy
matrix_transformer,next_field,50,0.8,15,10,ok,0.027860342570300917,0.013287458764485616,0.6520579109829358,0.3685361818342129,0.4709579759246292,-30.7,-30.7,unit_payoff,unit_proxy
matrix_transformer,next_field,50,0.85,15,10,ok,0.011737589843398613,0.005269300763473284,0.6495932405672162,0.29501147801765615,0.41067553781852,3.9,3.9,unit_payoff,unit_proxy
matrix_transformer,next_field,50,0.9,15,7,ok,0.006507802740992837,0.004409696445163457,0.6731399221604564,0.2597752054404609,0.4610382755927122,7.142857142857143,7.142857142857143,unit_payoff,unit_proxy
matrix_transformer,next_field,50,0.95,15,1,ok,0.005161604150902605,0.005161604150902605,0.6230366492146597,0.25591397849462366,0.6230366492146597,47.0,47.0,unit_payoff,unit_proxy
matrix_transformer,supervised,10,0.33,15,15,ok,1.0,0.4381400732596694,0.44768405752244045,0.33360731814589617,0.233533981160073,-8243.2,-8243.2,unit_payoff,unit_proxy
matrix_transformer,supervised,10,0.35,15,15,ok,0.9905295614778922,0.4321927124563202,0.44885022058855045,0.3335547412306458,0.2339669234689886,-8131.2,-8131.2,unit_payoff,unit_proxy
matrix_transformer,supervised,10,0.4,15,15,ok,0.8390556180982051,0.35374080891662224,0.46542632650432764,0.33211424849728566,0.22992623112945204,-6612.8,-6612.8,unit_payoff,unit_proxy
matrix_transformer,supervised,10,0.45,15,15,ok,0.6575690331196881,0.234806157952234,0.5083078168740165,0.3272112867199696,0.22789469067538906,-4295.533333333334,-4295.533333333334,unit_payoff,unit_proxy
matrix_transformer,supervised,10,0.5,15,15,ok,0.49655100135337904,0.12449088924988252,0.5668811897028232,0.32717244308819393,0.21867340852929737,-2156.4666666666667,-2156.4666666666667,unit_payoff,unit_proxy
matrix_transformer,supervised,10,0.55,15,15,ok,0.37960420738881034,0.04901061508173872,0.6297054473398194,0.3220508576687538,0.24735214973135708,-820.2666666666667,-820.2666666666667,unit_payoff,unit_proxy
matrix_transformer,supervised,10,0.6,15,15,ok,0.3005323592041674,0.017902656480696333,0.6877733391002168,0.31997851612673844,0.2637335973917658,-289.6,-289.6,unit_payoff,unit_proxy
matrix_transformer,supervised,10,0.65,15,14,ok,0.22808344921795157,0.006193529934270986,0.7488047143632448,0.31899196806259594,0.26909391830914575,-104.07142857142857,-104.07142857142857,unit_payoff,unit_proxy
