model_family,pretraining_objective,horizon,fold,seed,lookback,confidence_threshold,fee_bps,spread_multiplier,gross_proxy,net_proxy,degradation_percentage,active_trade_count,active_trade_fraction,average_cost_per_active_trade,cost_mode,payoff_mode,status,skipped_reason
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,5.0,2.0,-8815.0,-9112.0655,3.370000000000007,14491,0.5081708514518165,0.020499999999999997,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,10.0,0.0,-8815.0,-8829.491,0.16439024390243884,14491,0.5081708514518165,0.0010000000000000005,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,10.0,0.5,-8815.0,-8901.946,0.9863414634146331,14491,0.5081708514518165,0.006000000000000001,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,10.0,1.0,-8815.0,-8974.401,1.8082926829268275,14491,0.5081708514518165,0.011000000000000003,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,1,20,0.33,10.0,2.0,-8815.0,-9119.311,3.452195121951216,14491,0.5081708514518165,0.021,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,0.0,0.0,-9077.0,-9077.0,0.0,14603,0.5120984710338056,0.0,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,0.0,0.5,-9077.0,-9150.015,0.8043957254599473,14603,0.5120984710338056,0.005,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,0.0,1.0,-9077.0,-9223.03,1.6087914509199146,14603,0.5120984710338056,0.01,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,0.0,2.0,-9077.0,-9369.06,3.217582901839809,14603,0.5120984710338056,0.02,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,1.0,0.0,-9077.0,-9078.4603,0.01608791450920616,14603,0.5120984710338056,0.00010000000000000005,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,1.0,0.5,-9077.0,-9151.4753,0.8204836399691535,14603,0.5120984710338056,0.005099999999999999,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,1.0,1.0,-9077.0,-9224.4903,1.6248793654291007,14603,0.5120984710338056,0.0101,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,1.0,2.0,-9077.0,-9370.5203,3.233670816349016,14603,0.5120984710338056,0.020100000000000007,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,2.0,0.0,-9077.0,-9079.9206,0.03217582901839228,14603,0.5120984710338056,0.0002000000000000001,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,2.0,0.5,-9077.0,-9152.9356,0.8365715544783596,14603,0.5120984710338056,0.005199999999999998,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,2.0,1.0,-9077.0,-9225.9506,1.640967279938307,14603,0.5120984710338056,0.010199999999999997,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,2.0,2.0,-9077.0,-9371.9806,3.249758730858222,14603,0.5120984710338056,0.0202,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,5.0,0.0,-9077.0,-9084.3015,0.08043957254599073,14603,0.5120984710338056,0.0005000000000000003,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,5.0,0.5,-9077.0,-9157.3165,0.8848352980059581,14603,0.5120984710338056,0.0055000000000000005,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,5.0,1.0,-9077.0,-9230.3315,1.6892310234659054,14603,0.5120984710338056,0.0105,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,5.0,2.0,-9077.0,-9376.3615,3.29802247438582,14603,0.5120984710338056,0.0205,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,10.0,0.0,-9077.0,-9091.603,0.16087914509198145,14603,0.5120984710338056,0.0010000000000000007,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,10.0,0.5,-9077.0,-9164.618,0.9652748705519487,14603,0.5120984710338056,0.006000000000000002,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,10.0,1.0,-9077.0,-9237.633,1.769670596011896,14603,0.5120984710338056,0.011000000000000001,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_2,2,20,0.33,10.0,2.0,-9077.0,-9383.663,3.3784620469318107,14603,0.5120984710338056,0.021,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,0.0,0.0,-11965.0,-11965.0,0.0,21487,0.5806669549237921,0.0,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,0.0,0.5,-11965.0,-12072.435,0.8979105725031298,21487,0.5806669549237921,0.005000000000000001,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,0.0,1.0,-11965.0,-12179.87,1.7958211450062749,21487,0.5806669549237921,0.010000000000000002,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,0.0,2.0,-11965.0,-12394.74,3.5916422900125347,21487,0.5806669549237921,0.020000000000000004,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,1.0,0.0,-11965.0,-11967.1487,0.01795821145006047,21487,0.5806669549237921,0.00010000000000000003,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,1.0,0.5,-11965.0,-12074.5837,0.9158687839531903,21487,0.5806669549237921,0.005099999999999999,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,1.0,1.0,-11965.0,-12182.0187,1.8137793564563354,21487,0.5806669549237921,0.010100000000000001,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,1.0,2.0,-11965.0,-12396.8887,3.6096005014625954,21487,0.5806669549237921,0.0201,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,2.0,0.0,-11965.0,-11969.2974,0.03591642290012094,21487,0.5806669549237921,0.00020000000000000006,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,2.0,0.5,-11965.0,-12076.7324,0.933826995403266,21487,0.5806669549237921,0.005199999999999999,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,2.0,1.0,-11965.0,-12184.1674,1.8317375679063959,21487,0.5806669549237921,0.010199999999999997,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,2.0,2.0,-11965.0,-12399.0374,3.6275587129126556,21487,0.5806669549237921,0.020200000000000003,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,5.0,0.0,-11965.0,-11975.7435,0.08979105725031755,21487,0.5806669549237921,0.0005000000000000002,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,5.0,0.5,-11965.0,-12083.1785,0.9877016297534476,21487,0.5806669549237921,0.0055000000000000005,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,5.0,1.0,-11965.0,-12190.6135,1.885612202256577,21487,0.5806669549237921,0.0105,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,5.0,2.0,-11965.0,-12405.4835,3.6814333472628524,21487,0.5806669549237921,0.0205,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,10.0,0.0,-11965.0,-11986.487,0.1795821145006199,21487,0.5806669549237921,0.0010000000000000005,unit_proxy,unit_payoff,ok,
matrix_transformer,masked_reconstruction,10,fold_3,0,20,0.33,10.0,0.5,-11965.0,-12093.922,1.077492687003765,21487,0.5806669549237921,0.006,unit_proxy,unit_payoff,ok,
