model_family,pretraining_objective,horizon,fold,seed,lookback,threshold,status,skipped_reason,sample_count,retained_count,retained_sample_fraction,active_trade_count,active_trade_fraction,classification_accuracy,macro_f1,directional_trade_hit_rate,gross_directional_proxy,net_cost_adjusted_proxy,turnover_proxy,payoff_mode,cost_mode,reference_fee_bps,reference_spread_multiplier,true_up_fraction,true_stationary_fraction,true_down_fraction,predicted_up_fraction,predicted_stationary_fraction,predicted_down_fraction
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.33,ok,,38378,38378,1.0,18785,0.48947313565063316,0.3850904163843869,0.2674250913245116,0.19361192440777217,-11511.0,-11511.0,0.48948588998618964,unit_payoff,unit_proxy,0.0,0.0,0.2086351555578717,0.5910677992599928,0.2002970451821356,0.4885350982333629,0.5105268643493668,0.0009380374172703111
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.35,ok,,38378,38377,0.9999739434050758,18785,0.48947313565063316,0.38510045079083827,0.26743261762863196,0.19361192440777217,-11511.0,-11511.0,0.48948588998618964,unit_payoff,unit_proxy,0.0,0.0,0.20861453474737474,0.5910832008755244,0.20030226437710086,0.48854782812622144,0.5105141100138103,0.0009380618599682102
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.4,ok,,38378,38371,0.9998176038355308,18784,0.489447079055709,0.385108545516145,0.26743075113510356,0.19356899488926746,-11512.0,-11512.0,0.48945983271230165,unit_payoff,unit_proxy,0.0,0.0,0.2085689713585781,0.5911495660785488,0.200281462562873,0.48859816006880197,0.510463631388288,0.0009382085429100102
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.45,ok,,38378,38019,0.9906456824222211,18432,0.4802751576423993,0.3873063468265867,0.26721683673809804,0.19444444444444445,-11264.0,-11264.0,0.4802876723037236,unit_payoff,unit_proxy,0.0,0.0,0.20939530234882558,0.5909150687813988,0.19968962886977565,0.4847576211894053,0.5151897735342855,5.260527630921381e-05
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.5,ok,,38378,36866,0.9606024284746469,17281,0.4502840168846735,0.39518797808278633,0.27089381581074007,0.19842601701290435,-10423.0,-10423.0,0.4502957500586289,unit_payoff,unit_proxy,0.0,0.0,0.21176693972766233,0.5893234959040851,0.19890956436825258,0.46875169532902944,0.5312483046709705,0.0
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.55,ok,,38378,32393,0.8440512793788107,12813,0.33386315076345824,0.4281789275460748,0.2843186581281032,0.21322094747522047,-7349.0,-7349.0,0.33387185032701877,unit_payoff,unit_proxy,0.0,0.0,0.21943012379217733,0.5839224523816874,0.1966474238261353,0.39554842095514464,0.6044515790448554,0.0
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.6,ok,,38378,20746,0.5405701182969409,1401,0.036505289488769604,0.5515762074616793,0.2781463524536614,0.27123483226266953,-641.0,-641.0,0.036506240717096176,unit_payoff,unit_proxy,0.0,0.0,0.22601947363347152,0.5704232141135641,0.20355731225296442,0.06753109033066615,0.9324689096693338,0.0
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.65,ok,,38378,9274,0.2416488613268018,58,0.0015112825056021678,0.6939831787793832,0.2795117282302435,0.25862068965517243,-28.0,-28.0,0.0015113218855043386,unit_payoff,unit_proxy,0.0,0.0,0.16346775932715119,0.696031917187837,0.14050032348501187,0.006254043562648264,0.9937459564373518,0.0
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.7,skipped,too few samples remain after confidence filtering,38378,0,0.0,0,0.0,,,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,,,,,,
matrix_transformer,masked_reconstruction,10,fold_1,2,20,0.75,skipped,too few samples remain after confidence filtering,38378,0,0.0,0,0.0,,,,0.0,0.0,0.0,unit_payoff,unit_proxy,0.0,0.0,,,,,,
