model_family,pretraining_objective,horizon,fold,seed,lookback,confidence_threshold,fill_mode,active_signal_count,filled_count,fill_fraction,directional_hit_rate_on_filled_trades,gross_proxy,net_proxy,average_cost,cost_mode,fill_fallback,status,skipped_reason
matrix_transformer,masked_reconstruction,10,fold_5,1,20,0.33,passive_conservative,19659,54,0.0027468335113688385,0.12962962962962962,-40.0,-40.567,0.010499999999999995,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_5,1,20,0.33,abstain_only,19659,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,10,fold_5,2,20,0.33,aggressive_crossing,15307,15307,1.0,0.23897563206376168,-7991.0,-8473.1705,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,10,fold_5,2,20,0.33,passive_optimistic,15307,15307,1.0,0.23897563206376168,-7991.0,-8312.447,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_5,2,20,0.33,passive_conservative,15307,87,0.0056836741360162014,0.11494252873563218,-67.0,-67.9135,0.010499999999999995,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,10,fold_5,2,20,0.33,abstain_only,15307,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,20,fold_1,0,20,0.33,aggressive_crossing,27457,27457,1.0,0.29446042903449027,-11287.0,-12151.895499999999,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,20,fold_1,0,20,0.33,passive_optimistic,27457,27457,1.0,0.29446042903449027,-11287.0,-11863.597,0.020999999999999998,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_1,0,20,0.33,passive_conservative,27457,11,0.000400626434060531,0.0,-11.0,-11.1155,0.010499999999999999,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_1,0,20,0.33,abstain_only,27457,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,20,fold_1,1,20,0.33,aggressive_crossing,18795,18795,1.0,0.26241021548284116,-8931.0,-9523.0425,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,20,fold_1,1,20,0.33,passive_optimistic,18795,18795,1.0,0.26241021548284116,-8931.0,-9325.695,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_1,1,20,0.33,passive_conservative,18795,0,0.0,,0.0,0.0,,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_1,1,20,0.33,abstain_only,18795,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,20,fold_1,2,20,0.33,aggressive_crossing,18971,18971,1.0,0.25781455906383427,-9189.0,-9786.5865,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,20,fold_1,2,20,0.33,passive_optimistic,18971,18971,1.0,0.25781455906383427,-9189.0,-9587.391,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_1,2,20,0.33,passive_conservative,18971,0,0.0,,0.0,0.0,,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_1,2,20,0.33,abstain_only,18971,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,20,fold_2,0,20,0.33,aggressive_crossing,14420,14420,1.0,0.2667822468793343,-6726.0,-7180.23,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,20,fold_2,0,20,0.33,passive_optimistic,14420,14420,1.0,0.2667822468793343,-6726.0,-7028.82,0.021000000000000005,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_2,0,20,0.33,passive_conservative,14420,0,0.0,,0.0,0.0,,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_2,0,20,0.33,abstain_only,14420,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,20,fold_2,1,20,0.33,aggressive_crossing,14604,14604,1.0,0.2529443987948507,-7216.0,-7676.026,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,20,fold_2,1,20,0.33,passive_optimistic,14604,14604,1.0,0.2529443987948507,-7216.0,-7522.684,0.020999999999999998,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_2,1,20,0.33,passive_conservative,14604,0,0.0,,0.0,0.0,,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_2,1,20,0.33,abstain_only,14604,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,20,fold_2,2,20,0.33,aggressive_crossing,14675,14675,1.0,0.24190800681431004,-7575.0,-8037.2625,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,20,fold_2,2,20,0.33,passive_optimistic,14675,14675,1.0,0.24190800681431004,-7575.0,-7883.175,0.020999999999999998,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_2,2,20,0.33,passive_conservative,14675,0,0.0,,0.0,0.0,,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_2,2,20,0.33,abstain_only,14675,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,20,fold_3,0,20,0.33,aggressive_crossing,26810,26810,1.0,0.29164490861618797,-11172.0,-12016.515,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,20,fold_3,0,20,0.33,passive_optimistic,26810,26810,1.0,0.29164490861618797,-11172.0,-11735.01,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_3,0,20,0.33,passive_conservative,26810,361,0.013465124953375606,0.20498614958448755,-213.0,-216.7905,0.010499999999999997,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_3,0,20,0.33,abstain_only,26810,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,20,fold_3,1,20,0.33,aggressive_crossing,26513,26513,1.0,0.31177158375136726,-9981.0,-10816.1595,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,20,fold_3,1,20,0.33,passive_optimistic,26513,26513,1.0,0.31177158375136726,-9981.0,-10537.773,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_3,1,20,0.33,passive_conservative,26513,0,0.0,,0.0,0.0,,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_3,1,20,0.33,abstain_only,26513,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,20,fold_3,2,20,0.33,aggressive_crossing,26300,26300,1.0,0.3002281368821293,-10508.0,-11336.449999999999,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,20,fold_3,2,20,0.33,passive_optimistic,26300,26300,1.0,0.3002281368821293,-10508.0,-11060.3,0.020999999999999998,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_3,2,20,0.33,passive_conservative,26300,0,0.0,,0.0,0.0,,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_3,2,20,0.33,abstain_only,26300,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,20,fold_4,0,20,0.33,aggressive_crossing,23526,23526,1.0,0.32823259372609026,-8082.0,-8823.069,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,20,fold_4,0,20,0.33,passive_optimistic,23526,23526,1.0,0.32823259372609026,-8082.0,-8576.046,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_4,0,20,0.33,passive_conservative,23526,0,0.0,,0.0,0.0,,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_4,0,20,0.33,abstain_only,23526,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,20,fold_4,1,20,0.33,aggressive_crossing,28697,28697,1.0,0.3287800118479284,-9827.0,-10730.9555,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,20,fold_4,1,20,0.33,passive_optimistic,28697,28697,1.0,0.3287800118479284,-9827.0,-10429.637,0.020999999999999998,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_4,1,20,0.33,passive_conservative,28697,2,6.969369620517824e-05,1.0,2.0,1.979,0.0105,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_4,1,20,0.33,abstain_only,28697,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,20,fold_4,2,20,0.33,aggressive_crossing,26030,26030,1.0,0.32646945831732616,-9034.0,-9853.945,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,20,fold_4,2,20,0.33,passive_optimistic,26030,26030,1.0,0.32646945831732616,-9034.0,-9580.63,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_4,2,20,0.33,passive_conservative,26030,1,3.84172109104879e-05,1.0,1.0,0.9895,0.0105,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_4,2,20,0.33,abstain_only,26030,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,20,fold_5,0,20,0.33,aggressive_crossing,22505,22505,1.0,0.3123305932015108,-8447.0,-9155.9075,0.03149999999999999,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,20,fold_5,0,20,0.33,passive_optimistic,22505,22505,1.0,0.3123305932015108,-8447.0,-8919.605,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_5,0,20,0.33,passive_conservative,22505,181,0.008042657187291713,0.12154696132596685,-137.0,-138.9005,0.010499999999999997,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_5,0,20,0.33,abstain_only,22505,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,20,fold_5,1,20,0.33,aggressive_crossing,24112,24112,1.0,0.31494691439946915,-8924.0,-9683.528,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,20,fold_5,1,20,0.33,passive_optimistic,24112,24112,1.0,0.31494691439946915,-8924.0,-9430.352,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_5,1,20,0.33,passive_conservative,24112,0,0.0,,0.0,0.0,,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_5,1,20,0.33,abstain_only,24112,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,20,fold_5,2,20,0.33,aggressive_crossing,24864,24864,1.0,0.33047779922779924,-8430.0,-9213.216,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,20,fold_5,2,20,0.33,passive_optimistic,24864,24864,1.0,0.33047779922779924,-8430.0,-8952.144,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_5,2,20,0.33,passive_conservative,24864,489,0.019666988416988416,0.2085889570552147,-285.0,-290.1345,0.010499999999999999,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,20,fold_5,2,20,0.33,abstain_only,24864,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,50,fold_1,0,20,0.33,aggressive_crossing,31725,31725,1.0,0.42565799842395585,-4717.0,-5716.3375,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,50,fold_1,0,20,0.33,passive_optimistic,31725,31725,1.0,0.42565799842395585,-4717.0,-5383.225,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,50,fold_1,0,20,0.33,passive_conservative,31725,1614,0.05087470449172577,0.5508054522924412,164.0,147.053,0.010499999999999997,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,50,fold_1,0,20,0.33,abstain_only,31725,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,50,fold_1,1,20,0.33,aggressive_crossing,38372,38372,1.0,0.37066089857187534,-9926.0,-11134.717999999999,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,50,fold_1,1,20,0.33,passive_optimistic,38372,38372,1.0,0.37066089857187534,-9926.0,-10731.812,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,50,fold_1,1,20,0.33,passive_conservative,38372,0,0.0,,0.0,0.0,,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,50,fold_1,1,20,0.33,abstain_only,38372,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,50,fold_1,2,20,0.33,aggressive_crossing,33672,33672,1.0,0.4200522689474935,-5384.0,-6444.668,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,50,fold_1,2,20,0.33,passive_optimistic,33672,33672,1.0,0.4200522689474935,-5384.0,-6091.112,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,50,fold_1,2,20,0.33,passive_conservative,33672,1250,0.037122832026609646,0.5896,224.0,210.875,0.010499999999999997,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,50,fold_1,2,20,0.33,abstain_only,33672,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,50,fold_2,0,20,0.33,aggressive_crossing,21491,21491,1.0,0.3860685868503094,-4897.0,-5573.9664999999995,0.031499999999999986,unit_proxy,none,ok,
matrix_transformer,masked_reconstruction,50,fold_2,0,20,0.33,passive_optimistic,21491,21491,1.0,0.3860685868503094,-4897.0,-5348.311,0.021,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,50,fold_2,0,20,0.33,passive_conservative,21491,20,0.0009306221208878135,0.9,16.0,15.79,0.010500000000000002,unit_proxy,"confidence_only:spread_proxy_missing,liquidity_proxy_missing",ok,
matrix_transformer,masked_reconstruction,50,fold_2,0,20,0.33,abstain_only,21491,0,0.0,,0.0,0.0,,unit_proxy,baseline_no_trades,ok,
matrix_transformer,masked_reconstruction,50,fold_2,1,20,0.33,aggressive_crossing,20282,20282,1.0,0.4134207671827236,-3512.0,-4150.883,0.031499999999999986,unit_proxy,none,ok,
