model_family,pretraining_objective,horizon,fold,seed,lookback,partition,latency_step,retained_samples,dropped_samples,active_trades,directional_hit_rate,gross_proxy,net_proxy,degradation_vs_latency_0,net_degradation_vs_latency_0,payoff_mode,cost_mode,status,skipped_reason
matrix_transformer,masked_reconstruction,10,fold_5,2,20,test,1,39132,1,15307,0.23662376690403084,-8063.0,-8063.0,-72.0,-72.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_5,2,20,test,2,39131,2,15307,0.22649768079963414,-8373.0,-8373.0,-382.0,-382.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_5,2,20,test,5,39128,5,15307,0.2187887894427386,-8609.0,-8609.0,-618.0,-618.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,10,fold_5,2,20,test,10,39123,10,15307,0.21369308159665512,-8765.0,-8765.0,-774.0,-774.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_1,0,20,test,0,38378,0,27457,0.29446042903449027,-11287.0,-11287.0,0.0,0.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_1,0,20,test,1,38377,1,27456,0.29013694638694637,-11524.0,-11524.0,-237.0,-237.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_1,0,20,test,2,38376,2,27455,0.28329994536514297,-11899.0,-11899.0,-612.0,-612.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_1,0,20,test,5,38373,5,27452,0.2796153285735101,-12100.0,-12100.0,-813.0,-813.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_1,0,20,test,10,38368,10,27447,0.2789740226618574,-12133.0,-12133.0,-846.0,-846.0,unit_payoff,unit_proxy,ok,
matrix_transformer,masked_reconstruction,20,fold_1,1,20,test,0,38378,0,18795,0.26241021548284116,-8931.0,-8931.0,0.0,0.0,unit_payoff,unit_proxy,ok,
