model_name,split,confidence_threshold,cost_bps,latency_steps,eligible_predictions,trade_count_proxy,turnover_proxy,gross_signal_return_proxy,cost_proxy,net_signal_return_proxy,hit_rate_proxy
majority,test,0.7,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0
majority,test,0.7,0.5,1,0,0,0.0,0.0,0.0,0.0,0.0
majority,test,0.7,1.0,1,0,0,0.0,0.0,0.0,0.0,0.0
majority,test,0.7,5.0,1,0,0,0.0,0.0,0.0,0.0,0.0
logistic,test,0.0,0.0,0,20285,19194,19194.0,14.740219545310499,0.0,14.740219545310499,0.6336209021444417
logistic,test,0.0,0.5,0,20285,19194,19194.0,14.740219545310499,0.5,14.240219545310499,0.6336209021444417
logistic,test,0.0,1.0,0,20285,19194,19194.0,14.740219545310499,1.0,13.740219545310499,0.6336209021444417
logistic,test,0.0,5.0,0,20285,19194,19194.0,14.740219545310499,5.0,9.740219545310499,0.6336209021444417
logistic,test,0.0,0.0,1,20284,19193,19193.0,14.768741141468531,0.0,14.768741141468531,0.6335535397357523
logistic,test,0.0,0.5,1,20284,19193,19193.0,14.768741141468531,0.5,14.268741141468531,0.6335535397357523
logistic,test,0.0,1.0,1,20284,19193,19193.0,14.768741141468531,1.0,13.768741141468531,0.6335535397357523
logistic,test,0.0,5.0,1,20284,19193,19193.0,14.768741141468531,5.0,9.768741141468531,0.6335535397357523
logistic,test,0.5,0.0,0,13510,13411,13411.0,11.933347074868808,0.0,11.933347074868808,0.7048852701702443
logistic,test,0.5,0.5,0,13510,13411,13411.0,11.933347074868808,0.5,11.433347074868808,0.7048852701702443
logistic,test,0.5,1.0,0,13510,13411,13411.0,11.933347074868808,1.0,10.933347074868808,0.7048852701702443
logistic,test,0.5,5.0,0,13510,13411,13411.0,11.933347074868808,5.0,6.9333470748688075,0.7048852701702443
logistic,test,0.5,0.0,1,13510,13411,13411.0,12.009296186048623,0.0,12.009296186048623,0.7048112509252406
logistic,test,0.5,0.5,1,13510,13411,13411.0,12.009296186048623,0.5,11.509296186048623,0.7048112509252406
logistic,test,0.5,1.0,1,13510,13411,13411.0,12.009296186048623,1.0,11.009296186048623,0.7048112509252406
logistic,test,0.5,5.0,1,13510,13411,13411.0,12.009296186048623,5.0,7.009296186048623,0.7048112509252406
logistic,test,0.6,0.0,0,7668,7652,7652.0,5.791154624974063,0.0,5.791154624974063,0.7430881585811163
logistic,test,0.6,0.5,0,7668,7652,7652.0,5.791154624974063,0.5,5.291154624974063,0.7430881585811163
logistic,test,0.6,1.0,0,7668,7652,7652.0,5.791154624974063,1.0,4.791154624974063,0.7430881585811163
logistic,test,0.6,5.0,0,7668,7652,7652.0,5.791154624974063,5.0,0.7911546249740633,0.7430881585811163
logistic,test,0.6,0.0,1,7669,7653,7653.0,10.979630928283832,0.0,10.979630928283832,0.7429912635284913
logistic,test,0.6,0.5,1,7669,7653,7653.0,10.979630928283832,0.5,10.479630928283832,0.7429912635284913
logistic,test,0.6,1.0,1,7669,7653,7653.0,10.979630928283832,1.0,9.979630928283832,0.7429912635284913
logistic,test,0.6,5.0,1,7669,7653,7653.0,10.979630928283832,5.0,5.979630928283832,0.7429912635284913
logistic,test,0.7,0.0,0,3306,3303,3303.0,0.44275499063017876,0.0,0.44275499063017876,0.7931034482758621
logistic,test,0.7,0.5,0,3306,3303,3303.0,0.44275499063017876,0.5,-0.05724500936982124,0.7931034482758621
logistic,test,0.7,1.0,0,3306,3303,3303.0,0.44275499063017876,1.0,-0.5572450093698212,0.7931034482758621
logistic,test,0.7,5.0,0,3306,3303,3303.0,0.44275499063017876,5.0,-4.557245009369821,0.7931034482758621
logistic,test,0.7,0.0,1,3307,3304,3304.0,12.296071116524658,0.0,12.296071116524658,0.7928636226186876
logistic,test,0.7,0.5,1,3307,3304,3304.0,12.296071116524658,0.5,11.796071116524658,0.7928636226186876
logistic,test,0.7,1.0,1,3307,3304,3304.0,12.296071116524658,1.0,11.296071116524658,0.7928636226186876
logistic,test,0.7,5.0,1,3307,3304,3304.0,12.296071116524658,5.0,7.296071116524658,0.7928636226186876
elastic_net,test,0.0,0.0,0,20285,19195,19195.0,14.748250781917477,0.0,14.748250781917477,0.6338673896968203
elastic_net,test,0.0,0.5,0,20285,19195,19195.0,14.748250781917477,0.5,14.248250781917477,0.6338673896968203
elastic_net,test,0.0,1.0,0,20285,19195,19195.0,14.748250781917477,1.0,13.748250781917477,0.6338673896968203
elastic_net,test,0.0,5.0,0,20285,19195,19195.0,14.748250781917477,5.0,9.748250781917477,0.6338673896968203
elastic_net,test,0.0,0.0,1,20284,19194,19194.0,14.771914566098072,0.0,14.771914566098072,0.6338000394399527
elastic_net,test,0.0,0.5,1,20284,19194,19194.0,14.771914566098072,0.5,14.271914566098072,0.6338000394399527
elastic_net,test,0.0,1.0,1,20284,19194,19194.0,14.771914566098072,1.0,13.771914566098072,0.6338000394399527
elastic_net,test,0.0,5.0,1,20284,19194,19194.0,14.771914566098072,5.0,9.771914566098072,0.6338000394399527
elastic_net,test,0.5,0.0,0,13517,13419,13419.0,11.921101698674661,0.0,11.921101698674661,0.7048161574313827
elastic_net,test,0.5,0.5,0,13517,13419,13419.0,11.921101698674661,0.5,11.421101698674661,0.7048161574313827
elastic_net,test,0.5,1.0,0,13517,13419,13419.0,11.921101698674661,1.0,10.921101698674661,0.7048161574313827
elastic_net,test,0.5,5.0,0,13517,13419,13419.0,11.921101698674661,5.0,6.921101698674661,0.7048161574313827
elastic_net,test,0.5,0.0,1,13517,13419,13419.0,11.99925307016605,0.0,11.99925307016605,0.7047421765184583
elastic_net,test,0.5,0.5,1,13517,13419,13419.0,11.99925307016605,0.5,11.49925307016605,0.7047421765184583
elastic_net,test,0.5,1.0,1,13517,13419,13419.0,11.99925307016605,1.0,10.99925307016605,0.7047421765184583
elastic_net,test,0.5,5.0,1,13517,13419,13419.0,11.99925307016605,5.0,6.99925307016605,0.7047421765184583
elastic_net,test,0.6,0.0,0,7670,7654,7654.0,5.786771620421406,0.0,5.786771620421406,0.7427640156453715
elastic_net,test,0.6,0.5,0,7670,7654,7654.0,5.786771620421406,0.5,5.286771620421406,0.7427640156453715
elastic_net,test,0.6,1.0,0,7670,7654,7654.0,5.786771620421406,1.0,4.786771620421406,0.7427640156453715
elastic_net,test,0.6,5.0,0,7670,7654,7654.0,5.786771620421406,5.0,0.7867716204214057,0.7427640156453715
elastic_net,test,0.6,0.0,1,7671,7655,7655.0,10.97331551386132,0.0,10.97331551386132,0.7426671881110677
elastic_net,test,0.6,0.5,1,7671,7655,7655.0,10.97331551386132,0.5,10.47331551386132,0.7426671881110677
elastic_net,test,0.6,1.0,1,7671,7655,7655.0,10.97331551386132,1.0,9.97331551386132,0.7426671881110677
elastic_net,test,0.6,5.0,1,7671,7655,7655.0,10.97331551386132,5.0,5.973315513861319,0.7426671881110677
elastic_net,test,0.7,0.0,0,3309,3306,3306.0,0.44363716614701226,0.0,0.44363716614701226,0.7932910244786945
elastic_net,test,0.7,0.5,0,3309,3306,3306.0,0.44363716614701226,0.5,-0.05636283385298774,0.7932910244786945
elastic_net,test,0.7,1.0,0,3309,3306,3306.0,0.44363716614701226,1.0,-0.5563628338529878,0.7932910244786945
