fold,horizon,seed,lookback,model_family,ssl_objective,comparison,supervised_run_id,ssl_run_id,supervised_macro_f1,ssl_macro_f1,delta_macro_f1,supervised_accuracy,ssl_accuracy,delta_accuracy,supervised_mcc,ssl_mcc,delta_mcc,supervised_ece,ssl_ece,delta_ece,supervised_brier_score,ssl_brier_score,delta_brier_score,supervised_nll,ssl_nll,delta_nll,macro_f1_outcome,ece_outcome,mcc_outcome,status,reason
1,20,2,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_1__h20__seed_2__lb20__supervised,fold_1__h20__seed_2__lb20__masked_reconstruction,0.362063627236223,0.2800749434688883,-0.0819886837673347,0.3982229402261712,0.36674657355776746,-0.031476366668403755,0.03685619495064287,-0.014018258792213028,-0.0508744537428559,0.05064173266201334,0.1531906869793753,0.10254895431736195,0.6528675642658373,0.6913972876824471,0.03852972341660987,1.0812174098735192,1.135437956361733,0.05422054648821373,loss,loss,loss,matched,
1,20,2,20,matrix_transformer,next_field,supervised_vs_next_field,fold_1__h20__seed_2__lb20__supervised,fold_1__h20__seed_2__lb20__next_field,0.362063627236223,0.21662474421440844,-0.14543888302181454,0.3982229402261712,0.4813434780342905,0.08312053780811929,0.03685619495064287,,,0.05064173266201334,0.13844118040196712,0.08779944773995378,0.6528675642658373,0.681559155119172,0.028691590853334725,1.0812174098735192,1.1532346132057358,0.07201720333221662,loss,loss,n/a,matched,
1,50,0,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_1__h50__seed_0__lb20__supervised,fold_1__h50__seed_0__lb20__masked_reconstruction,0.3558359411227859,0.42743696026092787,0.07160101913814199,0.3645057063942884,0.43832403981447704,0.07381833342018862,0.044442355727443386,0.15116901518422682,0.10672665945678343,0.0831653807010802,0.07386993387898119,-0.009295446822099013,0.6772069556412726,0.6601294952334508,-0.017077460407821876,1.1123395027669283,1.0871993380831533,-0.025140164683775,win,win,win,matched,
1,50,0,20,matrix_transformer,next_field,supervised_vs_next_field,fold_1__h50__seed_0__lb20__supervised,fold_1__h50__seed_0__lb20__next_field,0.3558359411227859,0.2471480512523816,-0.10868788987040429,0.3645057063942884,0.3046276512585335,-0.05987805513575489,0.044442355727443386,-0.028346885507685892,-0.07278924123512928,0.0831653807010802,0.18397046626005398,0.10080508555897377,0.6772069556412726,0.7510933538719238,0.07388639823065113,1.1123395027669283,1.2428709578722679,0.1305314551053396,loss,loss,loss,matched,
1,50,1,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_1__h50__seed_1__lb20__supervised,fold_1__h50__seed_1__lb20__masked_reconstruction,0.3736193373259223,0.2917560801344748,-0.08186325719144749,0.41500338735734016,0.37065506279639376,-0.044348324560946395,0.11585035963015931,0.04075946733898041,-0.0750908922911789,0.050819273576470765,0.03593937593565282,-0.014879897640817943,0.6527183343234052,0.6570728156552185,0.004354481331813265,1.0786427572495387,1.0834341755449035,0.00479141829536478,loss,win,loss,matched,
1,50,1,20,matrix_transformer,next_field,supervised_vs_next_field,fold_1__h50__seed_1__lb20__supervised,fold_1__h50__seed_1__lb20__next_field,0.3736193373259223,0.2588627356961875,-0.11475660162973478,0.41500338735734016,0.32325811662931886,-0.0917452707280213,0.11585035963015931,-0.016488733537718885,-0.1323390931678782,0.050819273576470765,0.10659978699125636,0.05578051341478559,0.6527183343234052,0.706390075878479,0.053671741555073815,1.0786427572495387,1.1719027946518072,0.09326003740226851,loss,loss,loss,matched,
1,50,2,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_1__h50__seed_2__lb20__supervised,fold_1__h50__seed_2__lb20__masked_reconstruction,0.37966301414036163,0.41902268329826287,0.039359669157901234,0.42459221428943666,0.4372296628276617,0.012637448538225016,0.13328959928092918,0.14970395673697248,0.016414357456043305,0.0546811891863846,0.036816007369389524,-0.017865181816995077,0.6536773221634797,0.6509647929129674,-0.002712529250512352,1.079195286333074,1.0746716652141848,-0.004523621118889265,win,win,win,matched,
1,50,2,20,matrix_transformer,next_field,supervised_vs_next_field,fold_1__h50__seed_2__lb20__supervised,fold_1__h50__seed_2__lb20__next_field,0.37966301414036163,0.25026829907838916,-0.12939471506197248,0.42459221428943666,0.3046537078534577,-0.11993850643597898,0.13328959928092918,-0.028359790333006216,-0.16164938961393538,0.0546811891863846,0.18685507786597363,0.13217388867958904,0.6536773221634797,0.7413788868378001,0.08770156467432033,1.079195286333074,1.2292369238191625,0.15004163748608845,loss,loss,loss,matched,
2,10,0,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_2__h10__seed_0__lb20__supervised,fold_2__h10__seed_0__lb20__masked_reconstruction,0.30511031143670175,0.3402519322388198,0.03514162080211802,0.4070697152475803,0.4166432879786786,0.009573572731098323,0.0009715673071927428,0.015550902358668078,0.014579335051475335,0.19427089336258596,0.17066242728099604,-0.023608466081589924,0.6791500422808199,0.6632015847894935,-0.01594845749132634,1.1405969518764962,1.1152892602915085,-0.02530769158498769,win,win,win,matched,
2,10,0,20,matrix_transformer,next_field,supervised_vs_next_field,fold_2__h10__seed_0__lb20__supervised,fold_2__h10__seed_0__lb20__next_field,0.30511031143670175,0.28972311403768486,-0.015387197399016894,0.4070697152475803,0.6236849488006733,0.21661523355309298,0.0009715673071927428,0.01684617289872174,0.015874605591528996,0.19427089336258596,0.09537338823443811,-0.09889750512814785,0.6791500422808199,0.5462093435703427,-0.1329406987104772,1.1405969518764962,0.9301549215815934,-0.21044203029490283,loss,win,win,matched,
2,10,1,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_2__h10__seed_1__lb20__supervised,fold_2__h10__seed_1__lb20__masked_reconstruction,0.27994110567049885,0.33344925989606783,0.05350815422556898,0.4056669939682985,0.41324168887642027,0.007574694908121793,0.0004937467440525543,0.012574338945432783,0.01208059220138023,0.1839932891886363,0.19137559876567378,0.007382309577037477,0.68816195725435,0.7169712763930518,0.028809319138701772,1.1610001939659849,1.2489826033486506,0.08798240938266577,win,loss,win,matched,
2,10,1,20,matrix_transformer,next_field,supervised_vs_next_field,fold_2__h10__seed_1__lb20__supervised,fold_2__h10__seed_1__lb20__next_field,0.27994110567049885,0.2610217233579446,-0.018919382312554245,0.4056669939682985,0.6434282508065647,0.23776125683826627,0.0004937467440525543,0.0038410188207441106,0.0033472720766915564,0.1839932891886363,0.04442140809866029,-0.139571881089976,0.68816195725435,0.5213881091182061,-0.16677384813614393,1.1610001939659849,0.8974472627193077,-0.2635529312466771,loss,win,win,matched,
2,10,2,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_2__h10__seed_2__lb20__supervised,fold_2__h10__seed_2__lb20__masked_reconstruction,0.30708054397660334,0.3079578042787088,0.0008772603021054426,0.4086477766867723,0.4084724365268621,-0.00017534015991022,0.004002047533004879,0.0032605498835713265,-0.0007414976494335523,0.2028371381350231,0.2094715267917698,0.006634388656746704,0.7213695797991243,0.7056301281687299,-0.015739451630394363,1.239207121224044,1.200124884677653,-0.03908223654639098,win,loss,loss,matched,
2,10,2,20,matrix_transformer,next_field,supervised_vs_next_field,fold_2__h10__seed_2__lb20__supervised,fold_2__h10__seed_2__lb20__next_field,0.30708054397660334,0.2610105838170024,-0.046069960159600964,0.4086477766867723,0.6434282508065647,0.23478047411979241,0.004002047533004879,,,0.2028371381350231,0.043056719172658284,-0.15978041896236483,0.7213695797991243,0.5255954916903138,-0.19577408810881047,1.239207121224044,0.9054996524081227,-0.3337074688159214,loss,win,n/a,matched,
2,20,0,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_2__h20__seed_0__lb20__supervised,fold_2__h20__seed_0__lb20__masked_reconstruction,0.31834222242770377,0.35479615400604586,0.03645393157834209,0.395953149109272,0.4081918922710058,0.01223874316173379,0.028886523007840042,0.03988656623215022,0.011000043224310179,0.1689013535544469,0.1382110786538595,-0.0306902749005874,0.6845602538644953,0.669673600644505,-0.014886653219990276,1.1386372802199423,1.1149269699314586,-0.023710310288483694,win,win,win,matched,
2,20,0,20,matrix_transformer,next_field,supervised_vs_next_field,fold_2__h20__seed_0__lb20__supervised,fold_2__h20__seed_0__lb20__next_field,0.31834222242770377,0.23375992470131013,-0.08458229772639364,0.395953149109272,0.5399775564595315,0.1440244073502595,0.028886523007840042,,,0.1689013535544469,0.014607573017308003,-0.1542937805371389,0.6845602538644953,0.6014137506352482,-0.0831465032292471,1.1386372802199423,1.0063267165302936,-0.13231056368964866,loss,win,n/a,matched,
2,20,1,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_2__h20__seed_1__lb20__supervised,fold_2__h20__seed_1__lb20__masked_reconstruction,0.29098920316599286,0.3306279718047452,0.03963876863875232,0.39132416888764204,0.3975662785804461,0.006242109692804032,0.016524055391547596,0.02546025055991062,0.008936195168363026,0.1840911749739012,0.174277557908847,-0.009813617065054209,0.7202763818060153,0.7113574279506227,-0.008918953855392542,1.2117214494013857,1.2090548328426334,-0.0026666165587523327,win,win,win,matched,
2,20,1,20,matrix_transformer,next_field,supervised_vs_next_field,fold_2__h20__seed_1__lb20__supervised,fold_2__h20__seed_1__lb20__next_field,0.29098920316599286,0.2360066577131611,-0.054982545452831766,0.39132416888764204,0.5400126244915135,0.1486884556038715,0.016524055391547596,0.013184233861331078,-0.003339821530216518,0.1840911749739012,0.051948735353467675,-0.13214243962043354,0.7202763818060153,0.6025086542451077,-0.11776772756090759,1.2117214494013857,1.0081240081574967,-0.203597441243889,loss,win,loss,matched,
2,20,2,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_2__h20__seed_2__lb20__supervised,fold_2__h20__seed_2__lb20__masked_reconstruction,0.28653055359771273,0.2909992493624032,0.004468695764690445,0.3899565156403423,0.3916748492074625,0.0017183335671202005,0.014787815938907784,0.0165767864296685,0.0017889704907607142,0.21075594721300978,0.20738620672243374,-0.003369740490576034,0.7322609444220763,0.7220502448318223,-0.010210699590254002,1.2227023357277749,1.2054317266661225,-0.017270609061652342,win,win,win,matched,
2,20,2,20,matrix_transformer,next_field,supervised_vs_next_field,fold_2__h20__seed_2__lb20__supervised,fold_2__h20__seed_2__lb20__next_field,0.28653055359771273,0.23507619915388486,-0.05145435444382787,0.3899565156403423,0.5400827605554777,0.15012624491513538,0.014787815938907784,0.011607929896973384,-0.0031798860419344002,0.21075594721300978,0.03456632492771772,-0.17618962228529206,0.7322609444220763,0.6047635093510565,-0.12749743507101985,1.2227023357277749,1.012517190616127,-0.21018514511164788,loss,win,loss,matched,
2,50,0,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_2__h50__seed_0__lb20__supervised,fold_2__h50__seed_0__lb20__masked_reconstruction,0.4210903134132968,0.4097359197122256,-0.011354393701071164,0.43498386870528827,0.42379716650301585,-0.011186702202272414,0.1573889986673057,0.148758444330421,-0.0086305543368847,0.0537364461744813,0.0972142456078225,0.04347779943334121,0.6424176004312593,0.6568219762654082,0.014404375834148886,1.0661460066776316,1.0855664992598086,0.01942049258217704,loss,loss,loss,matched,
2,50,0,20,matrix_transformer,next_field,supervised_vs_next_field,fold_2__h50__seed_0__lb20__supervised,fold_2__h50__seed_0__lb20__next_field,0.4210903134132968,0.3799730083408899,-0.04111730507240691,0.43498386870528827,0.415380838827325,-0.01960302987796325,0.1573889986673057,0.12011891816601583,-0.03727008050128988,0.0537364461744813,0.029714054490017114,-0.024022391684464184,0.6424176004312593,0.6601730456204943,0.017755445189234997,1.0661460066776316,1.0925709132594605,0.026424906581828944,loss,win,loss,matched,
2,50,1,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_2__h50__seed_1__lb20__supervised,fold_2__h50__seed_1__lb20__masked_reconstruction,0.4169481673201772,0.43236464844143385,0.015416481121256653,0.429337915556179,0.4401739374386309,0.010836021882451918,0.16501244961271602,0.16656514870279138,0.0015526990900753546,0.09490472903629973,0.08088923670623702,-0.014015492330062718,0.6688317948827214,0.6596836110333633,-0.009148183849358116,1.1237885440211206,1.1133041264200894,-0.010484417601031248,win,win,win,matched,
2,50,1,20,matrix_transformer,next_field,supervised_vs_next_field,fold_2__h50__seed_1__lb20__supervised,fold_2__h50__seed_1__lb20__next_field,0.4169481673201772,0.3443957853972451,-0.07255238192293212,0.429337915556179,0.37613971103941646,-0.05319820451676255,0.16501244961271602,0.07308553110700085,-0.09192691850571517,0.09490472903629973,0.1904452121526835,0.09554048311638377,0.6688317948827214,0.750426139774344,0.08159434489162265,1.1237885440211206,1.2578476315799587,0.1340590875588381,loss,loss,loss,matched,
2,50,2,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_2__h50__seed_2__lb20__supervised,fold_2__h50__seed_2__lb20__masked_reconstruction,0.33421290241239426,0.3839637255219513,0.04975082310955703,0.36400617197362883,0.4146794781876841,0.05067330621405525,0.06778168805415724,0.1322172423037081,0.06443555424955086,0.17800106967980903,0.12998185991097616,-0.048019209768832866,0.6996927763274907,0.6769738738214259,-0.022718902506064786,1.1424938298614657,1.1187501106253626,-0.02374371923610319,win,win,win,matched,
2,50,2,20,matrix_transformer,next_field,supervised_vs_next_field,fold_2__h50__seed_2__lb20__supervised,fold_2__h50__seed_2__lb20__next_field,0.33421290241239426,0.3304389204141291,-0.0037739819982651746,0.36400617197362883,0.346261747790714,-0.01774442418291483,0.06778168805415724,0.015828588360792057,-0.05195309969336519,0.17800106967980903,0.08402548568398727,-0.09397558399582176,0.6996927763274907,0.6674877980316883,-0.03220497829580238,1.1424938298614657,1.1025905981258595,-0.03990323173560628,loss,win,loss,matched,
3,10,0,20,matrix_transformer,masked_reconstruction,supervised_vs_masked_reconstruction,fold_3__h10__seed_0__lb20__supervised,fold_3__h10__seed_0__lb20__masked_reconstruction,0.34708591171845377,0.33747364964751553,-0.009612262070938238,0.49202788887687815,0.37690519943789863,-0.11512268943897952,0.03928120141095058,0.014440076106558085,-0.024841125304392496,0.019897059124194184,0.14034916602848468,0.1204521069042905,0.6037770204386169,0.7050033046488579,0.10122628421024094,1.0077539167838465,1.198597143240347,0.19084322645650054,loss,loss,loss,matched,
3,10,0,20,matrix_transformer,next_field,supervised_vs_next_field,fold_3__h10__seed_0__lb20__supervised,fold_3__h10__seed_0__lb20__next_field,0.34708591171845377,0.24950113301992086,-0.09758477869853291,0.49202788887687815,0.5980704788671495,0.10604258999027133,0.03928120141095058,-0.0060601881135367314,-0.04534138952448731,0.019897059124194184,0.045492211730212326,0.02559515260601814,0.6037770204386169,0.567420803698698,-0.036356216739918956,1.0077539167838465,0.9623695191031029,-0.04538439768074365,loss,loss,loss,matched,
