fold,horizon,seed,model,ablation_mode,feature_group,baseline_accuracy,accuracy,delta_accuracy,baseline_macro_f1,macro_f1,delta_macro_f1,baseline_mcc,mcc,delta_mcc,baseline_ece,ece,delta_ece,interpretation
fold_3,50,0,gradient_boosting,all_features,all,0.5321556870053751,0.5321556870053751,0.0,0.5313600098656345,0.5313600098656345,0.0,0.30699521110865496,0.30699521110865496,0.0,0.01724657365991073,0.01724657365991073,0.0,neutral
fold_3,50,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,0.5321556870053751,0.3687977743564811,-0.163357912648894,0.5313600098656345,0.3680896809775864,-0.1632703288880481,0.30699521110865496,0.05362357118617147,-0.2533716399224835,0.01724657365991073,0.01895432468354337,0.001707751023632638,hurt
fold_3,50,0,gradient_boosting,remove_one_group,spread,0.5321556870053751,0.5267806498662994,-0.005375037139075722,0.5313600098656345,0.5260230583509318,-0.005336951514702704,0.30699521110865496,0.29960739090093336,-0.007387820207721607,0.01724657365991073,0.017609517401759086,0.00036294374184835457,hurt
fold_3,50,0,gradient_boosting,remove_one_group,depth_imbalance,0.5321556870053751,0.5311022877670637,-0.001053399238311381,0.5313600098656345,0.5300712985384798,-0.0012887113271546902,0.30699521110865496,0.30629093837357296,-0.0007042727350820011,0.01724657365991073,0.015652093278671196,-0.0015944803812395353,neutral
fold_3,50,0,gradient_boosting,remove_one_group,top_of_book_imbalance,0.5321556870053751,0.5321556870053751,0.0,0.5313600098656345,0.5313600098656345,0.0,0.30699521110865496,0.30699521110865496,0.0,0.01724657365991073,0.01724778918292516,1.2155230144292317e-06,neutral
fold_3,50,0,gradient_boosting,no_proxy_features,no_proxy,0.5321556870053751,0.3687977743564811,-0.163357912648894,0.5313600098656345,0.3680896809775864,-0.1632703288880481,0.30699521110865496,0.05362357118617147,-0.2533716399224835,0.01724657365991073,0.01895432468354337,0.001707751023632638,hurt
fold_4,10,0,gradient_boosting,all_features,all,0.8313640937185568,0.8313640937185568,0.0,0.7880113508017267,0.7880113508017267,0.0,0.7042191489980065,0.7042191489980065,0.0,0.004236370894359218,0.004236370894359218,0.0,neutral
fold_4,10,0,gradient_boosting,remove_one_group,snapshot_order_flow_proxy,0.8313640937185568,0.5928992381773753,-0.23846485554118146,0.7880113508017267,0.29402229442066274,-0.49398905638106394,0.7042191489980065,0.11577112934462079,-0.5884480196533858,0.004236370894359218,0.012378063653496993,0.008141692759137774,hurt
fold_4,10,0,gradient_boosting,remove_one_group,spread,0.8313640937185568,0.8312491016242634,-0.00011499209429344237,0.7880113508017267,0.7879370094768902,-7.434132483652434e-05,0.7042191489980065,0.7042727537437135,5.360474570692553e-05,0.004236370894359218,0.004581885616279532,0.00034551472192031335,neutral
fold_4,10,0,gradient_boosting,remove_one_group,depth_imbalance,0.8313640937185568,0.8313640937185568,0.0,0.7880113508017267,0.7880255214415276,1.4170639800914486e-05,0.7042191489980065,0.7042258836527393,6.734654732776235e-06,0.004236370894359218,0.004508757862095463,0.00027238696773624477,neutral
