source,model_name,lookback,split,metric,n_folds,n_seeds,mean,std,standard_error,ci_level,ci_lower,ci_upper,bootstrap_lower,bootstrap_upper,bootstrap_iterations,n_missing
classical,gradient_boosting,,validation,macro_f1,5,1,0.4236291856533795,0.013070754482049087,0.005845419107814363,0.95,0.40740230221008683,0.43985606909667213,0.413538986773319,0.43371108901792854,1000,0
classical,gradient_boosting,,validation,mcc,5,1,0.22114739243105808,0.018772243911587026,0.008395202695303028,0.95,0.19784230974889688,0.24445247511321927,0.20410592221804663,0.23451340419789704,1000,0
classical,gradient_boosting,,validation,brier_score,5,1,0.4771631329164152,0.02992896589602241,0.013384640447955802,0.95,0.4400073710328899,0.5143188947999405,0.4571135775439508,0.5018984377305133,1000,0
classical,gradient_boosting,,validation,ece,5,1,0.036411626050958344,0.026202201733334478,0.01171798084717974,0.95,0.0038825112191873887,0.0689407408827293,0.01620199696191686,0.057853863232761885,1000,0
classical,logistic,,test,accuracy,5,1,0.6124873871288532,0.021281724990490292,0.009517476751438471,0.95,0.58606687166686,0.6389079025908464,0.5993349357234504,0.630091576546911,1000,0
classical,logistic,,test,macro_f1,5,1,0.32606759805121416,0.011835139298042927,0.005292835198720625,0.95,0.3113746875395657,0.3407605085628626,0.31738669939362807,0.3363986090999588,1000,0
classical,logistic,,test,mcc,5,1,0.12268834542905345,0.01705570510099217,0.0076275432020016815,0.95,0.10151428550029679,0.1438624053578101,0.10866942360902697,0.13413781526643453,1000,0
classical,logistic,,test,brier_score,5,1,0.5287059829375056,0.015711398278295548,0.0070263509143684,0.95,0.5092008327992189,0.5482111330757923,0.5156771842252329,0.5386703385637227,1000,0
classical,logistic,,test,ece,5,1,0.02056450997143542,0.008343282394053396,0.003731229317716116,0.95,0.010206617385455483,0.03092240255741536,0.01460113976307613,0.02780603694721534,1000,0
classical,logistic,,validation,accuracy,5,1,0.6429551082318454,0.025555438414499396,0.011428739497926018,0.95,0.6112289273856029,0.674681289078088,0.623448507266385,0.6624617091973058,1000,0
classical,logistic,,validation,macro_f1,5,1,0.33514239015669745,0.018333472198687684,0.008198978019973638,0.95,0.31238202717325064,0.35790275314014425,0.3209521667237769,0.3487014600424649,1000,0
