ablation_name,ablation_type,status,model_name,split,horizon,feature_group,lookback,calibration_bins,cost_bps,latency_steps,metric_name,metric_value,source_experiment,warning
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_5.confidence_gap,0.0182182731368284,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_6.count,10197.0,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_6.mean_confidence,0.6471962907349099,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_6.accuracy,0.6381288614298323,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_6.confidence_gap,0.0090674293050776,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_7.count,6880.0,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_7.mean_confidence,0.7471068601418551,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_7.accuracy,0.7300872093023256,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_7.confidence_gap,0.0170196508395295,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_8.count,1842.0,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_8.mean_confidence,0.8291982492988604,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_8.accuracy,0.754614549402823,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_8.confidence_gap,0.0745836998960374,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_9.count,63.0,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_9.mean_confidence,0.9453543157077956,experiments/baseline,none
baseline,baseline,run,logistic,test,10,all,1,10,"0.0,1.0,5.0",0,calibration.bin_9.accuracy,0.4444444444444444,experiments/baseline,none
