pretraining_objective,horizon,threshold,n_groups,mean_retained_fraction,mean_active_fraction,mean_abstention_fraction,mean_classification_accuracy,mean_macro_f1,mean_directional_hit_rate,mean_gross_directional_proxy,mean_cost_adjusted_proxy,mean_signal_change_rate,mean_turnover_adjusted_cost_proxy
masked_reconstruction,20,0.65,15,0.1218455004100945,0.0260214620382272,0.6643675911026625,0.5876471467262604,0.316694224593686,0.2810322125443096,-414.73333333333335,-414.73333333333335,0.0260221791483206,-0.4379355749113807
masked_reconstruction,20,0.7,13,0.0804521954546019,0.0086694443779239,0.8471681436122522,0.7538603867018255,0.3418552609300701,0.3055842868544894,-165.53846153846155,-165.53846153846155,0.0086696758466101,-0.3888314262910211
masked_reconstruction,20,0.75,13,0.0456473892053363,0.0020961319748836,0.8966330712653128,0.799181090840034,0.3053048473677021,0.4225203446609449,-49.46153846153846,-49.46153846153846,0.0020961866763217,-0.1549593106781102
masked_reconstruction,20,0.8,12,0.030074225347102,0.0004505151706522,0.9107667829796396,0.8521940783159354,0.2996951784187127,0.0771428571428571,-12.25,-12.25,0.0004505267152683,-0.8457142857142858
masked_reconstruction,20,0.85,9,0.0245355409234727,0.0,1.0,0.9451354970529536,0.3237990836962919,,0.0,0.0,0.0,
masked_reconstruction,20,0.9,7,0.0105964548082637,0.0,1.0,0.9709586678146372,0.3283355493750715,,0.0,0.0,0.0,
masked_reconstruction,50,0.33,15,1.0,0.8176541798996632,0.1823458201003366,0.4367562157077133,0.4147550866093952,0.4151952633967967,-4922.266666666666,-4922.266666666666,0.8176773158828575,-0.1696094732064065
masked_reconstruction,50,0.35,15,0.9875318205018596,0.8078558134170641,0.181226563247601,0.4380715688537852,0.4155057794661497,0.4162644347401246,-4777.266666666666,-4777.266666666666,0.8078786853768529,-0.1674711305197505
masked_reconstruction,50,0.4,15,0.8576803928501568,0.7058148965472721,0.1683821211825232,0.4456317764801712,0.4159708475421431,0.4218490065638665,-3834.4666666666662,-3834.4666666666662,0.7058349871173735,-0.1563019868722668
masked_reconstruction,50,0.45,15,0.6750832041572316,0.5549586262086738,0.1611862045624237,0.4593186177511695,0.4143849925370005,0.4300899004157427,-2773.8,-2773.8,0.5549745212031477,-0.1398201991685145
masked_reconstruction,50,0.5,15,0.4903172126725767,0.3968871081201344,0.168657133806769,0.4787253836572913,0.4207597987317028,0.4416144863679255,-1843.0666666666664,-1843.0666666666664,0.3968985116165577,-0.116771027264149
masked_reconstruction,50,0.55,15,0.3416054732158493,0.2697870211612213,0.1909138043448624,0.4877605571795023,0.4079542135646585,0.4403685606723384,-1126.6666666666667,-1126.6666666666667,0.2697947444297755,-0.1192628786553231
masked_reconstruction,50,0.6,15,0.2197195884392406,0.1649403716463667,0.2333392651821235,0.494126008816664,0.3929474237468747,0.4271080441310128,-616.8,-616.8,0.1649450454890662,-0.1457839117379745
masked_reconstruction,50,0.65,15,0.123691734117636,0.082987853534689,0.3150297689994983,0.5451481161714687,0.4010906655542837,0.450335397313728,-252.4,-252.4,0.0829901686940589,-0.099329205372544
masked_reconstruction,50,0.7,14,0.0653510029421771,0.0329805925999047,0.5007934104916533,0.6661208471499516,0.4285540970728948,0.5007011795316871,-101.28571428571428,-101.28571428571428,0.0329814951974662,0.0014023590633742
masked_reconstruction,50,0.75,14,0.0341187295161797,0.0105398662591074,0.739671365856892,0.7924095711705929,0.3862384511254095,0.4609237428798589,-10.5,-10.5,0.0105401505414109,-0.0781525142402818
masked_reconstruction,50,0.8,13,0.0207183324316668,0.0044249516854006,0.7884284659064382,0.845649214289709,0.3195698177833381,0.3782861191179166,19.46153846153846,19.46153846153846,0.0044250693349393,-0.2434277617641666
masked_reconstruction,50,0.85,13,0.0100947746864693,0.0016548669937878,0.8059701492537313,0.8920307102332312,0.3255566083915073,0.5324409151566232,12.923076923076923,12.923076923076923,0.0016549103247649,0.0648818303132462
masked_reconstruction,50,0.9,8,0.002308112144129,0.0001465683464484,0.75,0.8347440762305429,0.2840748680481816,0.3658536585365853,1.875,1.875,0.00014657216562,-0.2682926829268293
next_field,10,0.33,15,1.0,0.1143113339002887,0.8856886660997111,0.5570450580658334,0.273269787401566,0.1722246012826528,-2465.4666666666667,-2465.4666666666667,0.1143145298941281,-0.6555507974346942
next_field,10,0.35,15,0.9979146732144578,0.1129393617983716,0.8864334662329431,0.5572996187840704,0.2729652942532606,0.1718364642308942,-2438.333333333333,-2438.333333333333,0.1129425205592147,-0.6563270715382116
next_field,10,0.4,15,0.9731238645044512,0.09681324954889,0.8954678163727673,0.5610454140539459,0.2707813678570985,0.1682229965762859,-2096.333333333333,-2096.333333333333,0.0968159668297927,-0.663554006847428
next_field,10,0.45,15,0.9315969198826828,0.0744554979223387,0.9081836886472572,0.5675989408518378,0.2690904101483889,0.1740592016677213,-1623.6,-1623.6,0.0744575971184566,-0.6518815966645573
next_field,10,0.5,15,0.8788638157146821,0.05349108179347,0.9214432632650326,0.5772959877741559,0.2684645589377552,0.1827162604579267,-1167.7333333333331,-1167.7333333333331,0.0534926003091842,-0.6345674790841463
next_field,10,0.55,15,0.7719971650042463,0.037473159331162,0.9288543647485372,0.5902073920583173,0.2707868120190259,0.1791812516200712,-812.8666666666667,-812.8666666666667,0.0374742307821584,-0.6416374967598573
next_field,10,0.6,15,0.5681099962149998,0.0251934858075963,0.9272500631438632,0.6104292752100131,0.2763161506993674,0.1563390496979786,-540.7333333333333,-540.7333333333333,0.02519421188077,-0.6873219006040426
next_field,10,0.65,15,0.3764023151854231,0.0158569883623464,0.9291020209057088,0.6387200757409767,0.2828266945749854,0.1327498466524875,-334.26666666666665,-334.26666666666665,0.0158574488640854,-0.7345003066950249
next_field,10,0.7,15,0.2282988873315719,0.0090780502236704,0.9342630126221372,0.6973444084298891,0.2973185687234811,0.1530070497464861,-187.46666666666667,-187.46666666666667,0.009078315688073,-0.6939859005070277
next_field,10,0.75,13,0.195065180718502,0.0049750082714302,0.9382274089157472,0.7293900366672182,0.3109965806481342,0.1851420263773762,-102.92307692307692,-102.92307692307692,0.0049751552834392,-0.6297159472452475
next_field,10,0.8,10,0.0479969833007032,0.0023178800366599,0.803509372013308,0.7230088590348699,0.2972115615715224,0.2257905055961778,-49.5,-49.5,0.0023179503072131,-0.5484189888076443
next_field,10,0.85,9,0.0331554711306431,0.0006698344492096,0.7738712528168057,0.7570945856797835,0.277831516269184,0.2024518001180404,-8.88888888888889,-8.88888888888889,0.000669856413308,-0.5950963997639189
next_field,10,0.9,9,0.0068585722686384,0.0001639721854786,0.7777777777777778,0.7603112043182207,0.2676054649138706,0.1538461538461538,-2.111111111111111,-2.111111111111111,0.0001639778392428,-0.6923076923076923
next_field,20,0.33,15,1.0,0.1962557191465315,0.8037442808534685,0.462551515595891,0.2805151636127316,0.3286032859094385,-2870.6666666666665,-2870.6666666666665,0.1962610379795678,-0.3427934281811228
