pretraining_objective,horizon,confidence_bucket,fill_assumption,total_filled,total_adverse,mean_adverse_fraction,weighted_adverse_fraction,adverse_selection_mode
masked_reconstruction,50.0,0.85-1.00,passive_conservative,822,166,0.2019464720194647,0.2019464720194647,label_proxy
masked_reconstruction,50.0,0.85-1.00,passive_optimistic,822,166,0.2019464720194647,0.2019464720194647,label_proxy
next_field,10.0,0.33-0.50,aggressive_crossing,33220,6339,0.1908187838651414,0.1908187838651414,label_proxy
next_field,10.0,0.33-0.50,passive_optimistic,33220,6339,0.1908187838651414,0.1908187838651414,label_proxy
next_field,10.0,0.50-0.70,aggressive_crossing,23712,3648,0.1538461538461538,0.1538461538461538,label_proxy
next_field,10.0,0.50-0.70,passive_optimistic,23712,3648,0.1538461538461538,0.1538461538461538,label_proxy
next_field,10.0,0.70-0.85,aggressive_crossing,4490,596,0.132739420935412,0.132739420935412,label_proxy
next_field,10.0,0.70-0.85,passive_conservative,2014,244,0.1211519364448858,0.1211519364448858,label_proxy
next_field,10.0,0.70-0.85,passive_optimistic,4490,596,0.132739420935412,0.132739420935412,label_proxy
next_field,10.0,0.85-1.00,aggressive_crossing,186,23,0.1236559139784946,0.1236559139784946,label_proxy
next_field,10.0,0.85-1.00,passive_conservative,186,23,0.1236559139784946,0.1236559139784946,label_proxy
next_field,10.0,0.85-1.00,passive_optimistic,186,23,0.1236559139784946,0.1236559139784946,label_proxy
next_field,20.0,0.33-0.50,aggressive_crossing,68182,16953,0.2486433369511014,0.2486433369511014,label_proxy
next_field,20.0,0.33-0.50,passive_optimistic,68182,16953,0.2486433369511014,0.2486433369511014,label_proxy
next_field,20.0,0.50-0.70,aggressive_crossing,29055,6149,0.2116331096196868,0.2116331096196868,label_proxy
next_field,20.0,0.50-0.70,passive_optimistic,29055,6149,0.2116331096196868,0.2116331096196868,label_proxy
next_field,20.0,0.70-0.85,aggressive_crossing,8965,1625,0.1812604573340769,0.1812604573340769,label_proxy
next_field,20.0,0.70-0.85,passive_conservative,5293,922,0.1741923294917816,0.1741923294917816,label_proxy
next_field,20.0,0.70-0.85,passive_optimistic,8965,1625,0.1812604573340769,0.1812604573340769,label_proxy
next_field,20.0,0.85-1.00,aggressive_crossing,2762,379,0.1372194062273714,0.1372194062273714,label_proxy
next_field,20.0,0.85-1.00,passive_conservative,2762,379,0.1372194062273714,0.1372194062273714,label_proxy
next_field,20.0,0.85-1.00,passive_optimistic,2762,379,0.1372194062273714,0.1372194062273714,label_proxy
next_field,50.0,0.33-0.50,aggressive_crossing,256773,83595,0.3255599303665105,0.3255599303665105,label_proxy
next_field,50.0,0.33-0.50,passive_optimistic,256773,83595,0.3255599303665105,0.3255599303665105,label_proxy
next_field,50.0,0.50-0.70,aggressive_crossing,111344,32416,0.2911337835895962,0.2911337835895962,label_proxy
next_field,50.0,0.50-0.70,passive_optimistic,111344,32416,0.2911337835895962,0.2911337835895962,label_proxy
next_field,50.0,0.70-0.85,aggressive_crossing,19747,5600,0.2835873803615739,0.2835873803615739,label_proxy
next_field,50.0,0.70-0.85,passive_conservative,9460,2575,0.272198731501057,0.272198731501057,label_proxy
next_field,50.0,0.70-0.85,passive_optimistic,19747,5600,0.2835873803615739,0.2835873803615739,label_proxy
next_field,50.0,0.85-1.00,aggressive_crossing,1899,526,0.2769878883622959,0.2769878883622959,label_proxy
next_field,50.0,0.85-1.00,passive_conservative,1899,526,0.2769878883622959,0.2769878883622959,label_proxy
next_field,50.0,0.85-1.00,passive_optimistic,1899,526,0.2769878883622959,0.2769878883622959,label_proxy
supervised,10.0,0.33-0.50,aggressive_crossing,167717,32081,0.1912805499740634,0.1912805499740634,label_proxy
supervised,10.0,0.33-0.50,passive_optimistic,167717,32081,0.1912805499740634,0.1912805499740634,label_proxy
supervised,10.0,0.50-0.70,aggressive_crossing,62012,9458,0.1525188673160033,0.1525188673160033,label_proxy
supervised,10.0,0.50-0.70,passive_optimistic,62012,9458,0.1525188673160033,0.1525188673160033,label_proxy
supervised,10.0,0.70-0.85,aggressive_crossing,1025,90,0.0878048780487804,0.0878048780487804,label_proxy
supervised,10.0,0.70-0.85,passive_conservative,241,15,0.0622406639004149,0.0622406639004149,label_proxy
supervised,10.0,0.70-0.85,passive_optimistic,1025,90,0.0878048780487804,0.0878048780487804,label_proxy
supervised,20.0,0.33-0.50,aggressive_crossing,225816,56292,0.2492826017642682,0.2492826017642682,label_proxy
supervised,20.0,0.33-0.50,passive_optimistic,225816,56292,0.2492826017642682,0.2492826017642682,label_proxy
supervised,20.0,0.50-0.70,aggressive_crossing,100218,21917,0.2186932487177952,0.2186932487177952,label_proxy
supervised,20.0,0.50-0.70,passive_optimistic,100218,21917,0.2186932487177952,0.2186932487177952,label_proxy
supervised,20.0,0.70-0.85,aggressive_crossing,2970,432,0.1454545454545454,0.1454545454545454,label_proxy
supervised,20.0,0.70-0.85,passive_conservative,340,33,0.0970588235294117,0.0970588235294117,label_proxy
supervised,20.0,0.70-0.85,passive_optimistic,2970,432,0.1454545454545454,0.1454545454545454,label_proxy
supervised,50.0,0.33-0.50,aggressive_crossing,231613,75961,0.3279651833014554,0.3279651833014554,label_proxy
supervised,50.0,0.33-0.50,passive_optimistic,231613,75961,0.3279651833014554,0.3279651833014554,label_proxy
supervised,50.0,0.50-0.70,aggressive_crossing,214812,62744,0.2920879652905797,0.2920879652905797,label_proxy
supervised,50.0,0.50-0.70,passive_optimistic,214812,62744,0.2920879652905797,0.2920879652905797,label_proxy
supervised,50.0,0.70-0.85,aggressive_crossing,8076,2113,0.2616394254581476,0.2616394254581476,label_proxy
supervised,50.0,0.70-0.85,passive_conservative,2286,641,0.2804024496937883,0.2804024496937883,label_proxy
supervised,50.0,0.70-0.85,passive_optimistic,8076,2113,0.2616394254581476,0.2616394254581476,label_proxy
supervised,50.0,0.85-1.00,aggressive_crossing,455,150,0.3296703296703296,0.3296703296703296,label_proxy
supervised,50.0,0.85-1.00,passive_conservative,455,150,0.3296703296703296,0.3296703296703296,label_proxy
supervised,50.0,0.85-1.00,passive_optimistic,455,150,0.3296703296703296,0.3296703296703296,label_proxy
