model_name,source,fold_id,split,confidence_threshold,cost_bps,latency_steps,eligible_predictions,coverage,trade_count_proxy,turnover_proxy,gross_signal_return_proxy,cost_proxy,net_signal_return_proxy,hit_rate_proxy,adverse_selection_proxy,fill_assumption,fill_assumption_proxy,status,skip_reason
logistic,classical,fold_1,test,0.6,0.5,0.0,8022.0,0.409536450888299,7849.0,7849.0,24.51382633506251,0.5,24.01382633506251,0.694091249065071,0.0,full_fill_at_mid_no_queue,0.9784343056594366,ok,
logistic,classical,fold_1,test,0.6,1.0,0.0,8022.0,0.409536450888299,7849.0,7849.0,24.51382633506251,1.0,23.51382633506251,0.694091249065071,0.0,full_fill_at_mid_no_queue,0.9784343056594366,ok,
logistic,classical,fold_1,test,0.6,5.0,0.0,8022.0,0.409536450888299,7849.0,7849.0,24.51382633506251,5.0,19.51382633506251,0.694091249065071,0.0,full_fill_at_mid_no_queue,0.9784343056594366,ok,
logistic,classical,fold_1,test,0.6,0.0,1.0,8022.0,0.40955735947311994,7849.0,7849.0,28.06410731160769,0.0,28.06410731160769,0.694091249065071,-3.550280976545178,full_fill_at_mid_no_queue,0.9784343056594366,ok,
logistic,classical,fold_1,test,0.6,0.5,1.0,8022.0,0.40955735947311994,7849.0,7849.0,28.06410731160769,0.5,27.56410731160769,0.694091249065071,-3.550280976545178,full_fill_at_mid_no_queue,0.9784343056594366,ok,
logistic,classical,fold_1,test,0.6,1.0,1.0,8022.0,0.40955735947311994,7849.0,7849.0,28.06410731160769,1.0,27.06410731160769,0.694091249065071,-3.550280976545178,full_fill_at_mid_no_queue,0.9784343056594366,ok,
logistic,classical,fold_1,test,0.6,5.0,1.0,8022.0,0.40955735947311994,7849.0,7849.0,28.06410731160769,5.0,23.06410731160769,0.694091249065071,-3.550280976545178,full_fill_at_mid_no_queue,0.9784343056594366,ok,
logistic,classical,fold_1,test,0.7,0.0,0.0,3656.0,0.18664488462323872,3564.0,3564.0,54.45143390829343,0.0,54.45143390829343,0.7420678336980306,0.0,full_fill_at_mid_no_queue,0.9748358862144421,ok,
logistic,classical,fold_1,test,0.7,0.5,0.0,3656.0,0.18664488462323872,3564.0,3564.0,54.45143390829343,0.5,53.95143390829343,0.7420678336980306,0.0,full_fill_at_mid_no_queue,0.9748358862144421,ok,
logistic,classical,fold_1,test,0.7,1.0,0.0,3656.0,0.18664488462323872,3564.0,3564.0,54.45143390829343,1.0,53.45143390829343,0.7420678336980306,0.0,full_fill_at_mid_no_queue,0.9748358862144421,ok,
logistic,classical,fold_1,test,0.7,5.0,0.0,3656.0,0.18664488462323872,3564.0,3564.0,54.45143390829343,5.0,49.45143390829343,0.7420678336980306,0.0,full_fill_at_mid_no_queue,0.9748358862144421,ok,
logistic,classical,fold_1,test,0.7,0.0,1.0,3656.0,0.18665441364170113,3564.0,3564.0,54.604109546118906,0.0,54.604109546118906,0.7420678336980306,-0.15267563782547455,full_fill_at_mid_no_queue,0.9748358862144421,ok,
logistic,classical,fold_1,test,0.7,0.5,1.0,3656.0,0.18665441364170113,3564.0,3564.0,54.604109546118906,0.5,54.104109546118906,0.7420678336980306,-0.15267563782547455,full_fill_at_mid_no_queue,0.9748358862144421,ok,
logistic,classical,fold_1,test,0.7,1.0,1.0,3656.0,0.18665441364170113,3564.0,3564.0,54.604109546118906,1.0,53.604109546118906,0.7420678336980306,-0.15267563782547455,full_fill_at_mid_no_queue,0.9748358862144421,ok,
logistic,classical,fold_1,test,0.7,5.0,1.0,3656.0,0.18665441364170113,3564.0,3564.0,54.604109546118906,5.0,49.604109546118906,0.7420678336980306,-0.15267563782547455,full_fill_at_mid_no_queue,0.9748358862144421,ok,
elastic_net,classical,fold_1,test,0.0,0.0,0.0,19588.0,1.0,18136.0,18136.0,15.22179877937845,0.0,15.22179877937845,0.5740249132121708,0.0,full_fill_at_mid_no_queue,0.9258729834592607,ok,
elastic_net,classical,fold_1,test,0.0,0.5,0.0,19588.0,1.0,18136.0,18136.0,15.22179877937845,0.5,14.72179877937845,0.5740249132121708,0.0,full_fill_at_mid_no_queue,0.9258729834592607,ok,
elastic_net,classical,fold_1,test,0.0,1.0,0.0,19588.0,1.0,18136.0,18136.0,15.22179877937845,1.0,14.22179877937845,0.5740249132121708,0.0,full_fill_at_mid_no_queue,0.9258729834592607,ok,
elastic_net,classical,fold_1,test,0.0,5.0,0.0,19588.0,1.0,18136.0,18136.0,15.22179877937845,5.0,10.22179877937845,0.5740249132121708,0.0,full_fill_at_mid_no_queue,0.9258729834592607,ok,
elastic_net,classical,fold_1,test,0.0,0.0,1.0,19587.0,1.0,18135.0,18135.0,14.914625615938546,0.0,14.914625615938546,0.5741052739061623,0.307173163439904,full_fill_at_mid_no_queue,0.9258691989584928,ok,
elastic_net,classical,fold_1,test,0.0,0.5,1.0,19587.0,1.0,18135.0,18135.0,14.914625615938546,0.5,14.414625615938546,0.5741052739061623,0.307173163439904,full_fill_at_mid_no_queue,0.9258691989584928,ok,
elastic_net,classical,fold_1,test,0.0,1.0,1.0,19587.0,1.0,18135.0,18135.0,14.914625615938546,1.0,13.914625615938546,0.5741052739061623,0.307173163439904,full_fill_at_mid_no_queue,0.9258691989584928,ok,
elastic_net,classical,fold_1,test,0.0,5.0,1.0,19587.0,1.0,18135.0,18135.0,14.914625615938546,5.0,9.914625615938546,0.5741052739061623,0.307173163439904,full_fill_at_mid_no_queue,0.9258691989584928,ok,
