model_name,split,confidence_threshold,cost_bps,latency_steps,fold_count,coverage_mean,eligible_predictions_mean,turnover_proxy_mean,gross_signal_return_proxy_mean,cost_proxy_mean,net_signal_return_proxy_mean,net_signal_return_proxy_std,hit_rate_proxy_mean,status
gradient_boosting,test,0.6,0.5,0,5,0.5105436491935703,8445.4,8387.2,14.475989736957672,0.5,13.975989736957672,8.759493636778366,0.7423152849964688,ok
gradient_boosting,test,0.6,0.5,1,5,0.5105584074899282,8445.2,8387.0,13.903602382947241,0.5,13.403602382947241,7.483736635905614,0.74232260064067,ok
gradient_boosting,test,0.6,1.0,0,5,0.5105436491935703,8445.4,8387.2,14.475989736957672,1.0,13.475989736957672,8.759493636778366,0.7423152849964688,ok
gradient_boosting,test,0.6,1.0,1,5,0.5105584074899282,8445.2,8387.0,13.903602382947241,1.0,12.903602382947241,7.483736635905614,0.74232260064067,ok
gradient_boosting,test,0.6,5.0,0,5,0.5105436491935703,8445.4,8387.2,14.475989736957672,5.0,9.475989736957672,8.759493636778364,0.7423152849964688,ok
gradient_boosting,test,0.6,5.0,1,5,0.5105584074899282,8445.2,8387.0,13.903602382947241,5.0,8.903602382947241,7.483736635905614,0.74232260064067,ok
gradient_boosting,test,0.7,0.0,0,5,0.2696739462231184,4480.6,4475.0,13.475326207828573,0.0,13.475326207828573,16.198936465942136,0.7961569734945371,ok
gradient_boosting,test,0.7,0.0,1,5,0.26970213620832484,4480.8,4475.2,9.72702405335214,0.0,9.72702405335214,16.495547008192954,0.7961940251905334,ok
gradient_boosting,test,0.7,0.5,0,5,0.2696739462231184,4480.6,4475.0,13.475326207828573,0.5,12.975326207828573,16.198936465942136,0.7961569734945371,ok
gradient_boosting,test,0.7,0.5,1,5,0.26970213620832484,4480.8,4475.2,9.72702405335214,0.5,9.22702405335214,16.495547008192954,0.7961940251905334,ok
gradient_boosting,test,0.7,1.0,0,5,0.2696739462231184,4480.6,4475.0,13.475326207828573,1.0,12.475326207828575,16.19893646594214,0.7961569734945371,ok
gradient_boosting,test,0.7,1.0,1,5,0.26970213620832484,4480.8,4475.2,9.72702405335214,1.0,8.72702405335214,16.495547008192954,0.7961940251905334,ok
gradient_boosting,test,0.7,5.0,0,5,0.2696739462231184,4480.6,4475.0,13.475326207828573,5.0,8.475326207828575,16.19893646594214,0.7961569734945371,ok
gradient_boosting,test,0.7,5.0,1,5,0.26970213620832484,4480.8,4475.2,9.72702405335214,5.0,4.727024053352141,16.495547008192954,0.7961940251905334,ok
logistic,test,0.0,0.0,0,5,1.0,16671.4,15809.2,19.69851517367156,0.0,19.69851517367156,4.054446748493216,0.6021438145248628,ok
logistic,test,0.0,0.0,1,5,1.0,16670.4,15808.2,19.542644675501855,0.0,19.542644675501855,4.02021028116421,0.6021443310395782,ok
logistic,test,0.0,0.5,0,5,1.0,16671.4,15809.2,19.69851517367156,0.5,19.19851517367156,4.054446748493216,0.6021438145248628,ok
logistic,test,0.0,0.5,1,5,1.0,16670.4,15808.2,19.542644675501855,0.5,19.042644675501855,4.02021028116421,0.6021443310395782,ok
logistic,test,0.0,1.0,0,5,1.0,16671.4,15809.2,19.69851517367156,1.0,18.69851517367156,4.054446748493216,0.6021438145248628,ok
logistic,test,0.0,1.0,1,5,1.0,16670.4,15808.2,19.542644675501855,1.0,18.542644675501855,4.02021028116421,0.6021443310395782,ok
logistic,test,0.0,5.0,0,5,1.0,16671.4,15809.2,19.69851517367156,5.0,14.698515173671558,4.054446748493216,0.6021438145248628,ok
logistic,test,0.0,5.0,1,5,1.0,16670.4,15808.2,19.542644675501855,5.0,14.542644675501856,4.02021028116421,0.6021443310395782,ok
logistic,test,0.5,0.0,0,5,0.7145700347566545,11818.8,11654.6,17.763928588565562,0.0,17.763928588565562,4.798835469055587,0.6646273435883423,ok
logistic,test,0.5,0.0,1,5,0.714558433766653,11818.0,11653.8,18.125034269976602,0.0,18.125034269976602,4.534347079703669,0.6646212504223961,ok
logistic,test,0.5,0.5,0,5,0.7145700347566545,11818.8,11654.6,17.763928588565562,0.5,17.263928588565562,4.798835469055587,0.6646273435883423,ok
logistic,test,0.5,0.5,1,5,0.714558433766653,11818.0,11653.8,18.125034269976602,0.5,17.625034269976602,4.534347079703669,0.6646212504223961,ok
logistic,test,0.5,1.0,0,5,0.7145700347566545,11818.8,11654.6,17.763928588565562,1.0,16.763928588565562,4.798835469055587,0.6646273435883423,ok
logistic,test,0.5,1.0,1,5,0.714558433766653,11818.0,11653.8,18.125034269976602,1.0,17.125034269976602,4.534347079703669,0.6646212504223961,ok
logistic,test,0.5,5.0,0,5,0.7145700347566545,11818.8,11654.6,17.763928588565562,5.0,12.763928588565562,4.798835469055587,0.6646273435883423,ok
logistic,test,0.5,5.0,1,5,0.714558433766653,11818.0,11653.8,18.125034269976602,5.0,13.1250342699766,4.534347079703669,0.6646212504223961,ok
logistic,test,0.6,0.0,0,5,0.4438226492969501,7271.0,7202.0,18.29462722982246,0.0,18.29462722982246,7.895799438905734,0.7138783064173013,ok
logistic,test,0.6,0.0,1,5,0.4438475550503423,7271.0,7202.0,19.773787745507594,0.0,19.773787745507594,5.684042309416085,0.7138785208360704,ok
logistic,test,0.6,0.5,0,5,0.4438226492969501,7271.0,7202.0,18.29462722982246,0.5,17.79462722982246,7.895799438905734,0.7138783064173013,ok
logistic,test,0.6,0.5,1,5,0.4438475550503423,7271.0,7202.0,19.773787745507594,0.5,19.273787745507594,5.684042309416085,0.7138785208360704,ok
logistic,test,0.6,1.0,0,5,0.4438226492969501,7271.0,7202.0,18.29462722982246,1.0,17.29462722982246,7.895799438905734,0.7138783064173013,ok
